,ETL FP Equity_DX_SI_QTY,ETL FP Equity_DX_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ETL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ETL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ETL FP Equity_DX_SI_MV,ETL FP Equity_DX_DSS,ETL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY,ETL FP Equity_DX_BROKER_SI_QTY,ETL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ETL FP Equity_DX_BROKER_SI_MV_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_x,ETL FP Equity_DX_BROKER_SI_MV_INC_x,ETL FP Equity_DX_SUPPLY_SI_MV_NEW,ETL FP Equity_DX_BROKER_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_NEW,ETL FP Equity_DX_SUPPLY_SI_MV_DEC,ETL FP Equity_DX_BROKER_SI_QTY_INC,ETL FP Equity_DX_SUPPLY_SI_QTY_DEC,ETL FP Equity_DX_BROKER_SI_MV_NEW_y,ETL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ETL FP Equity_DX_BROKER_SI_MV_INC_y,ETL FP Equity_DX_SUPPLY_SI_QTY_INC_y,ETL FP Equity_DX_BROKER_SI_MV_ADD,ETL FP Equity_DX_SUPPLY_SI_QTY_ADD,ETL FP Equity_DX_BROKER_SI_QTY_DEC,ETL FP Equity_DX_SUPPLY_SI_MV,ETL FP Equity_DX_BROKER_SI_MV_DEC,ETL FP Equity_DX_SUPPLY_SI_MV_RMV,ETL FP Equity_DX_BROKER_SI_MV_RMV,ETL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ETL FP Equity_DX_UTILIZATION_QUANTITY,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ETL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ETL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ETL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ETL FP Equity_DX_ACTIVE_UTILIZATION_MV,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ETL FP Equity_DX_BROKER_SI_CON_RATIO,ETL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ETL FP Equity_DX_DEMAND_SUPPLY_RATIO
2017-03-16,4537952.0,85591913.72,2.71,5.59,1.95,91.22,1.0,50475337.8,3552624.0,2676125.0,67007294.68,,,125058.0,4.89,,,,0.77,240386.0,45976.0,,,4.89,125058.0,,85589.0,99559.0,70.42,1.88,,,7.62,7.62,43069196.0,812343301.17,,846.35,7.68,30.66,0.233,34.06,0.0973
2017-03-17,4512184.0,87651434.6,2.7,5.57,1.94,93.24,1.0,51460230.56,3530634.0,2649107.0,68584334.14,,,3355.0,0.57,,,,0.27,18259.0,26114.0,,,0.57,3355.0,,769.0,45277.0,71.87,0.08,,,7.59,7.59,42995776.0,835214487.71,,866.61,7.66,30.33,0.2329,34.34,0.097
2017-03-20,4262244.0,80071082.93,2.55,5.19,1.83,88.24,1.0,45071596.51,3558992.0,2399195.0,66859697.28,,,34209.0,1.13,,22000.0,,0.13,42480.0,6851.0,,,1.13,34209.0,0.44,1000.0,314392.0,72.35,6.4,,,7.64,7.64,42995480.0,807718808.34,,880.72,7.59,31.51,0.2356,33.5,0.0916
2017-03-21,5076322.0,95459920.48,3.03,6.2,2.18,102.53,1.0,51925567.57,4131057.0,2761273.0,77684270.76,,,185794.0,8.02,,2000.0,,2.42,459238.0,111261.0,,,8.02,185794.0,0.04,497532.0,99160.0,82.41,2.36,,,8.85,8.85,42552796.0,800202690.51,,848.69,8.85,28.05,0.1917,28.3,0.1087
2017-03-22,5255118.0,98130413.0,3.14,6.5,2.26,106.19,1.0,56488031.35,4073211.0,3025069.0,76060304.95,,,65630.0,6.63,,,,3.35,325099.0,168460.0,,,6.63,65630.0,,44984.0,61303.0,81.23,1.21,,,8.71,8.71,42706444.0,797470387.4,,853.53,8.69,26.49,0.1906,28.79,0.1123
2017-03-23,5261173.0,99232840.17,3.14,6.68,2.26,106.18,1.0,57169043.3,3946729.0,3031015.0,74440648.13,,,7027.0,0.74,,,,3.92,48965.0,192981.0,,,0.74,7027.0,,59472.0,43019.0,78.8,0.95,,,8.44,8.44,42832552.0,807879875.2,,852.65,8.46,26.75,0.1929,28.81,0.1125
2017-03-24,5414033.0,102574134.06,3.23,7.39,2.33,109.9,1.0,60334347.96,4018465.0,3184547.0,76133737.57,,,1173.0,2.52,,131418.0,,1.91,114881.0,98621.0,,,2.52,1173.0,2.61,169184.0,92767.0,80.74,1.82,,,8.56,8.56,42907296.0,812920558.84,,859.96,8.58,25.91,0.1907,29.52,0.1154
2017-03-27,5428049.0,103043829.09,3.24,7.65,2.33,111.18,1.0,60118298.76,4032481.0,3166857.0,76550945.47,,,60384.0,0.87,,,,1.2,40313.0,60083.0,,,0.87,60384.0,,13715.0,58003.0,81.21,0.35,,,8.62,8.62,42773076.0,811986320.15,,860.48,8.62,25.65,0.1912,29.99,0.116
2017-03-28,5473319.0,104443574.46,3.27,7.83,2.35,112.17,1.0,61120431.7,4159327.0,3202989.0,79369570.68,,,31292.0,0.6,,,,0.1,46137.0,5004.0,,,0.6,31292.0,,100558.0,10005.0,84.42,0.19,,,8.87,8.87,42730112.0,815389279.22,,865.79,8.88,25.56,0.1939,30.83,0.1167
2017-03-29,5588388.0,104196030.9,3.34,8.04,2.4,114.21,1.0,62105808.03,4225712.0,3330946.0,78788806.02,,,37679.0,3.28,,,,0.66,144063.0,31102.0,,,3.28,37679.0,,59808.0,16106.0,84.95,0.33,,,9.0,9.0,42740200.0,796895133.21,,867.43,8.92,24.51,0.1908,31.19,0.119
2017-03-30,5606172.0,106372530.33,3.35,8.3,2.41,113.63,1.0,64391942.96,4280787.0,3393661.0,81224433.53,,,8570.0,2.71,,,,2.1,126634.0,103785.0,,,2.71,8570.0,,150290.0,63919.0,85.94,2.51,,,9.1,9.1,42756024.0,811260599.87,,852.79,9.16,25.05,0.1836,29.45,0.1192
2017-03-31,5392342.0,106117880.53,3.22,7.99,2.32,111.7,1.0,62318515.68,4104052.0,3166693.0,80765148.03,,,5205.0,,,,,3.5,,181940.0,,,,5205.0,,,226968.0,84.58,3.8,,,8.73,8.73,42916300.0,844565644.46,,874.29,8.82,26.48,0.1952,30.28,0.1147
2017-04-03,5398010.0,105848763.53,3.22,7.96,2.32,113.73,1.0,62557993.63,3932118.0,3190294.0,77104308.5,,,34611.0,1.33,,5000.0,,4.37,61237.0,219919.0,,,1.33,34611.0,0.1,13374.0,42636.0,82.16,0.42,,,8.35,8.35,43181424.0,846738027.12,,904.0,8.33,25.94,0.1956,30.68,0.1146
2017-04-04,5412584.0,106032759.59,3.23,8.07,2.33,113.79,1.0,60451585.15,4479588.0,3085832.0,87755326.75,,,9935.0,,,,,1.11,,52585.0,,,,9935.0,,590120.0,104462.0,93.31,2.07,,,9.45,9.45,42937660.0,841150655.59,,894.44,9.45,25.89,0.1914,30.45,0.1141
2017-04-05,5734867.0,112912477.84,3.43,8.54,2.46,121.22,1.0,66678205.35,4574232.0,3386611.0,90061002.17,,,89324.0,7.31,,5025.0,,1.17,325369.0,55995.0,,,7.31,89324.0,0.09,61315.0,29615.0,95.54,0.61,,,9.64,9.64,42879160.0,844237922.72,,894.11,9.65,24.53,0.1775,29.5,0.1209
2017-04-06,6136616.0,121803310.34,3.67,9.14,2.64,130.6,1.0,75292931.04,4571505.0,3793360.0,90738029.27,,,20815.0,9.28,,,,0.59,433069.0,28542.0,,,9.28,20815.0,,5000.0,26320.0,96.14,0.49,,,9.63,9.63,42892888.0,851364294.0,,899.96,9.65,22.84,0.1617,27.43,0.1293
2017-04-07,6196236.0,124443182.51,3.7,9.11,2.66,133.31,1.0,77548426.82,4664247.0,3861267.0,93675215.2,,,97248.0,2.14,,,,0.5,75148.0,24767.0,,,2.14,97248.0,,20261.0,7241.0,99.19,0.0,,,9.84,9.84,42713192.0,857837814.4,,905.76,9.87,22.62,0.1627,27.79,0.1308
2017-04-10,6341374.0,128163018.49,3.79,9.24,2.72,137.32,1.0,80795014.38,4985292.0,3997654.0,100755777.97,,,64411.0,3.42,,,,0.2,136387.0,12446.0,,,3.42,64411.0,,269080.0,,106.73,,,,10.51,10.51,42463752.0,858218208.32,,908.51,10.51,22.08,0.1585,27.34,0.1336
2017-04-11,6443410.0,130073768.09,3.85,9.29,2.77,140.22,1.0,82286458.99,4890456.0,4076190.0,98724128.93,,,37508.0,2.35,,,,3.49,88536.0,163905.0,,,2.35,37508.0,,31561.0,10000.0,105.08,0.21,,,10.26,10.26,42777472.0,863553145.35,,919.13,10.26,21.58,0.1559,27.3,0.1352
2017-04-12,6809702.0,139036827.96,4.07,10.23,2.93,148.33,1.0,91221215.86,4912278.0,4467804.0,100296246.62,,,14989.0,8.36,,,,1.81,391614.0,81932.0,,,8.36,14989.0,,88765.0,,105.74,,,,10.24,10.24,43039272.0,878752676.19,,924.58,10.26,20.55,0.1466,25.71,0.142
2017-04-13,6929580.0,141321544.5,4.14,10.43,2.98,151.62,1.0,93565529.31,4925855.0,4587905.0,100457666.49,,,89012.0,3.28,,,,1.59,133371.0,75435.0,,,3.28,89012.0,,,13270.0,106.74,0.25,,,10.24,10.24,43160616.0,880215671.74,,936.75,10.23,20.06,0.1432,25.16,0.1441
2017-04-14,6985057.0,142452939.95,4.17,10.67,3.0,152.99,1.0,94696924.77,4912648.0,4643382.0,100188323.53,,,,1.37,,,,0.28,55477.0,13207.0,,,1.37,,,,,106.45,,,,10.21,10.21,43181176.0,880634971.46,,936.79,10.2,19.87,0.1428,24.96,0.1452
2017-04-17,7207083.0,146980928.26,4.3,11.01,3.1,158.09,1.0,99335142.41,4907243.0,4870813.0,100078094.2,,,,4.91,,,,0.05,227431.0,5405.0,,,4.91,,,,76923.0,106.39,1.67,,,10.19,10.19,43237164.0,881776788.23,,937.53,10.19,19.19,0.1354,24.32,0.1497
2017-04-18,7278805.0,146356242.0,4.35,11.12,3.13,158.65,1.0,99401935.26,4922274.0,4943604.0,98973049.11,,,49308.0,2.41,,,,0.88,121682.0,35680.0,,,2.41,49308.0,,1403.0,48891.0,105.69,1.01,,,10.28,10.28,42942064.0,863443808.55,,926.77,10.24,18.83,0.1349,24.38,0.1521
2017-04-19,7358850.0,147619764.43,4.4,11.29,3.16,159.28,1.0,100898851.71,4922658.0,5029811.0,98749344.57,,,7174.0,1.35,,,,0.15,86266.0,6790.0,,,1.35,7174.0,,,59.0,105.16,0.2,,,10.23,10.23,43217592.0,866952139.29,,923.35,10.22,18.72,0.1333,24.19,0.1529
2017-04-20,7300823.0,148755366.11,4.36,11.21,3.14,158.57,1.0,101172707.05,4883483.0,4965495.0,99501700.22,,,6289.0,0.11,,,,0.97,2813.0,45464.0,,,0.11,6289.0,,,67129.0,104.96,1.5,,,10.12,10.12,43384516.0,883966035.19,,928.12,10.16,19.1,0.1341,24.29,0.1513
2017-04-21,7441491.0,149802319.65,4.44,11.79,3.2,162.75,1.0,102790564.68,4964747.0,5106163.0,99943763.57,,,30997.0,6.35,,,,0.29,271831.0,13733.0,,,6.35,30997.0,,64000.0,131163.0,107.02,2.14,,,10.31,10.31,43186660.0,869377097.42,,935.17,10.27,18.37,0.1313,24.61,0.1545
2017-04-24,7887429.0,159113083.44,4.71,12.5,3.39,170.28,1.0,111980953.21,5443853.0,5551032.0,109818831.54,,,10154.0,0.0,,473428.0,,0.62,37344.0,29330.0,,,0.0,10154.0,10.77,498282.0,65903.0,116.0,1.91,,,11.28,11.28,42798260.0,863369180.84,,910.5,11.3,17.53,0.1197,22.89,0.1635
2017-04-25,7563542.0,152223732.04,4.52,12.04,3.25,163.35,1.0,105203997.31,5369695.0,5227272.0,108070400.46,,,71080.0,5.13,,,,4.37,244150.0,209178.0,,,5.13,71080.0,,63940.0,567910.0,114.88,12.27,,,11.11,11.11,42941588.0,864241751.43,,918.72,11.11,18.28,0.1257,24.41,0.1566
2017-04-26,7148666.0,148948684.77,4.27,11.49,3.07,156.46,1.0,100291299.59,5277884.0,4813396.0,109969311.78,,,,2.24,,,,2.73,102649.0,128412.0,,,2.24,,,36601.0,516525.0,114.61,10.73,,,10.9,10.9,43121412.0,898472190.88,,929.17,10.98,19.81,0.1385,25.47,0.1477
2017-04-27,7053298.0,145237330.59,4.21,11.34,3.03,157.47,1.0,97136709.6,5095781.0,4717342.0,104929301.11,,,66636.0,5.59,,,,5.43,150618.0,253739.0,,,5.59,66636.0,,5000.0,246672.0,112.42,5.06,,,10.52,10.52,43324892.0,892120489.17,,958.12,10.5,19.49,0.1471,26.56,0.1457
2017-04-28,7252005.0,148169812.53,4.33,11.79,3.12,160.08,1.0,100450645.83,5196716.0,4916444.0,106177041.45,,,133873.0,3.58,,,,0.97,204145.0,42938.0,,,3.58,133873.0,,10000.0,5043.0,113.49,0.28,,,10.75,10.75,43138708.0,881391322.43,,942.2,10.75,19.0,0.1462,26.4,0.15
2017-05-01,7252005.0,148169812.53,4.33,11.63,3.12,159.23,1.0,100450645.83,5196716.0,4916444.0,106177041.45,,,,,,,,,,,,,,,,,,112.92,,,,10.76,10.76,43103472.0,880671395.8,,936.25,10.76,19.08,0.1464,26.42,0.1501
2017-05-02,7135675.0,150187597.63,4.26,11.44,3.07,157.95,1.0,100861879.38,5215189.0,4792124.0,109766309.02,,,51560.0,0.92,,4246.0,,3.4,42170.0,157143.0,,,0.92,51560.0,0.09,124056.0,170736.0,115.28,4.12,,,10.8,10.8,43067356.0,906457025.31,,940.64,10.92,19.87,0.1504,26.56,0.1478
2017-05-03,7265550.0,151520692.97,4.34,11.6,3.12,163.65,1.0,102656142.78,5391413.0,4922452.0,112436172.6,,,162573.0,8.61,,,,1.37,337190.0,64559.0,,,8.61,162573.0,,78210.0,206862.0,120.39,4.67,,,11.12,11.12,43076492.0,898346294.3,,963.22,11.11,18.98,0.1532,26.47,0.1499
2017-05-04,7213873.0,154139623.71,4.31,12.13,3.1,161.96,1.0,104101739.02,5489448.0,4872055.0,117293643.66,,,114543.0,1.86,,,,0.49,114138.0,19208.0,,,1.86,114543.0,,2700.0,164535.0,122.52,3.83,,,11.41,11.41,42609944.0,910451394.74,,946.43,11.46,19.63,0.1509,26.29,0.15
2017-05-05,7214455.0,149505451.63,4.31,12.22,3.1,163.57,1.0,100909670.23,5455162.0,4869443.0,113047549.48,,,30308.0,2.72,,,,1.39,52871.0,64594.0,,,2.72,30308.0,,,55483.0,122.36,0.68,,,11.22,11.22,43185736.0,894939806.94,,973.94,11.16,18.89,0.1542,27.2,0.1483
2017-05-08,8241721.0,170212333.82,4.92,13.85,3.54,183.48,1.0,100340325.07,6331416.0,4858502.0,130759715.57,,,129573.0,0.62,,,,0.47,27215.0,14919.0,,,0.62,129573.0,,761600.0,38156.0,139.7,2.45,,,12.97,12.97,42469480.0,877101919.23,,937.58,12.97,16.66,0.1294,23.5,0.1689
2017-05-09,7918076.0,164756664.12,4.73,13.29,3.4,176.21,1.0,102476787.54,5953755.0,4924954.0,123883732.97,,,20544.0,2.23,,4246.0,,9.29,100727.0,419257.0,,,2.23,20544.0,0.09,21052.0,38521.0,131.38,1.02,,,12.16,12.16,42990496.0,894531791.53,,947.51,12.18,17.5,0.1317,24.31,0.1618
2017-05-10,7800361.0,157760045.51,4.66,13.11,3.35,172.76,1.0,97854411.61,5892290.0,4838359.0,119169861.31,,,34541.0,1.45,,,,2.67,67122.0,121160.0,,,1.45,34541.0,,25154.0,153717.0,129.13,3.25,,,12.06,12.06,42979592.0,869249819.32,,947.26,12.0,17.38,0.132,24.98,0.1596
2017-05-11,8356486.0,163114642.77,4.99,13.91,3.59,179.38,1.0,98881759.25,6374761.0,5065787.0,124432310.81,,,245299.0,3.75,,13000.0,,0.57,220318.0,11222.0,,,3.75,245299.0,0.27,248394.0,5890.0,135.54,0.65,,,13.05,13.05,42474352.0,829079203.08,,908.55,12.98,16.38,0.1219,23.67,0.1711
2017-05-12,8604574.0,172932813.63,5.14,13.39,3.7,181.12,1.0,106217517.74,6639671.0,5285038.0,133442630.35,,,132942.0,6.39,,,,1.45,295411.0,59338.0,,,6.39,132942.0,,191306.0,76160.0,138.86,4.74,,,13.57,13.57,42293736.0,850010095.24,,880.75,13.62,16.65,0.116,22.26,0.1758
2017-05-15,7974227.0,159889352.77,4.76,11.96,3.43,171.08,1.0,99949876.16,6691034.0,4984841.0,134160351.29,,,233740.0,3.07,,,,8.3,144292.0,431421.0,,,3.07,233740.0,,249044.0,444489.0,142.69,7.36,,,13.61,13.61,42472400.0,851604117.44,,905.7,13.61,17.69,0.1166,22.39,0.1622
2017-05-16,8110093.0,167760775.64,4.84,12.21,3.48,174.94,1.0,96178073.54,6709348.0,4649556.0,138785760.48,,,131950.0,,,,,7.33,,342041.0,,,,131950.0,,228405.0,335285.0,144.39,6.99,,,13.65,13.65,42454644.0,878192643.06,,903.57,13.78,17.53,0.1081,21.36,0.165
2017-05-17,8252480.0,170356940.63,4.93,12.35,3.55,181.72,1.0,102284681.28,6869297.0,4954904.0,141803727.02,,,263565.0,8.6,,,,4.19,366531.0,207385.0,,,8.6,263565.0,,103769.0,61183.0,150.78,0.0,,,14.0,14.0,42207316.0,871290718.17,,925.42,14.01,16.84,0.1076,21.2,0.1682
2017-05-18,7872138.0,162616521.12,4.7,11.89,3.38,174.07,1.0,93688383.02,6995025.0,4535381.0,144497801.06,,,222843.0,,,7200.0,,3.42,,157899.0,,,,222843.0,0.17,60784.0,426723.0,153.99,9.11,,,14.21,14.21,42226552.0,872283360.01,,928.69,14.22,17.61,0.1096,21.39,0.1599
2017-05-19,7745456.0,163131158.25,4.63,11.66,3.33,171.87,1.0,99254400.42,7021488.0,4712592.0,147883284.09,,,177212.0,5.95,,69200.0,,3.27,269565.0,150749.0,,,5.95,177212.0,1.49,,161554.0,154.91,3.39,,,14.28,14.28,42138000.0,887490774.74,,926.6,14.32,18.18,0.1137,21.88,0.1576
2017-05-22,7736250.0,166537888.41,4.62,11.65,3.32,175.52,1.0,102789972.47,6749143.0,4774943.0,145288482.64,,,91691.0,3.66,,,,7.65,114671.0,364036.0,,,3.66,91691.0,,,52320.0,151.96,0.64,,,13.83,13.83,42068412.0,905604718.46,,942.99,13.88,18.2,0.1173,22.85,0.1585
2017-05-23,8009523.0,173776190.63,4.78,11.91,3.44,185.85,1.0,100546122.66,6566453.0,4634274.0,142467059.31,,,64875.0,1.81,,,,7.25,20317.0,341982.0,,,1.81,64875.0,,94417.0,160986.0,151.11,3.13,,,13.54,13.54,41942608.0,909995094.98,,963.89,13.55,17.42,0.1114,22.55,0.1651
2017-05-24,8178643.0,178022197.28,4.89,12.31,3.51,189.99,1.0,113126998.05,6703235.0,5197247.0,145907410.75,,,349785.0,5.68,,436359.0,,10.0,223524.0,437852.0,,,5.68,349785.0,9.59,224849.0,96910.0,154.75,2.36,,,13.78,13.78,41955664.0,913237011.76,,968.99,13.77,17.24,0.1171,23.56,0.1681
2017-05-25,8628057.0,187479963.91,5.15,13.14,3.71,200.75,1.0,120313776.66,6905152.0,5536987.0,150042778.78,,,224692.0,9.57,,,,3.41,404815.0,150537.0,,,9.57,224692.0,,127762.0,65075.0,159.66,1.41,,,14.18,14.18,41805908.0,908405000.46,,966.61,14.18,16.22,0.1118,22.77,0.1771
2017-05-26,8841698.0,193826434.54,5.28,13.79,3.8,206.46,1.0,125766348.24,7057312.0,5737030.0,154709380.75,,,159844.0,6.05,,,,1.13,225127.0,49270.0,,,6.05,159844.0,,41586.0,25084.0,163.62,0.63,,,14.46,14.46,41731904.0,914840809.85,,966.92,14.47,15.89,0.1075,21.93,0.1812
2017-05-29,9406076.0,204076079.94,5.62,14.86,4.04,220.06,1.0,136358429.89,7348409.0,6284900.0,159432530.9,,,295786.0,13.66,,,,0.25,577075.0,14588.0,,,13.66,295786.0,,9899.0,29205.0,171.33,0.62,,,15.01,15.01,41603184.0,902630884.94,,968.3,15.03,15.64,0.1098,20.59,0.1922
2017-05-30,9452928.0,206559124.4,5.65,15.22,4.06,220.44,1.0,137942951.44,7225759.0,6312792.0,157892501.9,,,6809.0,2.74,,,,4.35,109890.0,178577.0,,,2.74,6809.0,,49118.0,81998.0,167.44,2.28,,,14.77,14.77,41686632.0,910908684.08,,962.37,14.82,14.78,0.1095,20.97,0.1933
2017-05-31,9397272.0,202338809.34,5.61,15.11,4.04,218.87,1.0,135005042.45,7199107.0,6270073.0,155008681.1,,,17631.0,0.11,,,,1.01,2006.0,44283.0,,,0.11,17631.0,,,44725.0,166.59,1.04,,,14.76,14.76,41572668.0,895128303.65,,961.03,14.77,14.64,0.1093,21.14,0.1927
2017-06-01,9333499.0,205572962.76,5.58,14.69,4.01,217.47,1.0,136155017.35,7382207.0,6181760.0,162595203.01,,,286787.0,1.28,,,,4.95,37443.0,206172.0,,,1.28,286787.0,,102485.0,125756.0,170.88,3.5,,,15.17,15.17,41287576.0,909370571.9,,950.07,15.24,15.05,0.1089,21.09,0.1918
2017-06-02,8198141.0,185037181.25,4.9,12.74,3.52,194.61,1.0,118649632.27,7130243.0,5256816.0,160934053.99,,,79070.0,0.28,,,,11.76,5000.0,506232.0,,,0.28,79070.0,,175198.0,929944.0,167.97,20.27,,,14.58,14.58,41786212.0,943140997.88,,981.43,14.61,17.33,0.1185,24.05,0.1676
2017-06-05,7753153.0,175795409.74,4.63,11.85,3.33,187.8,1.0,109006988.39,7020492.0,4807565.0,159183014.67,,,14000.0,2.13,,11000.0,,2.58,63005.0,123751.0,,,2.13,14000.0,0.27,,523256.0,168.9,12.23,,,14.34,14.34,41930508.0,950734602.37,,1008.07,14.35,18.17,0.1306,25.91,0.1584
2017-06-06,7800856.0,177243766.67,4.66,12.04,3.35,189.22,1.0,110183857.2,6180952.0,4849414.0,140437820.43,,,15716.0,1.99,,,,20.99,79174.0,875856.0,,,1.99,15716.0,,20600.0,37325.0,149.0,0.89,,,12.61,12.61,42837960.0,973324130.97,,1032.42,12.61,18.1,0.1302,25.75,0.1591
2017-06-07,8937027.0,201336165.89,5.34,13.96,3.84,217.29,1.0,134754990.35,6535434.0,5981583.0,147232320.55,,,329987.0,29.34,,,,0.96,1177439.0,40941.0,,,29.34,329987.0,,65436.0,45270.0,157.56,1.13,,,13.33,13.33,42497512.0,957397367.82,,1025.73,13.32,16.56,0.1303,24.29,0.1823
2017-06-08,9116374.0,205419409.94,5.45,14.17,3.92,221.32,1.0,139960116.89,6521167.0,6211335.0,146941566.6,,,31596.0,5.68,,,,1.23,229752.0,50499.0,,,5.68,31596.0,,4636.0,,156.52,,,,14.0,14.0,40071136.0,902923587.03,,961.73,14.0,16.23,0.1257,23.68,0.1957
2017-06-09,8405496.0,190191508.07,5.02,13.19,3.61,203.45,1.0,124307423.19,6603326.0,5493755.0,149413732.42,,,81763.0,8.0,,,,1.77,356646.0,73684.0,,,8.0,81763.0,,74080.0,1074226.0,158.56,25.72,,,14.1,14.1,40220416.0,910069027.95,,965.63,14.1,16.71,0.1265,25.82,0.1795
2017-06-12,8503354.0,191886053.71,5.08,13.4,3.65,206.85,1.0,125680742.1,6312061.0,5569492.0,142437498.91,,,78227.0,10.29,,,,11.28,407144.0,471496.0,,,10.29,78227.0,,102004.0,331407.0,151.67,7.68,,,13.28,13.28,41220340.0,930175125.65,,990.97,13.27,16.38,0.1231,25.41,0.1789
2017-06-13,8707546.0,198990944.35,5.2,14.06,3.74,212.0,1.0,132706365.44,6099466.0,5807032.0,139389272.18,,,4572.0,5.94,,,,7.19,262357.0,298753.0,,,5.94,4572.0,,81586.0,24817.0,147.13,0.38,,,12.85,12.85,41380960.0,945666702.02,,995.43,12.88,16.16,0.1203,24.73,0.1834
2017-06-14,8343664.0,189812296.38,4.98,13.67,3.58,204.38,1.0,126105662.42,6000226.0,5543283.0,136500783.81,,,27909.0,0.97,,,,3.04,14592.0,127149.0,,,0.97,27909.0,,,278341.0,145.63,6.49,,,12.75,12.75,41064384.0,934184912.81,,996.94,12.75,16.74,0.1292,26.24,0.1773
2017-06-15,8394008.0,192259838.41,5.01,13.91,3.61,206.79,1.0,128231486.8,5897824.0,5598549.0,135086205.45,,,9314.0,4.96,,,,2.93,171224.0,121338.0,,,4.96,9314.0,,9622.0,115958.0,143.62,2.88,,,12.5,12.5,41285716.0,945625151.53,,1004.41,12.51,16.65,0.1304,26.52,0.1779
2017-06-16,8348085.0,191992925.09,4.99,13.96,3.59,205.18,1.0,127735884.0,5779847.0,5554111.0,132927459.66,,,15317.0,0.53,,,,3.84,35094.0,160293.0,,,0.53,15317.0,,26999.0,79532.0,140.81,1.89,,,12.26,12.26,41367200.0,951381033.0,,1007.0,12.27,16.85,0.1326,26.88,0.1771
2017-06-19,8605578.0,195406538.1,5.14,14.23,3.7,212.02,1.0,131930155.04,5926234.0,5810119.0,134566774.0,,,8485.0,7.52,,,,0.02,271198.0,4001.0,,,7.52,8485.0,,141903.0,15190.0,144.4,0.52,,,12.58,12.58,41200784.0,935544662.82,,1008.87,12.52,16.08,0.1326,26.86,0.1826
2017-06-20,8793023.0,198009322.19,5.25,14.56,3.78,214.39,1.0,131889311.61,6043475.0,5856824.0,136092489.28,,,317074.0,4.13,,,,5.03,210731.0,203430.0,,,4.13,317074.0,,3597.0,164026.0,145.55,4.28,,,12.93,12.93,40678500.0,916035612.84,,981.99,12.91,15.74,0.1283,26.75,0.1882
2017-06-21,8812585.0,199278437.74,5.26,14.58,3.79,213.44,1.0,132793664.02,6048271.0,5872464.0,136769176.8,,,126543.0,0.78,,,,2.98,48600.0,122636.0,,,0.78,126543.0,,889.0,32960.0,144.87,0.8,,,12.84,12.84,41048224.0,928220942.06,,982.62,12.85,15.87,0.1273,26.52,0.1871
2017-06-22,8783724.0,202466179.94,5.25,14.71,3.77,214.67,1.0,133412186.57,6159451.0,5787909.0,141976286.43,,,81833.0,,,,,0.8,,34453.0,,,,81833.0,,63800.0,84555.0,149.22,1.19,,,13.08,13.08,40925864.0,943347416.77,,987.39,13.13,16.09,0.1275,26.53,0.1865
2017-06-23,8771495.0,198844114.38,5.24,15.44,3.77,216.39,1.0,130930927.34,6189233.0,5775680.0,140305906.18,,,32478.0,1.48,,,,0.12,47291.0,4705.0,,,1.48,32478.0,,2009.0,59520.0,151.2,0.51,,,13.14,13.14,40921652.0,927667364.67,,999.82,13.14,15.95,0.1278,26.62,0.1862
2017-06-26,8864085.0,201068086.18,5.29,16.34,3.81,216.62,1.0,131836997.51,6252057.0,5812033.0,141818262.76,,,117867.0,6.91,,,,3.38,284128.0,135648.0,,,6.91,117867.0,,80605.0,247775.0,151.48,6.92,,,13.28,13.28,40823964.0,926028610.02,,985.77,13.32,15.94,0.1245,26.26,0.1883
2017-06-27,8968544.0,198167173.8,5.36,16.6,3.85,216.07,1.0,129909639.34,6285558.0,5879381.0,138884445.97,,,66082.0,2.21,,,,0.79,111617.0,32581.0,,,2.21,66082.0,,,44269.0,150.34,1.42,,,13.33,13.33,40859976.0,902833945.55,,978.01,13.32,15.71,0.1228,25.98,0.1902
2017-06-28,8599928.0,186221861.44,5.14,15.98,3.69,202.23,1.0,121637327.2,5944629.0,5617344.0,128724319.31,,,,2.38,,1693.0,,8.58,109400.0,342809.0,,,2.38,,0.04,1880.0,373130.0,138.31,10.61,,,12.63,12.63,41119320.0,890393072.08,,960.21,12.59,16.07,0.1292,26.61,0.1827
