,GREAL FP Equity_DX_SI_QTY,GREAL FP Equity_DX_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GREAL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GREAL FP Equity_DX_SI_MV,GREAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SUPPLY_SI_QTY,GREAL FP Equity_DX_BROKER_SI_QTY,GREAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GREAL FP Equity_DX_BROKER_SI_QTY_ADD,GREAL FP Equity_DX_BROKER_SI_MV_ADD,GREAL FP Equity_DX_BROKER_SI_QTY_DEC,GREAL FP Equity_DX_SUPPLY_SI_MV,GREAL FP Equity_DX_BROKER_SI_MV_DEC,GREAL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GREAL FP Equity_DX_UTILIZATION_QUANTITY,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GREAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GREAL FP Equity_DX_ACTIVE_UTILIZATION_MV,GREAL FP Equity_DX_BROKER_SI_CON_RATIO,GREAL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GREAL FP Equity_DX_DEMAND_SUPPLY_RATIO,GREAL FP Equity_PX_LAST
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,5.6507
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,5.4954
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,5.4627
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,5.6976
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,5.9049
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,5.9232
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,5.7594
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,5.8511
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,5.7507
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,5.8041
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,6.108
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,6.0771
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,6.2629
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,6.0909
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,6.2018
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,6.406
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,6.3174
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,6.1569
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,6.2875
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,6.3647
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,6.4054
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,6.4712
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,6.8196
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,6.9032
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,6.8371
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,6.8288
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,6.6198
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,6.5376
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,6.6142
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,6.5901
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,6.5661
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,6.5484
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,6.7332
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,6.7006
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,6.6447
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,6.5769
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,6.478
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,6.5454
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,6.6275
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,6.675
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,6.6523
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,6.5614
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,6.622
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,6.6901
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,6.5997
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,6.8033
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,6.8851
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,6.6941
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,6.6479
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,6.295
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,6.1656
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,6.405
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,6.3787
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,6.4001
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,6.3862
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,6.4008
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,6.4917
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,6.3929
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,6.569
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,6.6592
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,6.8261
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,6.6867
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,6.7507
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,6.8801
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,6.8216
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,7.1141
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,7.197
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,7.2458
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,7.3603
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,7.3278
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,7.22
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,7.0457
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,7.0578
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,7.1091
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,7.1639
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,7.063
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,7.0763
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,7.1248
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,6.9981
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,6.9386
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,6.9753
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,7.4333
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,7.3085
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,7.1197
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,7.0521
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,7.0985
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,7.1074
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,7.0481
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,7.057
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,7.067
2023-02-15,,,,,,,,,,,,,,,,,,,,,,,,6.9548
2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,6.8727
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,6.8924
2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,6.9117
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,6.7786
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,6.7319
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,6.8344
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,6.666
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,6.7678
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,6.7541
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,6.5399
2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,6.5662
2023-03-03,,,,,,,,,,,,,,,,,,,,,,,,6.6575
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,6.7639
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,6.5988
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,6.5237
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,6.2739
2023-03-10,,,,,,,,,,,,,,,,,,,,,,,,6.1749
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,6.196
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,6.3093
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,6.2336
2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,6.1104
2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,6.0057
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,6.0458
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,6.0419
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,5.7932
2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,5.8363
2023-03-24,,,,,,,,,,,,,,,,,,,,,,,,5.6586
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,5.6737
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,5.4802
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,5.6124
2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,5.8358
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,5.8558
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,5.8055
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,5.8521
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,5.7018
2023-04-06,,,,,,,,,,,,,,,,,,,,,,,,5.8405
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,5.9087
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,6.0089
2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,5.9985
2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,6.1555
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,6.2114
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,6.1832
2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,6.0887
2023-04-20,,,,,,,,,,,,,,,,,,,,,,,,6.0552
2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,6.0346
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,6.0299
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,5.9503
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,5.9429
2023-04-27,,,,,,,,,,,,,,,,,,,,,,,,5.961
2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,6.1341
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,5.9444
2023-05-03,,,,,,,,,,,,,,,,,,,,,,,,5.9132
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,5.9315
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,5.9594
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,5.8675
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,5.7168
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,5.7674
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,5.7982
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,5.6922
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,5.7924
2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,5.759
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,5.7074
2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,5.6903
2023-05-19,,,,,,,,,,,,,,,,,,,,,,,,5.7004
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,5.7359
2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,5.8318
