,NK FP Equity_DX_SI_QTY,NK FP Equity_DX_SHORT_INTEREST_VALUE,NK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NK FP Equity_DX_SI_MV,NK FP Equity_DX_DSS,NK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY,NK FP Equity_DX_BROKER_SI_QTY,NK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NK FP Equity_DX_BROKER_SI_MV_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_INC_x,NK FP Equity_DX_BROKER_SI_MV_INC_x,NK FP Equity_DX_SUPPLY_SI_MV_NEW,NK FP Equity_DX_BROKER_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_NEW,NK FP Equity_DX_SUPPLY_SI_MV_DEC,NK FP Equity_DX_BROKER_SI_QTY_INC,NK FP Equity_DX_SUPPLY_SI_QTY_DEC,NK FP Equity_DX_BROKER_SI_MV_NEW_y,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NK FP Equity_DX_BROKER_SI_MV_INC_y,NK FP Equity_DX_SUPPLY_SI_QTY_INC_y,NK FP Equity_DX_BROKER_SI_MV_ADD,NK FP Equity_DX_SUPPLY_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_DEC,NK FP Equity_DX_SUPPLY_SI_MV,NK FP Equity_DX_BROKER_SI_MV_DEC,NK FP Equity_DX_SUPPLY_SI_MV_RMV,NK FP Equity_DX_BROKER_SI_MV_RMV,NK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NK FP Equity_DX_UTILIZATION_QUANTITY,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NK FP Equity_DX_ACTIVE_UTILIZATION_MV,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NK FP Equity_DX_BROKER_SI_CON_RATIO,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NK FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-08-24,193233.0,12289618.8,0.6,2.01,0.24,12.27,0.0,10881451.2,86856.0,171092.0,5524041.6,,,,0.81,,,,0.08,12927.0,991.0,,,0.81,,,3848.0,,5.51,,,,1.08,1.08,7953168.0,505821484.8,,506.62,1.08,18.94,0.4254,61.78,0.024
2018-08-27,195675.0,12464497.5,0.61,2.05,0.25,12.45,0.0,10916269.0,96754.0,171370.0,6163229.8,,,4895.0,0.63,,,,,9898.0,,,,0.63,4895.0,,5003.0,9620.0,6.15,0.6,,,1.21,1.21,7916966.0,504310734.2,,504.72,1.2,24.62,0.4088,58.57,0.0244
2018-08-28,199155.0,12686173.5,0.62,2.05,0.25,12.67,0.0,11137945.0,107691.0,174850.0,6859916.7,,,,0.13,,10937.0,,,2000.0,,,,0.13,,0.69,10937.0,9457.0,6.86,0.6,,,1.34,1.34,7917167.0,504323537.9,,505.51,1.34,25.33,0.3485,52.53,0.0248
2018-08-29,194929.0,12290273.45,0.61,1.99,0.24,12.36,0.0,10757843.2,104999.0,170624.0,6620186.95,,,,,,,,0.17,,2692.0,,,,,,,4226.0,6.68,0.27,,,1.32,1.32,7872605.0,496367745.25,,501.83,1.31,26.13,0.3622,53.5,0.0244
2018-08-30,190364.0,11935822.8,0.59,1.93,0.24,11.99,0.0,10411899.3,92570.0,166059.0,5804139.0,,,,0.39,,,,0.8,6372.0,12429.0,,,0.39,,,,10937.0,5.83,0.7,,,1.16,1.16,7881725.0,494184157.5,,498.24,1.16,26.88,0.3819,55.03,0.0239
2018-08-31,232172.0,14371446.8,0.73,2.34,0.29,14.5,0.0,10070449.1,133900.0,162689.0,8288410.0,,,4000.0,0.33,,,,0.24,5262.0,3848.0,,,0.33,4000.0,,41178.0,8632.0,8.39,0.56,,,1.69,1.69,7793167.0,482397037.3,,489.57,1.69,20.16,0.2833,44.69,0.0293
2018-09-03,203209.0,12537995.3,0.63,2.03,0.25,12.59,0.0,8763929.7,138020.0,142041.0,8515834.0,,,15599.0,,,,,0.73,,11512.0,,,,15599.0,,33.0,20648.0,8.55,1.31,,,1.74,1.74,7804068.0,481510995.6,,485.18,1.73,21.35,0.3013,45.58,0.0256
2018-09-04,168637.0,10329016.25,0.53,1.7,0.21,10.67,0.0,8646662.5,143836.0,141170.0,8809955.0,,,,,,38963.0,,1.2,,19274.0,,,,,2.67,25090.0,39834.0,8.87,2.49,,,1.81,1.81,7799654.0,477728807.5,,482.99,1.8,28.48,0.2438,33.26,0.0212
2018-09-05,210624.0,12732220.8,0.66,2.15,0.26,12.98,0.0,7581578.55,166456.0,125419.0,10062265.2,,,57738.0,0.13,,,,2.34,2331.0,37910.0,,,0.13,57738.0,,2792.0,18082.0,10.18,1.26,,,2.1,2.1,7767951.0,469572637.95,,475.77,2.09,24.96,0.2466,37.61,0.0265
2018-09-06,282802.0,17123661.1,0.88,2.84,0.35,17.28,0.0,11787813.45,175636.0,194679.0,10634759.8,,,,4.02,,2491.0,,0.02,66769.0,284.0,,,4.02,,0.15,9464.0,,10.62,,,,2.21,2.21,7783560.0,471294558.0,,473.6,2.19,24.62,0.2818,42.57,0.0355
2018-09-07,262398.0,15665160.6,0.82,2.68,0.33,16.04,0.0,10578422.1,187540.0,177193.0,11196138.0,,,808.0,,,4000.0,,2.33,,38563.0,,,,808.0,0.24,49659.0,21486.0,11.32,1.33,,,2.35,2.35,7788184.0,464954584.8,,472.44,2.34,19.36,0.2776,44.41,0.0329
2018-09-10,309559.0,18511628.2,0.97,3.12,0.39,18.94,0.0,13416369.2,184288.0,224354.0,11020422.4,,,,3.13,,1440.0,,0.19,48306.0,3252.0,,,3.13,,0.09,,2585.0,10.99,0.2,,,2.31,2.31,7795520.0,466172096.0,,469.36,2.29,15.3,0.3662,56.56,0.0388
2018-09-11,312382.0,18430538.0,0.98,3.25,0.39,19.1,0.0,13403443.0,206355.0,227177.0,12174945.0,,,1904.0,0.25,,,,0.0,4118.0,74.0,,,0.25,1904.0,,20237.0,1295.0,12.33,0.08,,,2.57,2.57,7835169.0,462274971.0,,469.73,2.56,14.95,0.362,56.05,0.0388
2018-09-12,276667.0,16364853.05,0.86,3.05,0.35,16.7,0.0,11514079.85,174840.0,194659.0,10341786.0,,,,0.0,,,,3.29,2534.0,53592.0,,,0.0,,,22077.0,35052.0,10.31,2.12,,,2.17,2.17,7865358.0,465235925.7,,467.19,2.16,10.44,0.4383,64.29,0.0344
2018-09-13,362166.0,21838609.8,1.13,4.1,0.45,22.09,0.0,16893527.4,182270.0,280158.0,10990881.0,,,7430.0,5.49,,,,,87399.0,,,,5.49,7430.0,,,1900.0,10.76,0.11,,,2.27,2.27,7862757.0,474124247.1,,470.08,2.24,7.5,0.5652,74.29,0.045
2018-09-14,394845.0,23809153.5,1.23,4.46,0.5,24.54,0.0,18676417.5,227205.0,309725.0,13700461.5,,,27056.0,2.53,,,,0.21,36971.0,3404.0,,,2.53,27056.0,,21283.0,7404.0,13.72,0.42,,,2.83,2.83,7808648.0,470861474.4,,474.4,2.81,8.57,0.5314,71.76,0.0491
2018-09-17,432134.0,26273747.2,1.35,4.94,0.54,26.99,0.0,21098451.2,234315.0,347014.0,14246352.0,,,5000.0,2.47,,,,0.02,37289.0,264.0,,,2.47,5000.0,,2374.0,,14.11,,,,2.9,2.9,7841648.0,476772198.4,,476.67,2.88,7.68,0.566,74.33,0.0535
2018-09-18,472623.0,28688216.1,1.48,5.36,0.59,29.64,0.0,23521432.1,234315.0,387503.0,14222920.5,,,,2.57,,,,,40489.0,,,,2.57,,,,,14.25,,,,2.89,2.89,7863131.0,477292051.7,,480.73,2.88,14.05,0.4923,68.17,0.0584
2018-09-19,499382.0,30262549.2,1.56,5.5,0.63,31.23,0.0,24883814.4,240205.0,410624.0,14556423.0,,,,1.38,,,,,23121.0,,,,1.38,,,5890.0,,14.58,,,,2.98,2.98,7811321.0,473366052.6,,476.91,2.97,17.53,0.4534,64.43,0.062
2018-09-20,545542.0,33714495.6,1.7,5.94,0.68,33.98,0.0,26107286.4,287998.0,422448.0,17798276.4,,,8139.0,0.93,,,,,15055.0,,,,0.93,8139.0,,39654.0,3231.0,17.4,0.2,,,3.57,3.57,7783650.0,481029570.0,,475.86,3.53,17.84,0.3855,58.36,0.0676
2018-09-21,533809.0,33629967.0,1.67,5.7,0.67,33.84,0.0,26078598.0,284767.0,413946.0,17940321.0,,,,0.39,,,,0.19,2598.0,3231.0,,,0.39,,,,11100.0,17.61,0.67,,,3.53,3.53,7781352.0,490225176.0,,485.9,3.5,18.37,0.4023,59.62,0.0662
2018-09-24,515827.0,32342352.9,1.61,5.28,0.65,33.16,0.0,25154487.6,271225.0,401188.0,17005807.5,,,,,,,,0.69,,12724.0,,,,,,1400.0,12758.0,17.08,0.48,0.14,,3.38,3.38,7743812.0,485537012.4,2218.0,489.12,3.37,18.64,0.4189,61.01,0.0644
2018-09-25,526685.0,33681505.75,1.65,5.29,0.66,33.88,0.0,25957752.65,281564.0,405907.0,18006017.8,,,2658.0,0.36,,,,0.54,6219.0,8132.0,,,0.36,2658.0,,15813.0,1500.0,17.67,0.09,,,3.53,3.53,7700435.0,492442818.25,,488.46,3.49,18.47,0.3974,59.3,0.066
2018-09-26,536973.0,34017239.55,1.68,5.19,0.67,34.99,0.0,26373808.65,294175.0,416319.0,18635986.25,,,9355.0,0.83,,1600.0,,0.13,8812.0,2448.0,,,0.83,9355.0,0.1,5704.0,,18.81,,,,3.68,3.68,7689723.0,487143952.05,,492.41,3.68,18.56,0.3943,59.02,0.0673
2018-09-27,535671.0,34202593.35,1.67,5.14,0.67,34.85,0.0,27737333.9,285644.0,434414.0,18238369.4,,,7563.0,1.13,,,,1.3,18095.0,20138.0,,,1.13,7563.0,,4044.0,,18.15,,,,3.58,3.58,7697148.0,491462899.8,,491.72,3.56,20.27,0.4177,60.58,0.0671
2018-09-28,536623.0,34129222.8,1.68,5.06,0.67,35.01,0.0,27684444.0,289895.0,435290.0,18437322.0,,,2740.0,0.46,,,,0.1,7363.0,1677.0,,,0.46,2740.0,,3188.0,6487.0,18.53,0.33,,,3.63,3.63,7691455.0,489176538.0,,492.94,3.62,21.07,0.4132,59.84,0.0672
2018-10-01,527988.0,32920051.8,1.65,4.89,0.66,34.25,0.0,26899535.8,298371.0,431428.0,18603431.85,,,21506.0,0.55,,,,0.85,10877.0,13030.0,,,0.55,21506.0,,,14739.0,18.98,0.94,,,3.89,3.89,7362835.0,459072762.25,,465.97,3.91,23.16,0.4243,60.37,0.0689
2018-10-02,554738.0,34837546.4,1.73,5.08,0.7,35.53,0.0,28246058.4,325354.0,449778.0,20432231.2,,,15614.0,0.64,,4099.0,,0.35,14251.0,4421.0,,,0.64,15614.0,0.26,15790.0,,20.31,,,,4.27,4.27,7295496.0,458157148.8,,456.32,4.26,24.41,0.3923,57.05,0.0728
2018-10-03,566207.0,35671041.0,1.77,5.23,0.71,36.44,0.0,28607103.0,338791.0,454081.0,21343833.0,,,34511.0,1.04,,,,1.76,16130.0,28431.0,,,1.04,34511.0,,7357.0,11827.0,21.31,0.67,,,4.4,4.4,7357862.0,463545306.0,,463.62,4.4,26.45,0.3679,53.55,0.0736
2018-10-04,588363.0,37125705.3,1.84,5.51,0.74,38.01,0.0,29904856.8,342338.0,473928.0,21601527.8,,,7879.0,1.63,,4600.0,,0.29,23312.0,4332.0,,,1.63,7879.0,0.29,,8065.0,21.56,0.5,,,4.45,4.45,7354928.0,464095956.8,,463.89,4.44,25.35,0.3821,55.56,0.0764
2018-10-05,601364.0,36502794.8,1.88,5.62,0.75,38.59,0.0,29042582.7,350806.0,478461.0,21293924.2,,,8468.0,0.23,,,,,7552.0,,,,0.23,8468.0,,,3019.0,22.18,0.18,,,4.55,4.55,7356494.0,446539185.8,,460.35,4.6,25.04,0.39,56.41,0.078
2018-10-08,602681.0,36160860.0,1.88,5.52,0.76,37.79,0.0,28439280.0,351228.0,473988.0,21073680.0,,,4013.0,0.18,,,,0.53,3177.0,8040.0,,,0.18,4013.0,,4449.0,7650.0,21.35,0.91,,,4.54,4.54,7377087.0,442625220.0,,448.01,4.55,25.29,0.3877,56.16,0.078
2018-10-09,602677.0,35859281.5,1.88,5.55,0.76,37.39,0.0,28202048.0,375865.0,473984.0,22363967.5,,,32697.0,0.59,,,,0.53,12446.0,8560.0,,,0.59,32697.0,,500.0,12450.0,22.55,0.79,,,4.87,4.87,7345730.0,437070935.0,,441.29,4.86,25.33,0.3922,56.56,0.0781
2018-10-10,626874.0,36264660.9,1.96,5.7,0.79,38.56,0.0,28819770.85,381224.0,498181.0,22053808.4,,,2000.0,1.5,,,,,24197.0,,,,1.5,2000.0,,3359.0,,22.66,,,,4.93,4.93,7343698.0,424832929.3,,435.26,4.95,23.74,0.4082,58.68,0.0812
2018-10-11,633733.0,35964347.75,1.98,5.65,0.79,38.16,0.0,28661020.0,384724.0,505040.0,21833087.0,,,815.0,0.02,,,,0.02,6859.0,139.0,,,0.02,815.0,,2824.0,,22.23,,,,4.96,4.96,7376458.0,418613991.5,,426.57,4.95,23.46,0.4072,58.7,0.0817
2018-10-12,645690.0,36739761.0,2.02,5.66,0.81,38.52,0.0,29385436.0,380615.0,516440.0,21656993.5,,,754.0,0.96,,,,0.45,16466.0,7375.0,,,0.96,754.0,,2512.0,5066.0,21.63,0.28,,,4.87,4.87,7428241.0,422666912.9,,424.68,4.85,26.0,0.4035,57.36,0.0827
2018-10-15,630543.0,35657206.65,1.97,5.59,0.79,37.37,0.0,28419315.6,374797.0,502552.0,21194770.35,,,4641.0,0.22,,3000.0,,0.59,4000.0,10459.0,,,0.22,4641.0,0.17,,20888.0,21.33,1.42,,,4.78,4.78,7460877.0,421912594.35,,426.34,4.76,26.69,0.3805,54.92,0.0805
2018-10-16,617503.0,35815174.0,1.93,5.43,0.77,36.85,0.0,28618766.0,372368.0,493427.0,21597344.0,,,6135.0,0.46,,,,0.73,4044.0,12608.0,,,0.46,6135.0,,4044.0,13169.0,21.09,0.73,,,4.75,4.75,7464344.0,432931952.0,,427.86,4.7,28.33,0.3939,55.39,0.0788
2018-10-17,649687.0,37519424.25,2.03,5.68,0.81,39.22,0.0,28430209.5,405672.0,492298.0,23427558.0,,,37089.0,0.29,,,,1.16,5819.0,22735.0,,,0.29,37089.0,,18950.0,6948.0,23.59,0.11,,,5.17,5.17,7439591.0,429636380.25,,434.33,5.15,26.75,0.351,50.97,0.0828
2018-10-18,648421.0,37284207.5,2.03,5.7,0.81,38.99,0.0,28928307.5,413345.0,503101.0,23767337.5,,,23887.0,0.51,,,,0.94,10803.0,16214.0,,,0.51,23887.0,,,,23.95,,,,5.25,5.25,7464696.0,429220020.0,,431.36,5.26,27.41,0.3525,51.18,0.0823
2018-10-19,660598.0,36663189.0,2.06,5.75,0.83,39.14,0.0,28672243.5,419637.0,516617.0,23289853.5,,,10242.0,0.69,,,,0.33,13516.0,5215.0,,,0.69,10242.0,,1265.0,,24.09,,,,5.3,5.3,7497803.0,416128066.5,,426.17,5.35,26.3,0.3579,52.34,0.0834
2018-10-22,692361.0,38495271.6,2.16,6.09,0.87,40.32,0.0,30581167.6,427224.0,550021.0,23753654.4,,,10994.0,1.72,,,,0.31,36404.0,3407.0,,,1.72,10994.0,,,3000.0,23.74,0.17,,,5.39,5.39,7493590.0,416643604.0,,416.43,5.39,27.89,0.3447,50.22,0.0874
2018-10-23,714607.0,38267204.85,2.23,6.25,0.9,40.9,0.0,30430697.85,438782.0,568267.0,23496776.1,,,4000.0,0.62,,,,0.0,18282.0,36.0,,,0.62,4000.0,,7594.0,36.0,24.38,0.17,,,5.54,5.54,7488266.0,400996644.3,,411.53,5.59,28.15,0.3366,49.26,0.0901
2018-10-24,724998.0,38098644.9,2.26,6.31,0.91,40.59,0.0,30537645.8,460188.0,581116.0,24182879.4,,,23700.0,0.62,,,,0.33,12849.0,4058.0,,,0.62,23700.0,,1764.0,,24.7,,,,5.81,5.81,7457636.0,391898771.8,,397.72,5.85,27.76,0.3288,48.65,0.0916
2018-10-25,687046.0,36688256.4,2.15,5.87,0.86,38.01,0.0,31351620.6,409619.0,587109.0,21873654.6,,,,0.11,,,,2.76,12961.0,50569.0,,,0.11,,,,6968.0,21.54,0.35,,,5.17,5.17,7515904.0,401349273.6,,397.2,5.14,30.27,0.374,52.51,0.0867
2018-10-26,688773.0,37365935.25,2.15,5.84,0.86,38.46,0.0,31518056.5,400273.0,580978.0,21714810.25,,,,0.25,,,,0.48,2732.0,9346.0,,,0.25,,,,8863.0,21.36,0.48,,,5.08,5.08,7486550.0,406145337.5,,401.25,5.05,31.6,0.3826,52.63,0.0873
2018-10-29,678721.0,36888486.35,2.12,5.78,0.85,38.25,0.0,29741570.05,405387.0,547223.0,22032783.45,,,6592.0,,,,,1.06,,20342.0,,,,6592.0,,18864.0,33755.0,22.0,1.63,,,5.18,5.18,7422392.0,403407005.2,,402.87,5.18,28.09,0.3716,53.33,0.0867
2018-10-30,680829.0,37479636.45,2.13,5.88,0.85,38.53,0.0,30031811.85,414020.0,545537.0,22791801.0,,,3443.0,0.08,,,,0.23,1000.0,4329.0,,,0.08,3443.0,,9519.0,2686.0,22.54,0.03,,,5.27,5.27,7445068.0,409850993.4,,406.69,5.25,28.1,0.3676,52.87,0.0866
2018-10-31,682510.0,37196795.0,2.13,6.02,0.86,38.86,0.0,29492893.0,415156.0,541154.0,22626002.0,,,5400.0,0.49,,,,0.37,4452.0,7070.0,,,0.49,5400.0,,2806.0,8835.0,22.86,0.56,,,5.32,5.32,7390289.0,402770750.5,,406.23,5.33,26.33,0.3713,54.01,0.0874
2018-11-01,708624.0,38371989.6,2.21,6.1,0.89,40.07,0.0,31086973.5,451062.0,574090.0,24425007.3,,,40902.0,0.9,,14823.0,,0.28,18113.0,4996.0,,,0.9,40902.0,0.84,,,24.52,,,,5.79,5.79,7341386.0,397536051.9,,398.54,5.8,26.66,0.3538,52.24,0.0909
2018-11-02,694588.0,38584363.4,2.17,6.04,0.87,39.46,0.0,30721927.5,458101.0,553050.0,25447510.55,,,13922.0,1.12,,1900.0,,1.12,15952.0,22004.0,,,1.12,13922.0,0.1,15121.0,38892.0,25.16,2.21,,,5.88,5.88,7333416.0,407371258.8,,402.08,5.89,29.79,0.3296,48.26,0.0891
2018-11-05,685453.0,36226191.05,2.14,6.07,0.86,38.78,0.0,28745907.75,454410.0,543915.0,24015568.5,,,4227.0,,,,,0.65,,12066.0,,,,4227.0,,4148.0,9135.0,25.2,0.56,,,5.9,5.9,7241246.0,382699851.1,,395.84,5.98,29.0,0.3415,50.01,0.0891
2018-11-06,698333.0,36103816.1,2.18,6.16,0.88,38.42,0.0,28679179.1,466306.0,554723.0,24108020.2,,,12000.0,0.29,,,,1.69,12990.0,26081.0,,,0.29,12000.0,,25977.0,2182.0,24.63,0.14,,,6.01,6.01,7289899.0,376887778.3,,383.8,6.03,28.15,0.3303,48.8,0.09
2018-11-07,702094.0,37386505.5,2.19,6.35,0.88,38.7,0.0,29739273.0,466903.0,558484.0,24862584.75,,,1939.0,0.04,,1032.0,,0.1,3164.0,1342.0,,,0.04,1939.0,0.06,,435.0,24.17,0.0,,,6.02,6.02,7294689.0,388442189.25,,382.71,5.94,28.71,0.3292,48.42,0.0905
2018-11-08,718258.0,38211325.6,2.24,6.38,0.9,40.03,0.0,29713157.6,481033.0,558518.0,25590955.6,,,4000.0,0.42,,,,0.22,4261.0,6000.0,,,0.42,4000.0,,16130.0,4227.0,25.68,0.23,,,6.18,6.18,7303072.0,388523430.4,,391.17,6.16,27.52,0.3179,47.38,0.0923
2018-11-09,703350.0,36679702.5,2.2,6.27,0.88,38.87,0.0,28349261.5,486331.0,543610.0,25362161.65,,,8354.0,0.43,,,,0.18,9000.0,3321.0,,,0.43,8354.0,,265.0,23908.0,25.92,1.54,,,6.26,6.26,7278910.0,379595156.5,,386.83,6.28,24.64,0.316,48.49,0.0906
2018-11-12,715328.0,36910924.8,2.23,6.45,0.9,39.14,0.0,28358740.8,492309.0,549588.0,25403144.4,,,9559.0,0.24,,6000.0,,0.53,5000.0,9581.0,,,0.24,9559.0,0.31,6000.0,5022.0,25.78,0.34,,,6.35,6.35,7266065.0,374928954.0,,380.81,6.34,23.45,0.3035,47.77,0.0922
2018-11-13,703095.0,37053106.5,2.2,6.4,0.88,38.42,0.0,28450358.5,497614.0,539855.0,26224257.8,,,4000.0,0.13,,,,0.14,4006.0,2500.0,,,0.13,4000.0,,3805.0,13739.0,25.66,0.56,,,6.42,6.42,7258519.0,382523951.3,,378.66,6.35,22.26,0.3037,48.31,0.0907
2018-11-14,799481.0,41852830.35,2.5,7.24,1.0,43.77,1.0,33672462.3,583436.0,643218.0,30542874.6,,,13722.0,5.52,,,,0.34,103363.0,7199.0,,,5.52,13722.0,,79299.0,,30.72,,,,7.51,7.51,7182965.0,376028217.75,,378.87,7.5,30.52,0.2921,42.83,0.1029
2018-11-15,770299.0,39978518.1,2.41,6.95,0.97,41.78,0.0,33408964.2,564652.0,643718.0,29305438.8,,,6500.0,0.31,,,,1.57,6500.0,29682.0,,,0.31,6500.0,,4398.0,6000.0,29.54,0.31,,,7.26,7.26,7215079.0,374462600.1,,377.65,7.26,31.82,0.3104,44.39,0.099
2018-11-16,760398.0,39198516.9,2.38,6.89,0.95,40.95,0.0,33616579.8,478044.0,652116.0,24643168.2,,,16225.0,0.31,,,,5.48,8398.0,104099.0,,,0.31,16225.0,,1266.0,,24.86,,,,6.15,6.15,7300683.0,376350208.65,,381.25,6.12,33.09,0.3294,45.71,0.0978
2018-11-19,732853.0,37375503.0,2.29,6.77,0.92,39.33,0.0,32349810.0,532790.0,634310.0,27172290.0,,,7685.0,0.37,,,,1.78,7663.0,32238.0,,,0.37,7685.0,,79299.0,25469.0,27.44,1.46,,,6.85,6.85,7242038.0,369343938.0,,373.45,6.84,30.02,0.3345,48.03,0.0943
2018-11-20,742885.0,36847096.0,2.32,6.86,0.93,39.41,0.0,31959363.2,541962.0,644342.0,26881315.2,,,10346.0,0.43,,,,0.06,10346.0,1174.0,,,0.43,10346.0,,,314.0,27.69,0.02,,,6.96,6.96,7245737.0,359388555.2,,369.43,6.97,29.13,0.3284,47.83,0.0954
2018-11-21,733019.0,36284440.5,2.29,6.8,0.92,38.42,0.0,31198167.0,547842.0,630266.0,27118179.0,,,6210.0,0.09,,,,0.15,2000.0,330.0,,,0.09,6210.0,,,16076.0,27.2,1.07,,,7.06,7.06,7215668.0,357175566.0,,360.9,7.01,27.53,0.3247,48.25,0.0944
2018-11-22,725376.0,35630469.12,2.27,6.78,0.91,37.97,0.0,30385828.48,543482.0,618604.0,26695835.84,,,6594.0,0.09,,4019.0,,0.55,2575.0,10954.0,,,0.09,6594.0,0.2,,18256.0,26.89,0.97,,,7.02,7.02,7201363.0,353730950.56,,355.48,7.03,25.04,0.3214,49.13,0.0937
2018-11-23,674063.0,32961680.7,2.11,6.42,0.85,34.94,0.0,27946398.9,487990.0,571501.0,23862711.0,,,8920.0,0.45,,,,3.23,8920.0,64412.0,,,0.45,8920.0,,,56023.0,24.02,3.25,,,6.34,6.34,7212006.0,352667093.4,,354.43,6.35,21.84,0.3302,51.17,0.0875
2018-11-26,658172.0,33204777.4,2.06,6.25,0.83,34.43,0.0,28627701.15,472099.0,567447.0,23817394.55,,,,,,,,0.81,,15891.0,,,,,,,4054.0,23.08,0.08,,,6.08,6.08,7290630.0,367812283.5,,359.93,6.03,22.87,0.3409,51.79,0.0848
2018-11-27,603667.0,29241629.48,1.89,5.68,0.76,31.71,0.0,24846910.48,466946.0,512942.0,22618864.24,,,4000.0,0.14,,,,0.36,4000.0,9153.0,,,0.14,4000.0,,,58505.0,23.58,3.06,,,6.03,6.03,7278217.0,352556831.48,,363.07,6.1,15.54,0.3771,57.65,0.0779
2018-11-28,603661.0,29132679.86,1.89,5.61,0.76,31.05,0.0,24754291.36,422732.0,512936.0,20401046.32,,,,,,,,2.3,,44214.0,,,,,,,6.0,20.43,0.01,,,5.47,5.47,7306196.0,352597018.96,,352.64,5.48,15.74,0.376,57.49,0.0781
2018-11-29,545127.0,26525879.82,1.7,5.0,0.68,28.2,0.0,22679647.44,396230.0,466084.0,19280551.8,,,,0.1,,,,1.29,2000.0,26502.0,,,0.1,,,,48852.0,19.08,2.39,,,5.19,5.19,7240790.0,352336841.4,,349.29,5.18,12.93,0.4218,62.33,0.0714
2018-11-30,544743.0,25820818.2,1.7,4.92,0.68,28.32,0.0,22074180.0,364936.0,465700.0,17297966.4,,,,,,,,1.51,,31294.0,,,,,,,384.0,17.79,0.0,,,4.67,4.67,7446115.0,352945851.0,,359.94,4.71,12.94,0.4259,62.71,0.0697
2018-12-03,477720.0,23035658.4,1.49,4.17,0.6,24.64,0.0,19315822.94,357582.0,400577.0,17242604.04,,,,,,,,0.55,,7354.0,,,,,,,65123.0,16.93,3.43,,,4.58,4.58,7442675.0,358885788.5,,354.47,4.56,10.42,0.5314,71.54,0.0612
2018-12-04,477720.0,22978332.0,1.49,4.1,0.6,24.84,0.0,19267753.7,357582.0,400577.0,17199694.2,,,,,,,,,,,,,,,,,,17.24,,,,4.6,4.6,7422554.0,357024847.4,,357.63,4.6,10.4,0.5293,71.39,0.0614
2018-12-05,461877.0,22234758.78,1.44,3.89,0.58,24.13,0.0,18521094.76,341582.0,384734.0,16443757.48,,,,0.08,,,,0.77,157.0,16000.0,,,0.08,,,,16000.0,16.43,0.78,,,4.36,4.36,7499115.0,361007396.1,,360.85,4.35,8.31,0.565,74.2,0.0589
2018-12-06,467674.0,21924557.12,1.46,3.94,0.59,24.31,0.0,18308093.28,346419.0,390531.0,16240122.72,,,6909.0,0.28,,,,0.1,5797.0,2072.0,,,0.28,6909.0,,,,16.66,,,,4.43,4.43,7477550.0,350547544.0,,356.53,4.46,8.04,0.5582,73.73,0.0598
2018-12-07,466011.0,22098241.62,1.46,3.83,0.58,23.94,0.0,18440120.56,344919.0,388868.0,16356058.98,,,,0.03,,,,0.33,4837.0,6500.0,,,0.03,,,5000.0,6500.0,16.17,0.29,,,4.38,4.38,7532031.0,357168910.02,,354.4,4.36,8.22,0.5741,74.89,0.0592
2018-12-10,484146.0,21031302.24,1.51,3.91,0.61,24.14,0.0,17680210.32,360918.0,407003.0,15678277.92,,,10095.0,0.32,,,,,18135.0,,,,0.32,10095.0,,5904.0,,17.1,,,,4.57,4.57,7530936.0,327143859.84,,347.67,4.69,8.74,0.5423,72.49,0.0613
2018-12-11,499199.0,22414035.1,1.56,3.85,0.63,24.0,0.0,18950314.4,371918.0,422056.0,16699118.2,,,11561.0,0.21,,,,0.26,15053.0,561.0,,,0.21,11561.0,,,,16.2,,,,4.71,4.71,7518428.0,337577417.2,,330.73,4.67,11.35,0.5166,70.34,0.0633
2018-12-12,506496.0,22893619.2,1.58,3.88,0.64,24.42,0.0,19406755.6,376918.0,429353.0,17036693.6,,,5000.0,0.29,,,,,7297.0,,,,0.29,5000.0,,,,16.9,,,,4.77,4.77,7532755.0,340480526.0,,338.53,4.75,12.22,0.5077,69.57,0.064
