,CC1 FP Equity_DX_SI_QTY,CC1 FP Equity_DX_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CC1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CC1 FP Equity_DX_SI_MV,CC1 FP Equity_DX_DSS,CC1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY,CC1 FP Equity_DX_BROKER_SI_QTY,CC1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CC1 FP Equity_DX_BROKER_SI_MV_INC_x,CC1 FP Equity_DX_SUPPLY_SI_MV_NEW,CC1 FP Equity_DX_BROKER_SI_QTY_ADD,CC1 FP Equity_DX_SUPPLY_SI_MV_DEC,CC1 FP Equity_DX_BROKER_SI_QTY_INC,CC1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CC1 FP Equity_DX_BROKER_SI_MV_INC_y,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CC1 FP Equity_DX_BROKER_SI_MV_ADD,CC1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CC1 FP Equity_DX_BROKER_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV,CC1 FP Equity_DX_BROKER_SI_MV_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV_RMV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CC1 FP Equity_DX_UTILIZATION_QUANTITY,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CC1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CC1 FP Equity_DX_BROKER_SI_CON_RATIO,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CC1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CC1 FP Equity_PX_LAST
2011-10-11,6200.0,970238.0,2.79,1.71,0.97,,970238.0,0.0,6200.0,0.0,,,,,,,,,,,,,,3000.0,0.0,0.44,,0.0,0.0,0.0,0.0,,0.0,0.0,41.94,0.513,58.06,0.0,156.49
2011-10-12,5400.0,865674.0,2.37,1.49,0.86,,865674.0,0.0,5400.0,0.0,,,,,,,,,,,,,,800.0,0.0,0.11,,0.0,0.0,0.0,0.0,,0.0,0.0,48.15,0.5007,51.85,0.0,160.31
2011-10-13,4500.0,712170.0,1.91,1.24,0.71,,712170.0,0.0,4500.0,0.0,,,,,,,,,,,,,,900.0,0.0,0.15,,0.0,0.0,0.0,0.0,,0.0,0.0,42.22,0.5121,57.78,0.0,158.26
2011-10-14,4500.0,710820.0,1.85,1.24,0.71,,710820.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,42.22,0.5121,57.78,0.0,157.96
2011-10-17,4500.0,708075.0,1.84,1.24,0.71,,708075.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,42.22,0.5121,57.78,0.0,157.35
2011-10-18,4500.0,694845.0,1.84,1.24,0.69,,694845.0,0.0,4500.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,42.22,0.5121,57.78,0.0,154.41
2011-10-19,5100.0,795039.0,2.0,1.41,0.79,,795039.0,0.0,5100.0,0.0,,,0.1,,,,600.0,,,0.1,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,155.89
2011-10-20,5100.0,760971.0,2.0,1.41,0.76,,760971.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,149.21
2011-10-21,5100.0,778413.0,2.29,1.41,0.78,,778413.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,152.63
2011-10-24,5100.0,821202.0,2.29,1.41,0.82,,821202.0,0.0,5100.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.02,0.5002,50.98,0.0,161.02
