,SELER FP Equity_DX_SI_QTY,SELER FP Equity_DX_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SELER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SELER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SELER FP Equity_DX_SI_MV,SELER FP Equity_DX_DSS,SELER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SUPPLY_SI_QTY,SELER FP Equity_DX_BROKER_SI_QTY,SELER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SELER FP Equity_DX_BROKER_SI_MV_NEW_x,SELER FP Equity_DX_BROKER_SI_QTY_ADD,SELER FP Equity_DX_BROKER_SI_QTY_NEW,SELER FP Equity_DX_BROKER_SI_MV_NEW_y,SELER FP Equity_DX_BROKER_SI_MV_ADD,SELER FP Equity_DX_SUPPLY_SI_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SELER FP Equity_DX_UTILIZATION_QUANTITY,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SELER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_MV,SELER FP Equity_DX_BROKER_SI_CON_RATIO,SELER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SELER FP Equity_DX_DEMAND_SUPPLY_RATIO,SELER FP Equity_PX_LAST
2012-08-23,30294.0,1134310.2,4.58,387.72,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-24,30294.0,1134310.2,4.58,416.89,2.07,1.27,1.0,1134310.2,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.99
2012-08-27,30294.0,1100026.85,4.58,423.89,2.07,1.27,1.0,1100026.85,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.6
2012-08-28,30294.0,1100273.5,4.58,417.46,2.07,1.27,1.0,1100273.5,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.61
2012-08-29,30294.0,1100273.5,4.58,434.01,2.07,1.27,1.0,1100273.5,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.61
2012-08-30,30294.0,1098300.35,4.58,434.01,2.07,1.27,1.0,1098300.35,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.53
2012-08-31,30294.0,1098547.0,4.58,430.11,2.07,1.27,1.0,1098547.0,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.54
2012-09-03,30294.0,1122471.35,4.58,430.11,2.07,1.27,1.0,1122471.35,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.51
2012-09-04,30294.0,1122471.35,4.58,430.11,2.07,1.27,1.0,1122471.35,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.51
2012-09-05,30294.0,1122224.71,4.58,430.11,2.07,1.27,1.0,1122224.71,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.5
2012-09-06,30294.0,1122224.71,4.58,393.09,2.07,1.27,1.0,1122224.71,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,45.5
2012-09-07,30294.0,1097560.43,4.58,727.06,2.07,1.27,1.0,1097560.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.5
2012-09-10,30294.0,1097560.43,4.58,673.7,2.07,1.27,1.0,1097560.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.5
2012-09-11,30294.0,1097560.43,4.58,554.84,2.07,1.27,1.0,1097560.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,44.5
2012-09-12,30294.0,1035899.73,4.58,554.84,2.07,1.27,1.0,1035899.73,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,42.0
2012-09-13,30294.0,1073142.79,4.58,7.5,2.07,1.27,1.0,1073142.79,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.51
2012-09-14,30294.0,1073389.43,4.58,7.5,2.07,1.27,1.0,1073389.43,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.52
2012-09-17,30294.0,1075362.57,4.58,7.52,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-18,30294.0,1075362.57,4.58,7.46,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-19,30294.0,1075362.57,4.58,7.46,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-20,30294.0,1075362.57,4.58,7.43,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-21,30294.0,1075362.57,4.58,7.43,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-24,30294.0,1075362.57,4.58,7.4,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-25,30294.0,1075362.57,4.58,7.41,2.07,1.27,1.0,1075362.57,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.6
2012-09-26,30294.0,1075115.93,4.58,7.41,2.07,1.27,1.0,1075115.93,0.0,30294.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,43.59
2012-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,43.59
2012-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,43.59
