,ALHYP FP Equity_DX_SI_QTY,ALHYP FP Equity_DX_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHYP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHYP FP Equity_DX_SI_MV,ALHYP FP Equity_DX_DSS,ALHYP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY,ALHYP FP Equity_DX_BROKER_SI_QTY,ALHYP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHYP FP Equity_DX_BROKER_SI_MV_INC_x,ALHYP FP Equity_DX_SUPPLY_SI_MV_NEW,ALHYP FP Equity_DX_BROKER_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_NEW,ALHYP FP Equity_DX_SUPPLY_SI_MV_DEC,ALHYP FP Equity_DX_BROKER_SI_QTY_INC,ALHYP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHYP FP Equity_DX_BROKER_SI_MV_INC_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHYP FP Equity_DX_BROKER_SI_MV_ADD,ALHYP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV,ALHYP FP Equity_DX_BROKER_SI_MV_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV_RMV,ALHYP FP Equity_DX_BROKER_SI_MV_RMV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHYP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHYP FP Equity_DX_BROKER_SI_CON_RATIO,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHYP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHYP FP Equity_PX_LAST
2020-08-20,2500.0,8350.0,0.12,0.16,0.05,0.01,0.0,0.0,2500.0,0.0,8350.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.34
2020-08-21,2500.0,8025.0,0.12,0.16,0.05,0.01,0.0,0.0,2500.0,0.0,8025.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.21
2020-08-24,2500.0,8175.0,0.12,0.18,0.05,0.01,0.0,0.0,2500.0,0.0,8175.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.27
2020-08-25,2500.0,8450.0,0.12,0.22,0.05,0.01,0.0,0.0,2500.0,0.0,8450.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.38
2020-08-26,2500.0,8375.0,0.12,0.22,0.05,0.01,0.0,0.0,2500.0,0.0,8375.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.35
2020-08-27,2500.0,8225.0,0.12,0.23,0.05,0.01,0.0,0.0,2500.0,0.0,8225.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.29
2020-08-28,2500.0,8300.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,8300.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.32
2020-08-31,2500.0,8250.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,8250.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.3
2020-09-01,2500.0,8950.0,0.12,0.25,0.05,0.01,0.0,0.0,2500.0,0.0,8950.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.58
2020-09-02,2500.0,9950.0,0.12,0.25,0.05,0.01,0.0,0.0,2500.0,0.0,9950.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.98
2020-09-03,2500.0,9875.0,0.12,0.25,0.05,0.01,0.0,0.0,2500.0,0.0,9875.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.95
2020-09-04,2500.0,9450.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,9450.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.78
2020-09-07,2500.0,9275.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,9275.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.71
2020-09-08,2500.0,9125.0,0.12,0.25,0.05,0.01,0.0,0.0,2500.0,0.0,9125.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.65
2020-09-09,2500.0,9275.0,0.12,0.27,0.05,0.01,0.0,0.0,2500.0,0.0,9275.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.71
2020-09-10,2500.0,9500.0,0.12,0.31,0.05,0.01,0.0,0.0,2500.0,0.0,9500.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.8
2020-09-11,2500.0,9825.0,0.12,0.36,0.05,0.01,0.0,0.0,2500.0,0.0,9825.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,3.93
2020-09-14,2500.0,10000.0,0.12,0.38,0.05,0.01,0.0,0.0,2500.0,0.0,10000.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.0
2020-09-15,2500.0,10325.0,0.12,0.38,0.05,0.01,0.0,0.0,2500.0,0.0,10325.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.13
2020-09-16,2500.0,10250.0,0.12,0.39,0.05,0.01,0.0,0.0,2500.0,0.0,10250.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.1
2020-09-17,2500.0,11375.0,0.12,0.4,0.05,0.01,0.0,0.0,2500.0,0.0,11375.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.55
2020-09-18,2500.0,11700.0,0.12,0.33,0.05,0.01,0.0,0.0,2500.0,0.0,11700.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.68
2020-09-21,2500.0,11900.0,0.12,0.31,0.05,0.01,0.0,0.0,2500.0,0.0,11900.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.3,0.0,0.0,,0.0,100.0,,1.0,100.0,0.103,4.76
2020-09-22,2500.0,11150.0,0.12,0.27,0.05,0.01,0.0,0.0,2500.0,0.0,11150.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,10.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1092,4.46
2020-09-23,2500.0,10475.0,0.12,0.27,0.05,0.01,0.0,0.0,2500.0,0.0,10475.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,12.46,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1246,4.19
2020-09-24,2500.0,10125.0,0.12,0.26,0.05,0.01,0.0,0.0,2500.0,0.0,10125.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.05
2020-09-25,2500.0,10650.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,10650.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.26
2020-09-28,2500.0,11875.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,11875.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.75
2020-09-29,2500.0,11875.0,0.12,0.23,0.05,0.01,0.0,0.0,2500.0,0.0,11875.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.75
2020-09-30,2500.0,11700.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,11700.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.68
2020-10-01,2500.0,11700.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,11700.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.68
2020-10-02,2500.0,11650.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,11650.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,4.66
2020-10-05,2500.0,13250.0,0.12,0.24,0.05,0.01,0.0,0.0,2500.0,0.0,13250.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,17.68,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1768,5.3
2020-10-06,2500.0,14900.0,0.12,0.22,0.05,0.01,0.0,0.0,2500.0,0.0,14900.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,16.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1692,5.96
2020-10-07,2500.0,14850.0,0.12,0.2,0.05,0.01,0.0,0.0,2500.0,0.0,14850.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,16.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1692,5.94
2020-10-08,2500.0,16300.0,0.12,0.2,0.05,0.02,0.0,0.0,2500.0,0.0,16300.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,16.81,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1681,6.52
2020-10-09,1100.0,8558.0,0.05,0.08,0.02,0.01,0.0,0.0,1100.0,0.0,8558.0,,,,,,,,0.01,,1400.0,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,7.78
2020-10-12,1100.0,9460.0,0.05,0.07,0.02,0.01,0.0,0.0,1100.0,0.0,9460.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.6
2020-10-13,1100.0,9218.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9218.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.38
2020-10-14,1100.0,10032.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,10032.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,9.12
2020-10-15,1100.0,9548.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9548.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.68
2020-10-16,1100.0,9614.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9614.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.74
2020-10-19,1100.0,9680.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9680.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.8
2020-10-20,1100.0,9240.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9240.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.4
2020-10-21,1100.0,9570.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9570.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.7
2020-10-22,1100.0,9350.0,0.05,0.06,0.02,0.01,0.0,0.0,1100.0,0.0,9350.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,7.45,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0745,8.5
2020-10-23,1400.0,11872.0,0.07,0.08,0.03,0.01,0.0,2544.0,1400.0,300.0,11872.0,,,,,,300.0,,,,,,,,,0.0,300.0,,0.01,,,,100.0,9.11,0.0,0.0,,0.0,100.0,21.86,0.6583,78.14,0.0911,8.48
2020-10-26,1399.0,12591.0,0.07,0.08,0.03,0.01,0.0,2691.0,1399.0,299.0,12591.0,,,,,,,,0.0,,1.0,,,,,,,1.0,0.01,0.0,,,100.0,9.1,0.0,0.0,,0.0,100.0,20.39,0.6754,79.61,0.091,9.0
2020-10-27,1399.0,11779.58,0.07,0.07,0.03,0.01,0.0,2517.58,1399.0,299.0,11779.58,,,,,,,,,,,,,,,,,,0.01,,,,100.0,9.1,0.0,0.0,,0.0,100.0,22.51,0.6511,77.49,0.091,8.42
2020-10-28,1399.0,10688.36,0.07,0.07,0.03,0.01,0.0,2284.36,1399.0,299.0,10688.36,,,,,,,,,,,,,,,,,,0.01,,,,100.0,9.1,0.0,0.0,,0.0,100.0,23.05,0.6452,76.95,0.091,7.64
2020-10-29,1399.0,11611.7,0.07,0.07,0.03,0.01,0.0,2481.7,1399.0,299.0,11611.7,,,,,,,,,,,,,,,,,,0.01,,,,100.0,9.1,0.0,0.0,,0.0,100.0,20.01,0.6798,79.99,0.091,8.3
2020-10-30,1399.0,12451.1,0.07,0.07,0.03,0.01,0.0,2661.1,1399.0,299.0,12451.1,,,,,,,,,,,,,,,,,,0.01,,,,100.0,9.1,0.0,0.0,,0.0,100.0,20.22,0.6773,79.78,0.091,8.9
2020-11-02,1310.0,13362.0,0.06,0.07,0.03,0.01,0.0,2142.0,1310.0,210.0,13362.0,,,,,,,,0.0,,89.0,,,,,,,89.0,0.01,0.0,,,100.0,8.62,0.0,0.0,,0.0,100.0,14.28,0.7552,85.72,0.0862,10.2
2020-11-03,1310.0,15130.5,0.06,0.07,0.03,0.01,0.0,2425.5,1310.0,210.0,15130.5,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.03,0.7308,83.97,0.0862,11.55
2020-11-04,1310.0,17947.0,0.06,0.06,0.03,0.02,0.0,2877.0,1310.0,210.0,17947.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,13.86,0.7612,86.14,0.0862,13.7
2020-11-05,1310.0,16637.0,0.06,0.06,0.03,0.02,0.0,2667.0,1310.0,210.0,16637.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,17.08,0.7168,82.92,0.0862,12.7
2020-11-06,1310.0,16964.5,0.06,0.06,0.03,0.02,0.0,2719.5,1310.0,210.0,16964.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.77,0.7343,84.23,0.0862,12.95
2020-11-09,1310.0,16047.5,0.06,0.05,0.03,0.02,0.0,2572.5,1310.0,210.0,16047.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.79,0.7205,83.21,0.0862,12.25
2020-11-10,1310.0,14541.0,0.06,0.05,0.03,0.01,0.0,2331.0,1310.0,210.0,14541.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,17.4,0.7125,82.6,0.0862,11.1
2020-11-11,1310.0,15458.0,0.06,0.05,0.03,0.02,0.0,2478.0,1310.0,210.0,15458.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.22,0.7419,84.78,0.0862,11.8
2020-11-12,1310.0,15392.5,0.06,0.05,0.03,0.02,0.0,2467.5,1310.0,210.0,15392.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.09,0.73,83.91,0.0862,11.75
2020-11-13,1310.0,15523.5,0.06,0.05,0.03,0.02,0.0,2488.5,1310.0,210.0,15523.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.92,0.7323,84.08,0.0862,11.85
2020-11-16,1310.0,15654.5,0.06,0.05,0.03,0.02,0.0,2509.5,1310.0,210.0,15654.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.92,0.7323,84.08,0.0862,11.95
2020-11-17,1310.0,15261.5,0.06,0.05,0.03,0.02,0.0,2446.5,1310.0,210.0,15261.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.38,0.7261,83.62,0.0862,11.65
2020-11-18,1310.0,14410.0,0.06,0.05,0.03,0.01,0.0,2310.0,1310.0,210.0,14410.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.82,0.7202,83.18,0.0862,11.0
2020-11-19,1310.0,13624.0,0.06,0.05,0.03,0.01,0.0,2184.0,1310.0,210.0,13624.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.8,0.7204,83.2,0.0862,10.4
2020-11-20,1310.0,14410.0,0.06,0.05,0.03,0.01,0.0,2310.0,1310.0,210.0,14410.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.29,0.741,84.71,0.0862,11.0
2020-11-23,1310.0,14672.0,0.06,0.05,0.03,0.01,0.0,2352.0,1310.0,210.0,14672.0,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.79,0.7341,84.21,0.0862,11.2
2020-11-24,1310.0,14475.5,0.06,0.06,0.03,0.01,0.0,2320.5,1310.0,210.0,14475.5,,,,,,,,,,,,,,,,,,0.01,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.21,0.7283,83.79,0.0862,11.05
2020-11-25,1310.0,15458.0,0.06,0.06,0.03,0.02,0.0,2478.0,1310.0,210.0,15458.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.17,0.7427,84.83,0.0862,11.8
2020-11-26,1310.0,15458.0,0.06,0.06,0.03,0.02,0.0,2478.0,1310.0,210.0,15458.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.03,0.7308,83.97,0.0862,11.8
2020-11-27,1310.0,15654.5,0.06,0.06,0.03,0.02,0.0,2509.5,1310.0,210.0,15654.5,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.86,0.7331,84.14,0.0862,11.95
2020-11-30,1310.0,16768.0,0.06,0.06,0.03,0.02,0.0,2688.0,1310.0,210.0,16768.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,15.13,0.7432,84.87,0.0862,12.8
2020-12-01,3110.0,42918.0,0.15,0.14,0.06,0.04,0.0,15318.0,2210.0,1110.0,30498.0,,,900.0,,,900.0,,,,,,,,900.0,0.01,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,37.11,0.4592,56.32,0.183,13.8
2020-12-02,3110.0,40274.5,0.15,0.13,0.06,0.04,0.0,14374.5,2210.0,1110.0,28619.5,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,33.93,0.47,59.17,0.183,12.95
2020-12-03,3110.0,41674.0,0.15,0.13,0.06,0.04,0.0,14874.0,2210.0,1110.0,29614.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,36.15,0.4621,57.18,0.183,13.4
2020-12-04,3110.0,41363.0,0.15,0.12,0.06,0.04,0.0,14763.0,2210.0,1110.0,29393.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,35.2,0.4652,58.03,0.183,13.3
2020-12-07,3110.0,44162.0,0.15,0.12,0.06,0.04,0.0,15762.0,2210.0,1110.0,31382.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,36.88,0.4599,56.52,0.183,14.2
2020-12-08,3110.0,46028.0,0.15,0.12,0.06,0.04,0.0,16428.0,2210.0,1110.0,32708.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.0,0.0,0.0,,0.0,100.0,36.32,0.4615,57.03,0.183,14.8
2020-12-09,3110.0,44162.0,0.15,0.12,0.06,0.04,0.0,15762.0,2210.0,1110.0,31382.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.74,0.0,0.0,,0.0,100.0,34.84,0.4652,58.22,0.1934,14.2
2020-12-10,1310.0,17619.5,0.06,0.05,0.03,0.02,0.0,2824.5,1310.0,210.0,17619.5,,,,,,,,0.01,,900.0,,,,,,,900.0,0.02,0.01,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.77,0.7208,83.23,0.0862,13.45
2020-12-11,1310.0,16768.0,0.06,0.05,0.03,0.02,0.0,2688.0,1310.0,210.0,16768.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.62,0.0,0.0,,0.0,100.0,16.71,0.7217,83.29,0.0862,12.8
2020-12-14,1236.0,16871.4,0.06,0.05,0.02,0.02,0.0,1856.4,1236.0,136.0,16871.4,,,,,,,,0.0,,74.0,,,,,,,74.0,0.02,0.0,,,100.0,8.21,0.0,0.0,,0.0,100.0,10.39,0.8138,89.61,0.0821,13.65
2020-12-15,1236.0,16191.6,0.06,0.05,0.02,0.02,0.0,1781.6,1236.0,136.0,16191.6,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,11.41,0.7978,88.59,0.0821,13.1
2020-12-16,1236.0,16006.2,0.06,0.05,0.02,0.02,0.0,1761.2,1236.0,136.0,16006.2,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,11.12,0.8024,88.88,0.0821,12.95
2020-12-17,1236.0,16315.2,0.06,0.05,0.02,0.02,0.0,1795.2,1236.0,136.0,16315.2,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,10.82,0.8071,89.18,0.0821,13.2
2020-12-18,1236.0,16438.8,0.06,0.06,0.02,0.02,0.0,1808.8,1236.0,136.0,16438.8,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,10.93,0.8053,89.07,0.0821,13.3
2020-12-21,1236.0,16809.6,0.06,0.06,0.02,0.02,0.0,1849.6,1236.0,136.0,16809.6,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,10.79,0.8075,89.21,0.0821,13.6
2020-12-22,2236.0,31080.4,0.11,0.12,0.05,0.03,0.0,15790.4,1236.0,1136.0,17180.4,,,,,,1000.0,,,,,,,,,0.01,,,0.02,,,,100.0,8.21,0.0,0.0,,0.0,100.0,44.41,0.4468,49.59,0.1486,13.9
2020-12-23,2732.0,37838.2,0.13,0.15,0.06,0.04,0.0,22603.2,1232.0,1632.0,17063.2,,,,,,500.0,,0.0,,4.0,,,,,0.01,,4.0,0.02,0.0,,,100.0,8.19,0.0,0.0,,0.0,100.0,36.62,0.3317,40.2,0.1817,13.85
2020-12-24,3732.0,52061.4,0.18,0.21,0.08,0.05,0.0,36716.4,1232.0,2632.0,17186.4,,,,,,1000.0,,,,,,,,,0.01,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,27.72,0.2503,29.2,0.2482,13.95
2020-12-25,3732.0,52061.4,0.18,0.21,0.08,0.05,0.0,36716.4,1232.0,2632.0,17186.4,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,27.66,0.2502,29.13,0.2482,
2020-12-28,3732.0,51315.0,0.18,0.21,0.08,0.05,0.0,36190.0,1232.0,2632.0,16940.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,27.75,0.2498,28.87,0.2482,13.75
2020-12-29,3732.0,50382.0,0.18,0.21,0.08,0.05,0.0,35532.0,1232.0,2632.0,16632.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,27.88,0.2498,28.75,0.2482,13.5
2020-12-30,2732.0,34969.6,0.13,0.16,0.06,0.04,0.0,20889.6,1232.0,1632.0,15769.6,,,,,,,,,,,,,,,,,1000.0,0.02,0.01,,,100.0,8.19,0.0,0.0,,0.0,100.0,36.98,0.3267,38.72,0.1817,12.8
2020-12-31,2232.0,29127.6,0.11,0.13,0.05,0.03,0.0,14772.6,1232.0,1132.0,16077.6,,,,,,,,,,,,,,,,,500.0,0.02,0.01,,,100.0,8.19,0.0,0.0,,0.0,100.0,44.51,0.448,49.64,0.1484,13.05
2021-01-01,2232.0,29127.6,0.11,0.13,0.05,0.03,0.0,14772.6,1232.0,1132.0,16077.6,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,44.98,0.4471,49.13,0.1484,
2021-01-04,2232.0,29574.0,0.11,0.13,0.05,0.03,0.0,14999.0,1232.0,1132.0,16324.0,,,,,,,,,,,,,,,,,,0.02,,,,100.0,8.19,0.0,0.0,,0.0,100.0,44.57,0.4478,49.57,0.1484,13.25
2021-01-05,5432.0,71159.2,0.27,0.36,0.11,0.07,0.0,42339.2,2332.0,3232.0,30549.2,,,1100.0,0.01,,1100.0,,,1000.0,,,,0.01,1100.0,0.01,,,0.03,,,,100.0,13.53,0.0,0.0,,0.0,100.0,36.82,0.3418,40.65,0.3151,13.1
2021-01-06,5432.0,70887.6,0.27,0.37,0.11,0.07,0.0,42177.6,2332.0,3232.0,30432.6,,,,,,,,,,,,,,,,,,0.03,,,,100.0,13.53,0.0,0.0,,0.0,100.0,36.81,0.3414,40.56,0.3151,13.05
