,ALFPC FP Equity_DX_SI_QTY,ALFPC FP Equity_DX_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFPC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFPC FP Equity_DX_SI_MV,ALFPC FP Equity_DX_DSS,ALFPC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SUPPLY_SI_QTY,ALFPC FP Equity_DX_BROKER_SI_QTY,ALFPC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALFPC FP Equity_DX_BROKER_SI_MV_INC_x,ALFPC FP Equity_DX_BROKER_SI_QTY_ADD,ALFPC FP Equity_DX_SUPPLY_SI_MV_DEC,ALFPC FP Equity_DX_BROKER_SI_QTY_INC,ALFPC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFPC FP Equity_DX_BROKER_SI_MV_INC_y,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALFPC FP Equity_DX_BROKER_SI_MV_ADD,ALFPC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFPC FP Equity_DX_BROKER_SI_QTY_DEC,ALFPC FP Equity_DX_SUPPLY_SI_MV,ALFPC FP Equity_DX_BROKER_SI_MV_DEC,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFPC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALFPC FP Equity_DX_BROKER_SI_CON_RATIO,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFPC FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-09-02,4618.0,468727.0,0.33,3.41,0.28,0.47,0.0,239032.5,2339.0,2355.0,237408.5,20.0,0.0,,,20.0,,0.0,20.0,,,,0.24,,13.95,13.68,14428.0,1464442.0,1.46,13.95,17.66,0.4858,65.34,0.27
2024-09-03,5553.0,566406.0,0.4,4.69,0.33,0.56,0.0,335580.0,3274.0,3290.0,333948.0,935.0,,935.0,,,,,935.0,0.09,,,0.33,,18.5,18.25,14428.0,1471656.0,1.46,18.5,16.92,0.364,54.29,0.3096
2024-09-04,5553.0,555300.0,0.4,4.9,0.33,0.56,0.0,329000.0,3274.0,3290.0,327400.0,,,,,,,,,,,,0.33,,18.5,18.25,14428.0,1442800.0,1.47,18.49,16.93,0.3643,54.33,0.3096
2024-09-05,4753.0,473398.8,0.34,4.22,0.29,0.47,0.0,248004.0,2474.0,2490.0,246410.4,,,,0.08,,800.0,,,,,800.0,0.25,0.08,14.64,14.44,14428.0,1437028.8,1.44,14.64,17.37,0.4579,63.32,0.2773
2024-09-06,4690.0,450240.0,0.34,4.31,0.28,0.47,0.0,229536.0,2375.0,2391.0,228000.0,,0.0,,0.01,36.0,99.0,0.0,,,,135.0,0.24,0.01,14.13,13.94,14428.0,1385088.0,1.44,14.13,17.65,0.4691,64.11,0.2753
2024-09-09,4690.0,453054.0,0.34,4.41,0.28,0.45,0.0,230970.6,2375.0,2391.0,229425.0,,,,,,,,,,,,0.23,,100.0,13.94,0.0,0.0,0.0,100.0,18.19,0.4653,63.68,0.2753
2024-09-10,4690.0,494795.0,0.34,4.36,0.28,0.45,0.0,252250.5,2375.0,2391.0,250562.5,,,,,,,,,,,,0.23,,100.0,13.94,0.0,0.0,0.0,100.0,18.1,0.4659,63.76,0.2753
2024-09-11,4732.0,475566.0,0.34,3.96,0.28,0.49,0.0,244516.5,2375.0,2433.0,238687.5,,0.0,,,42.0,,0.0,,,,,0.25,,100.0,13.9,0.0,0.0,0.0,100.0,17.52,0.4701,64.21,0.277
2024-09-12,4699.0,469900.0,0.34,3.9,0.28,0.47,0.0,240000.0,2384.0,2400.0,238400.0,9.0,,,,,,,9.0,,,33.0,0.24,0.0,100.0,13.99,0.0,0.0,0.0,100.0,17.63,0.4692,64.12,0.2758
2024-09-13,5099.0,517548.5,0.37,4.21,0.31,0.51,0.0,263900.0,2584.0,2600.0,262276.0,200.0,0.01,100.0,,100.0,,0.01,200.0,0.01,,,0.26,,100.0,14.99,0.0,0.0,0.0,100.0,16.31,0.4474,62.96,0.2958
