,ALPJT FP Equity_DX_SI_QTY,ALPJT FP Equity_DX_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPJT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPJT FP Equity_DX_SI_MV,ALPJT FP Equity_DX_DSS,ALPJT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SUPPLY_SI_QTY,ALPJT FP Equity_DX_BROKER_SI_QTY,ALPJT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPJT FP Equity_DX_BROKER_SI_MV_INC_x,ALPJT FP Equity_DX_BROKER_SI_QTY_ADD,ALPJT FP Equity_DX_SUPPLY_SI_MV_DEC,ALPJT FP Equity_DX_BROKER_SI_QTY_INC,ALPJT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPJT FP Equity_DX_BROKER_SI_MV_INC_y,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPJT FP Equity_DX_BROKER_SI_MV_ADD,ALPJT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPJT FP Equity_DX_BROKER_SI_QTY_DEC,ALPJT FP Equity_DX_SUPPLY_SI_MV,ALPJT FP Equity_DX_BROKER_SI_MV_DEC,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPJT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPJT FP Equity_DX_BROKER_SI_CON_RATIO,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPJT FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16649.6,0.02,0.0,,0.0,,0.0
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688.0,16787.2,0.02,0.0,,0.0,,0.0
2022-10-24,2400.0,59520.0,0.1,2.41,0.03,0.06,0.0,29760.0,1200.0,1200.0,29760.0,,,1200.0,,,,,,0.03,1200.0,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-10-25,2400.0,60000.0,0.1,2.36,0.03,0.06,0.0,30000.0,1200.0,1200.0,30000.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-10-26,2400.0,60000.0,0.1,2.3,0.03,0.06,0.0,30000.0,1200.0,1200.0,30000.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-10-27,2400.0,58080.0,0.1,2.27,0.03,0.06,0.0,29040.0,1200.0,1200.0,29040.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-10-28,2400.0,59520.0,0.1,2.32,0.03,0.06,0.0,29760.0,1200.0,1200.0,29760.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-10-31,2400.0,58080.0,0.1,2.34,0.03,0.06,0.0,29040.0,1200.0,1200.0,29040.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-11-01,2400.0,59040.0,0.1,2.29,0.03,0.06,0.0,29520.0,1200.0,1200.0,29520.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
2022-11-02,2400.0,58560.0,0.1,2.35,0.03,0.06,0.0,29280.0,1200.0,1200.0,29280.0,,,,,,,,,,,,0.03,,100.0,63.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.2712
