,VAC FP Equity_DX_SI_QTY,VAC FP Equity_DX_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VAC FP Equity_DX_SI_MV,VAC FP Equity_DX_DSS,VAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY,VAC FP Equity_DX_BROKER_SI_QTY,VAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VAC FP Equity_DX_BROKER_SI_MV_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,VAC FP Equity_DX_BROKER_SI_MV_INC_x,VAC FP Equity_DX_SUPPLY_SI_MV_NEW,VAC FP Equity_DX_BROKER_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_NEW,VAC FP Equity_DX_SUPPLY_SI_MV_DEC,VAC FP Equity_DX_BROKER_SI_QTY_INC,VAC FP Equity_DX_SUPPLY_SI_QTY_DEC,VAC FP Equity_DX_BROKER_SI_MV_NEW_y,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VAC FP Equity_DX_BROKER_SI_MV_INC_y,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,VAC FP Equity_DX_BROKER_SI_MV_ADD,VAC FP Equity_DX_SUPPLY_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_DEC,VAC FP Equity_DX_SUPPLY_SI_MV,VAC FP Equity_DX_BROKER_SI_MV_DEC,VAC FP Equity_DX_SUPPLY_SI_MV_RMV,VAC FP Equity_DX_BROKER_SI_MV_RMV,VAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VAC FP Equity_DX_UTILIZATION_QUANTITY,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VAC FP Equity_DX_ACTIVE_UTILIZATION_MV,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VAC FP Equity_DX_BROKER_SI_CON_RATIO,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-03-23,22429.0,684084.5,0.49,4.52,0.25,0.7,0.0,623084.5,4432.0,20429.0,135176.0,,,,,,,,,,,,,,,,,,0.14,,,,100.0,1.9,0.0,0.0,,0.0,100.0,14.68,0.2315,41.38,0.0963
2016-03-24,27602.0,848761.5,0.61,5.61,0.31,0.86,0.0,725761.5,4432.0,23602.0,136284.0,,,,0.1,,,,,3173.0,,,,0.1,,,,,0.14,,,,1.9,1.9,228503.0,7026467.25,,6.98,1.9,23.39,0.2101,33.88,0.1185
2016-03-25,27602.0,848761.5,0.61,5.08,0.31,0.86,0.0,725761.5,4432.0,23602.0,136284.0,,,,,,,,,,,,,,,,,,0.14,,,,1.9,1.9,228503.0,7026467.25,,7.03,1.9,23.36,0.21,33.86,0.1185
2016-03-28,27602.0,848761.5,0.61,5.08,0.31,0.86,0.0,725761.5,4432.0,23602.0,136284.0,,,,,,,,,,,,,,,,,,0.14,,,,1.9,1.9,228503.0,7026467.25,,7.03,1.9,23.33,0.2099,33.85,0.1185
2016-03-29,23602.0,731662.0,0.52,4.35,0.27,0.74,0.0,669662.0,2432.0,21602.0,75392.0,,,,,,,,0.06,,2000.0,,,,,,,2000.0,0.07,0.06,,,1.07,1.07,225681.0,6996111.0,,6.94,1.06,27.42,0.2589,39.54,0.1035
2016-03-30,15355.0,488135.45,0.34,2.76,0.17,0.49,0.0,424555.45,2432.0,13355.0,77313.28,,,,,,,,,,,,,,,,,8247.0,0.08,0.25,,,1.04,1.04,230468.0,7326577.72,,7.17,1.04,20.99,0.1899,28.71,0.0659
2016-03-31,15355.0,488289.0,0.34,2.61,0.17,0.5,0.0,424689.0,2432.0,13355.0,77337.6,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,230831.0,7340425.8,,7.34,1.04,21.18,0.1889,28.29,0.0658
2016-04-01,15355.0,484910.9,0.28,2.39,0.16,0.5,0.0,421750.9,2432.0,13355.0,76802.56,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,230721.0,7286169.18,,7.33,1.04,21.31,0.1886,28.15,0.0659
2016-04-04,14905.0,470103.7,0.27,2.32,0.15,0.48,0.0,407023.7,2432.0,12905.0,76705.28,,,,,,,,,,,,,,,,,450.0,0.08,0.02,,,1.04,1.04,230721.0,7276940.34,,7.28,1.04,19.83,0.1896,29.08,0.0639
2016-04-05,14814.0,455086.08,0.27,2.31,0.15,0.47,0.0,393646.08,2432.0,12814.0,74711.04,,,,,,,,,,,,,,,,,91.0,0.08,0.0,,,1.04,1.04,230721.0,7087749.12,,7.25,1.05,19.57,0.1885,28.87,0.0635
2016-04-06,14714.0,462313.88,0.27,2.28,0.15,0.47,0.0,399473.88,2432.0,12714.0,76413.44,,,,,,,,,,,,,,,,,100.0,0.07,0.0,,,1.06,1.06,226629.0,7120683.18,,6.98,1.06,19.26,0.1918,29.88,0.0642
2016-04-07,14714.0,462166.74,0.32,2.02,0.15,0.47,0.0,399346.74,2432.0,12714.0,76389.12,,,,,,,,,,,,,,,,,,0.08,,,,1.05,1.05,228432.0,7175049.12,,7.18,1.05,19.5,0.1907,29.48,0.0637
2016-04-08,14714.0,484532.02,0.32,1.99,0.15,0.48,0.0,418672.02,2432.0,12714.0,80085.76,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,230644.0,7595106.92,,7.29,1.04,19.03,0.193,30.3,0.0631
2016-04-11,14714.0,488504.8,0.32,1.51,0.15,0.5,0.0,422104.8,2432.0,12714.0,80742.4,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,230644.0,7657380.8,,7.6,1.04,19.34,0.1909,29.59,0.0631
2016-04-12,14714.0,491447.6,0.32,1.44,0.15,0.5,0.0,424647.6,2432.0,12714.0,81228.8,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,230888.0,7711659.2,,7.67,1.04,19.41,0.1908,29.55,0.0631
2016-04-13,14764.0,496070.4,0.32,1.43,0.15,0.51,0.0,428870.4,2432.0,12764.0,81715.2,,,,,,50.0,,,,,,,,,0.0,,,0.08,,,,1.04,1.04,231166.0,7767177.6,,7.73,1.04,19.47,0.1895,29.38,0.0632
2016-04-14,14714.0,492919.0,0.32,1.43,0.15,0.5,0.0,425919.0,2432.0,12714.0,81472.0,,,,,,,,,,,,,,,,,50.0,0.08,0.0,,,1.04,1.04,231601.0,7758633.5,,7.78,1.04,19.5,0.1906,29.43,0.0629
2016-04-15,14714.0,497333.2,0.32,1.42,0.15,0.5,0.0,429733.2,2432.0,12714.0,82201.6,,,,,,,,,,,,,,,,,,0.08,,,,1.04,1.04,232155.0,7846839.0,,7.79,1.03,19.37,0.1912,29.67,0.0627
2016-04-18,14649.0,491473.95,0.32,1.24,0.15,0.5,0.0,424373.95,2432.0,12649.0,81593.6,,,,,,,,,,,,,,,,,65.0,0.08,0.0,,,1.03,1.03,232613.0,7804166.15,,7.85,1.02,19.15,0.1905,29.57,0.0623
2016-04-19,13362.0,450032.16,0.29,1.14,0.14,0.46,0.0,276748.56,5145.0,8217.0,173283.6,,,,,,,,0.01,,432.0,,,,,,3145.0,4432.0,0.17,0.15,,,2.18,2.18,230542.0,7764654.56,,7.74,2.18,20.8,0.176,22.99,0.0567
2016-04-20,12307.0,406131.0,0.27,1.04,0.13,0.42,0.0,236346.0,5145.0,7162.0,169785.0,,,,,,,,,,,,,,,,,1055.0,0.17,0.04,,,2.18,2.18,230542.0,7607886.0,,7.75,2.19,16.77,0.1762,25.06,0.0522
2016-04-21,12307.0,405269.51,0.27,1.03,0.13,0.41,0.0,235844.66,5145.0,7162.0,169424.85,,,,,,,,,,,,,,,,,,0.17,,,,2.18,2.18,231200.0,7613416.0,,7.63,2.18,16.68,0.1762,25.03,0.0521
2016-04-22,12307.0,428283.6,0.27,1.06,0.13,0.42,0.0,249237.6,5145.0,7162.0,179046.0,,,,,,,,,,,,,,,,,,0.17,,,,2.16,2.16,232758.0,8099978.4,,7.73,2.15,16.67,0.1759,24.74,0.0517
2016-04-25,15533.0,528432.66,0.34,1.3,0.16,0.55,0.0,243651.24,8371.0,7162.0,284781.42,,,1843.0,,,,,,,,,,,1843.0,,1383.0,,0.29,,,,3.49,3.49,231393.0,7871989.86,,8.02,3.5,13.33,0.2348,40.35,0.0648
2016-04-26,22833.0,785683.53,0.5,1.91,0.23,0.8,0.0,497637.42,15671.0,14462.0,539239.11,,,7042.0,0.26,,,,,7300.0,,,,0.26,7042.0,,258.0,,0.53,,,,6.55,6.55,223559.0,7692665.19,,7.62,6.54,26.98,0.263,40.41,0.0954
2016-04-27,21171.0,726588.72,0.47,1.73,0.22,0.75,0.0,439296.0,15671.0,12800.0,537828.72,,,,,,,,,,,,,,,,,1662.0,0.54,0.06,,,6.4,6.4,229053.0,7861098.96,,7.88,6.41,29.37,0.2425,35.33,0.0865
2016-04-28,14800.0,506900.0,0.33,1.15,0.15,0.53,0.0,438400.0,9300.0,12800.0,318525.0,,,,,,,,0.22,,6371.0,,,,,,,,0.32,,,,3.79,3.79,235999.0,8082965.75,,8.09,3.79,13.73,0.3125,49.91,0.0603
2016-04-29,14800.0,506160.0,0.33,1.15,0.15,0.52,0.0,437760.0,9300.0,12800.0,318060.0,,,,,,,,,,,,,,,,,,0.32,,,,3.79,3.79,236317.0,8082041.4,,8.09,3.79,13.67,0.3116,49.78,0.0603
2016-05-02,14800.0,503940.0,0.33,1.15,0.15,0.52,0.0,435840.0,9300.0,12800.0,316665.0,,,,,,,,,,,,,,,,,,0.32,,,,3.78,3.78,236859.0,8065048.95,,8.09,3.78,13.62,0.3127,49.93,0.0601
2016-05-03,14910.0,500081.4,0.33,1.13,0.15,0.53,0.0,433001.4,9300.0,12910.0,311922.0,,,,,,110.0,,,,,,,,,0.0,,,0.32,,,,3.78,3.78,236816.0,7942808.64,,8.05,3.79,13.43,0.3094,49.73,0.0606
2016-05-04,11296.0,380901.12,0.25,0.85,0.12,0.39,0.0,313461.12,5686.0,9296.0,191731.92,,,,,,,,0.12,,3614.0,,,,,,,3614.0,0.19,0.13,,,2.32,2.32,239808.0,8086325.76,,8.05,2.31,17.88,0.2212,33.56,0.046
2016-05-05,14405.0,482567.5,0.32,1.1,0.15,0.5,0.0,311416.0,8795.0,9296.0,294632.5,,,1726.0,,,,,,,,,,,1726.0,,1383.0,,0.3,,,,3.64,3.64,232883.0,7801580.5,,7.85,3.64,21.0,0.1817,26.35,0.0596
2016-05-06,14405.0,478390.05,0.32,1.11,0.15,0.49,0.0,308720.16,8795.0,9296.0,292081.95,,,,,,,,,,,,,,,,,,0.29,,,,3.57,3.57,237323.0,7881496.83,,7.94,3.58,21.11,0.1816,26.25,0.0585
2016-05-09,14405.0,475365.0,0.32,1.11,0.15,0.49,0.0,306768.0,8795.0,9296.0,290235.0,,,,,,,,,,,,,,,,,,0.29,,,,3.57,3.57,237323.0,7831659.0,,7.88,3.58,21.04,0.1816,26.3,0.0585
2016-05-10,14295.0,474594.0,0.31,1.14,0.15,0.48,0.0,304975.2,8795.0,9186.0,291994.0,,,,,,,,,,,,,,,,,110.0,0.29,0.0,,,3.58,3.58,236979.0,7867702.8,,7.83,3.57,21.17,0.184,26.41,0.0582
2016-05-11,14295.0,471735.0,0.31,1.17,0.15,0.49,0.0,303138.0,8795.0,9186.0,290235.0,,,,,,,,,,,,,,,,,,0.29,,,,3.58,3.58,237064.0,7823112.0,,7.86,3.58,21.26,0.1842,26.41,0.0581
2016-05-12,14295.0,490604.4,0.31,1.21,0.15,0.49,0.0,315263.52,8795.0,9186.0,301844.4,,,,,,,,,,,,,,,,,,0.29,,,,3.58,3.58,236978.0,8133084.96,,7.87,3.56,21.05,0.1838,26.36,0.0582
2016-05-13,14295.0,514620.0,0.31,1.23,0.15,0.51,0.0,330696.0,8795.0,9186.0,316620.0,,,,,,,,,,,,,,,,,,0.3,,,,3.57,3.57,237371.0,8545356.0,,8.21,3.55,21.02,0.1838,26.39,0.0581
2016-05-16,14295.0,524626.5,0.31,1.15,0.15,0.53,0.0,337126.2,8795.0,9186.0,322776.5,,,,,,,,,,,,,,,,,,0.32,,,,3.57,3.57,237371.0,8711515.7,,8.57,3.56,21.16,0.1838,26.32,0.0581
2016-05-17,13795.0,505172.9,0.3,1.09,0.14,0.52,0.0,318081.32,8795.0,8686.0,322072.9,,,,,,,,,,,,,,,,,500.0,0.32,0.02,,,3.53,3.53,240140.0,8793926.8,,8.81,3.53,21.98,0.1912,27.42,0.0554
2016-05-18,13795.0,489722.5,0.3,1.06,0.14,0.52,0.0,308353.0,8795.0,8686.0,312222.5,,,,,,,,,,,,,,,,,,0.32,,,,3.53,3.53,240492.0,8537466.0,,8.77,3.54,21.95,0.1917,27.63,0.0553
2016-05-19,264586.0,9485408.1,5.82,21.25,2.7,9.52,1.0,3821108.1,161686.0,106586.0,5796443.1,,,150100.0,,,97900.0,,0.12,,3109.0,,,,150100.0,3.59,5900.0,,5.74,,,,100.0,64.78,0.0,0.0,,0.0,100.0,37.72,0.4808,58.14,1.06
2016-05-20,266486.0,9793360.5,5.86,21.48,2.72,9.57,1.0,3951948.0,162636.0,107536.0,5976873.0,,,,0.04,,,,,950.0,,,,0.04,,,950.0,,5.83,,,,100.0,65.16,0.0,0.0,,0.0,100.0,36.82,0.4802,58.66,1.0676
2016-05-23,285486.0,10420239.0,6.28,27.75,2.91,10.52,1.0,4618564.0,172636.0,126536.0,6301214.0,,,8637.0,0.75,,,,,20000.0,,,,0.75,8637.0,,1363.0,1000.0,6.34,0.04,,,100.0,69.16,0.0,0.0,,0.0,100.0,34.32,0.4212,54.69,1.1437
2016-05-24,285486.0,10334593.2,6.28,28.17,2.91,10.45,1.0,4580603.2,172636.0,126536.0,6249423.2,,,,,,,,,,,,,,,,,,6.3,,,,100.0,69.22,0.0,0.0,,0.0,100.0,34.31,0.4209,54.67,1.1447
2016-05-25,187586.0,6916295.82,4.13,18.32,1.91,6.9,1.0,1055809.32,172636.0,28636.0,6365089.32,,,,,,,,,,,,,,,,,97900.0,6.32,3.57,,,100.0,69.17,0.0,0.0,,0.0,100.0,6.96,0.7032,83.27,0.7516
2016-05-26,79709.0,3068796.5,1.75,7.87,0.81,2.99,0.0,1102486.0,64759.0,28636.0,2493221.5,,,,,,,,3.94,,107877.0,,,,,,,,2.39,,,,37.08,25.89,109884.0,4230534.0,,4.05,37.08,16.89,0.4175,60.12,0.3186
2016-05-27,79709.0,3172418.2,1.75,6.8,0.81,3.12,0.0,1139712.8,64759.0,28636.0,2577408.2,,,,,,,,,,,,,,,,,,2.49,,,,37.08,25.87,109884.0,4373383.2,,4.23,37.08,16.72,0.4171,60.09,0.3184
2016-05-30,93709.0,3842069.0,2.06,7.5,0.96,3.76,1.0,1338076.0,78759.0,32636.0,3229119.0,,,10000.0,,,4000.0,,,,,,,,10000.0,0.16,4000.0,,3.13,,,,44.09,31.46,99884.0,4095244.0,,3.98,44.09,14.26,0.3175,51.44,0.3744
2016-05-31,98709.0,4058914.08,2.17,7.61,1.01,4.1,1.0,1794312.32,78759.0,43636.0,3238570.08,,,,0.04,,10000.0,,,1000.0,,,,0.04,,0.43,,,3.23,,,,44.09,31.46,99884.0,4107230.08,,4.1,44.09,13.13,0.2912,48.64,0.3943
2016-06-01,50586.0,2061379.5,1.11,3.8,0.52,2.13,0.0,1941167.0,30636.0,47636.0,1248417.0,,,,0.18,,,,1.97,4000.0,48123.0,,,0.18,,,,,1.26,,,,17.74,12.24,142107.0,5790860.25,,5.84,17.72,24.63,0.2065,25.24,0.2021
2016-06-02,276186.0,10964584.2,6.08,20.87,2.82,11.31,1.0,6012009.2,155436.0,151436.0,6170809.2,,,99800.0,,,103800.0,,,,,,,,99800.0,4.23,25000.0,,6.34,,,,78.61,62.23,42307.0,1679587.9,,1.72,78.61,7.98,0.5554,73.63,1.1058
2016-06-03,219464.0,8848788.48,4.83,16.05,2.24,8.74,1.0,6149364.48,199514.0,152514.0,8044404.48,,,42000.0,0.07,,,,,2078.0,,,,0.07,42000.0,,2078.0,1000.0,7.9,0.15,,,100.0,76.06,0.0,0.0,,0.0,100.0,19.15,0.2782,46.88,0.8367
2016-06-06,219464.0,8802701.04,4.83,16.44,2.24,8.9,1.0,6117336.54,199514.0,152514.0,8002506.54,,,,,,,,,,,,,,,,,,8.04,,,,100.0,76.04,0.0,0.0,,0.0,100.0,19.11,0.2774,46.79,0.8364
2016-06-07,219464.0,8846593.84,4.83,16.15,2.24,8.87,1.0,6147839.34,199514.0,152514.0,8042409.34,,,,,,,,,,,,,,,,,,8.0,,,,100.0,76.04,0.0,0.0,,0.0,100.0,19.08,0.2765,46.69,0.8364
2016-06-08,197464.0,7795878.72,4.34,14.47,2.01,8.0,1.0,6021252.72,177514.0,152514.0,7008252.72,,,,,,,,0.88,,22000.0,,,,,,,,7.16,,,,100.0,67.57,0.0,0.0,,0.0,100.0,21.25,0.3304,52.02,0.7517
2016-06-09,197464.0,7730715.6,4.34,14.6,2.01,7.86,1.0,5970923.1,177514.0,152514.0,6949673.1,,,,,,,,,,,,,,,,,,7.01,,,,100.0,67.57,0.0,0.0,,0.0,100.0,21.2,0.3291,51.89,0.7517
2016-06-10,190991.0,7398991.34,4.2,14.12,1.95,7.54,1.0,5908392.36,171041.0,152514.0,6626128.34,,,,,,,,0.3,,6473.0,,,,,,,,6.7,,,,100.0,65.15,0.0,0.0,,0.0,100.0,18.54,0.3382,53.66,0.7275
2016-06-13,190991.0,7234739.08,4.2,13.8,1.95,7.46,1.0,5777230.32,171041.0,152514.0,6479033.08,,,,,,,,,,,,,,,,,,6.63,,,,100.0,65.15,0.0,0.0,,0.0,100.0,18.55,0.3385,53.68,0.7275
2016-06-14,190991.0,7209910.25,4.2,13.93,1.95,7.3,1.0,5757403.5,171041.0,152514.0,6456797.75,,,,,,,,,,,,,,,,,,6.48,,,,100.0,65.15,0.0,0.0,,0.0,100.0,18.53,0.3379,53.63,0.7275
2016-06-15,188181.0,7103832.75,4.14,13.87,1.92,7.15,1.0,5651326.0,168231.0,149704.0,6350720.25,,,,,,,,0.11,,2810.0,,,,,,,2810.0,6.35,0.11,,,100.0,63.66,0.0,0.0,,0.0,100.0,18.85,0.3477,54.54,0.7121
2016-06-16,188181.0,6945760.71,4.14,13.73,1.92,7.14,1.0,5525574.64,168231.0,149704.0,6209406.21,,,,,,,,,,,,,,,,,,6.35,,,,100.0,63.65,0.0,0.0,,0.0,100.0,18.87,0.3482,54.59,0.712
2016-06-17,188181.0,6998451.39,4.14,13.47,1.92,6.99,1.0,5567491.76,168231.0,149704.0,6256510.89,,,,,,,,,,,,,,,,,,6.21,,,,100.0,63.8,0.0,0.0,,0.0,100.0,18.85,0.3479,54.55,0.7137
2016-06-20,188181.0,7109478.18,4.14,13.44,1.92,7.05,1.0,5655817.12,168231.0,149704.0,6355767.18,,,,,,,,,,,,,,,,,,6.26,,,,100.0,63.8,0.0,0.0,,0.0,100.0,18.83,0.3471,54.48,0.7137
2016-06-21,186785.0,7243522.3,4.11,12.91,1.91,7.13,1.0,5751384.24,166835.0,148308.0,6469861.3,,,,,,,,0.05,,1396.0,,,,,,,1396.0,6.3,0.05,,,100.0,63.29,0.0,0.0,,0.0,100.0,18.93,0.3506,54.78,0.7085
2016-06-22,186785.0,7331311.25,4.11,12.7,1.91,7.3,1.0,5821089.0,166835.0,148308.0,6548273.75,,,,,,,,,,,,,,,,,,6.47,,,,100.0,63.28,0.0,0.0,,0.0,100.0,18.98,0.352,54.91,0.7085
2016-06-23,183857.0,7225580.1,4.04,11.9,1.88,7.26,1.0,5828504.4,163907.0,148308.0,6441545.1,,,,,,,,0.05,,2928.0,,,,,,,,6.43,,,,100.0,62.18,0.0,0.0,,0.0,100.0,17.72,0.3582,55.87,0.6974
2016-06-24,190857.0,7382348.76,4.2,12.22,1.95,7.55,1.0,6007313.44,163907.0,155308.0,6339922.76,,,,0.26,,,,,7000.0,,,,0.26,,,,,6.43,,,,100.0,62.18,0.0,0.0,,0.0,100.0,17.05,0.3379,53.75,0.724
2016-06-27,190857.0,6899480.55,4.2,12.6,1.95,7.39,1.0,5614384.2,163907.0,155308.0,5925238.05,,,,,,,,,,,,,,,,,,6.34,,,,100.0,62.23,0.0,0.0,,0.0,100.0,17.15,0.3408,54.08,0.7246
2016-06-28,195660.0,7200288.0,4.3,12.93,2.0,7.13,1.0,5972934.4,161710.0,162308.0,5950928.0,,,,,,7000.0,,0.55,,4987.0,,,,,0.25,2790.0,,5.85,,,,100.0,61.39,0.0,0.0,,0.0,100.0,15.49,0.3229,52.39,0.7428
2016-06-29,221411.0,8271914.96,4.87,14.57,2.26,8.2,1.0,6076940.24,187461.0,162659.0,7003542.96,,,351.0,0.02,,,,,351.0,,,,0.02,351.0,,25400.0,,6.9,,,,100.0,70.75,0.0,0.0,,0.0,100.0,25.15,0.297,46.33,0.8357
2016-06-30,221411.0,8557535.15,4.87,14.65,2.26,8.34,1.0,6286770.35,187461.0,162659.0,7245367.65,,,,,,,,,,,,,,,,,,7.0,,,,100.0,70.93,0.0,0.0,,0.0,100.0,25.09,0.296,46.22,0.8377
2016-07-01,225911.0,8923484.5,4.97,14.52,2.3,8.78,1.0,6602780.5,187461.0,167159.0,7404709.5,0.08,,,,,2500.0,2000.0,,,,0.08,,,,0.1,,,7.25,,,,100.0,70.87,0.0,0.0,,0.0,100.0,24.67,0.2857,45.44,0.854
2016-07-04,225911.0,9153913.72,4.97,13.38,2.3,8.88,1.0,6773282.68,187461.0,167159.0,7595919.72,,,,,,,,,,,,,,,,,,7.4,,,,100.0,70.87,0.0,0.0,,0.0,100.0,24.92,0.2829,44.94,0.854
2016-07-05,225913.0,9007151.31,4.97,13.26,2.3,9.09,1.0,6664709.07,187461.0,167161.0,7474070.07,,,,0.01,,,,,2.0,,,,0.01,,,,,7.6,,,,100.0,70.79,0.0,0.0,,0.0,100.0,24.98,0.2824,44.86,0.8531
2016-07-06,225913.0,8948413.93,4.97,13.25,2.3,8.98,1.0,6621247.21,187461.0,167161.0,7425330.21,,,,,,,,,,,,,,,,,,7.47,,,,100.0,70.79,0.0,0.0,,0.0,100.0,24.89,0.2832,45.01,0.8531
2016-07-07,235774.0,9607790.5,5.19,13.11,2.41,9.41,1.0,7219310.75,195559.0,177161.0,7969029.25,,,,,,10000.0,,0.06,,676.0,,,,,0.43,8774.0,,7.75,,,,100.0,73.93,0.0,0.0,,0.0,100.0,23.52,0.2596,42.99,0.8913
2016-07-08,229588.0,9298314.0,5.05,13.69,2.34,9.28,1.0,6924487.5,193967.0,170975.0,7855663.5,,,1647.0,,,,,0.14,,3686.0,,,,1647.0,,447.0,6186.0,7.9,0.26,,,100.0,73.4,0.0,0.0,,0.0,100.0,24.56,0.2724,43.82,0.8688
2016-07-11,201809.0,8142993.15,4.44,14.06,2.06,8.11,1.0,6886494.15,160458.0,170669.0,6474480.3,,,,0.4,,,,1.51,10000.0,36247.0,,,0.4,,,2738.0,10306.0,6.5,0.44,,,100.0,60.62,0.0,0.0,,0.0,100.0,14.15,0.3072,50.28,0.7624
2016-07-12,216404.0,9000242.36,4.76,15.6,2.21,8.78,1.0,3146865.76,170258.0,75664.0,7081030.22,,,3800.0,,,,,,,,,,,3800.0,,6000.0,95005.0,6.87,3.74,,,81.63,63.87,38324.0,1593895.16,,1.55,81.63,13.01,0.3398,54.19,0.8119
2016-07-13,319507.0,13579047.5,7.03,23.65,3.26,13.45,1.0,7597597.5,170258.0,178767.0,7235965.0,,,,0.23,,98997.0,,,4106.0,,,,0.23,,4.21,,,7.08,,,,81.77,63.96,37970.0,1613725.0,,1.58,81.76,31.39,0.2578,37.07,1.2003
2016-07-14,329281.0,14027370.6,7.24,23.46,3.36,14.05,1.0,7615474.2,180032.0,178767.0,7669363.2,,,5000.0,,,,,,,,,,,5000.0,,4774.0,,7.65,,,,83.36,67.6,35927.0,1530490.2,,1.53,83.36,30.1,0.2561,37.69,1.2364
2016-07-15,333008.0,14186140.8,7.33,24.77,3.4,14.24,1.0,7618669.2,183639.0,178842.0,7823021.4,,,1080.0,,,120.0,,0.27,,6393.0,,,,1080.0,0.01,8920.0,45.0,7.83,0.0,,,83.44,68.82,36447.0,1552642.2,,1.55,83.45,31.22,0.2564,37.3,1.248
2016-07-18,330213.0,14129814.27,7.26,23.82,3.37,14.16,1.0,7960951.13,204267.0,186047.0,8740584.93,,,21879.0,0.24,,5000.0,,0.08,5000.0,1872.0,,,0.24,21879.0,0.22,621.0,2795.0,8.7,0.12,,,92.12,76.44,17463.0,747241.77,,0.74,92.12,31.59,0.2602,37.5,1.2356
2016-07-19,351119.0,15115672.95,7.72,24.9,3.58,15.18,1.0,8913459.45,206171.0,207049.0,8875661.55,,,6924.0,1.24,,,,0.21,27500.0,5020.0,,,1.24,6924.0,,,6498.0,8.83,0.26,,,92.19,76.16,17463.0,751782.15,,0.75,92.19,28.15,0.2385,35.84,1.2971
2016-07-20,357141.0,15178492.5,7.86,25.28,3.64,15.42,1.0,9055517.5,206171.0,213071.0,8762267.5,,,,0.3,,,,,7000.0,,,,0.3,,,,978.0,8.88,0.04,,,92.0,75.07,17916.0,761430.0,,0.77,92.0,27.36,0.245,37.45,1.3003
2016-07-21,352141.0,14480037.92,7.75,24.15,3.59,14.92,1.0,8555879.52,206171.0,208071.0,8477751.52,,,,,,,,,,,,,,,,,5000.0,8.76,0.23,,,92.0,73.4,17916.0,736705.92,,0.76,92.0,27.35,0.2512,38.2,1.2537
2016-07-22,349877.0,14096544.33,7.7,23.59,3.57,14.39,1.0,8394461.79,198627.0,208351.0,8002681.83,,,,0.18,,280.0,,0.51,5000.0,7544.0,,,0.18,,0.01,,5000.0,8.17,0.22,,,91.06,70.71,19489.0,785211.81,,0.8,91.07,27.78,0.2556,38.32,1.2456
2016-07-25,351296.0,14473395.2,7.73,23.58,3.58,14.33,1.0,8530583.6,214744.0,207053.0,8847452.8,,,2717.0,,,,,,,,,,,2717.0,,13400.0,1298.0,8.65,0.05,,,91.68,76.26,19489.0,802946.8,,0.79,91.68,28.55,0.2553,37.72,1.2476
2016-07-26,355272.0,14811289.68,7.82,23.58,3.62,14.8,1.0,8797799.01,207822.0,211029.0,8664099.18,,,,0.31,,,,0.16,6478.0,6922.0,,,0.31,,,,2502.0,8.56,0.04,,,88.72,73.5,26411.0,1101074.59,,1.09,88.72,27.26,0.2503,37.34,1.2564
2016-07-27,357662.0,15189905.14,7.87,23.81,3.65,15.1,1.0,8948811.23,210532.0,210709.0,8941294.04,,,2710.0,,,,,,,,,,,2710.0,,,320.0,8.77,0.01,,,88.85,73.96,26411.0,1121675.17,,1.1,88.84,27.22,0.2482,37.03,1.2564
2016-07-28,357662.0,14986037.8,7.87,23.52,3.65,15.21,1.0,8828707.1,210532.0,210709.0,8821290.8,,,,,,,,,,,,,,,,,,8.93,,,,88.85,73.96,26411.0,1106620.9,,1.12,88.84,26.66,0.2489,37.46,1.2564
2016-07-29,354926.0,15066608.7,7.81,22.89,3.62,15.02,1.0,8932711.05,208076.0,210429.0,8832826.2,,,,,,,,0.18,,2456.0,,,,,,,280.0,8.71,0.01,,,88.23,73.05,27750.0,1177987.5,,1.16,88.22,27.34,0.2511,37.39,1.2461
