,ASY FP Equity_DX_SI_QTY,ASY FP Equity_DX_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ASY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASY FP Equity_DX_SI_MV,ASY FP Equity_DX_DSS,ASY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY,ASY FP Equity_DX_BROKER_SI_QTY,ASY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASY FP Equity_DX_BROKER_SI_MV_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASY FP Equity_DX_BROKER_SI_MV_INC_x,ASY FP Equity_DX_SUPPLY_SI_MV_NEW,ASY FP Equity_DX_BROKER_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_NEW,ASY FP Equity_DX_SUPPLY_SI_MV_DEC,ASY FP Equity_DX_BROKER_SI_QTY_INC,ASY FP Equity_DX_SUPPLY_SI_QTY_DEC,ASY FP Equity_DX_BROKER_SI_MV_NEW_y,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ASY FP Equity_DX_BROKER_SI_MV_INC_y,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASY FP Equity_DX_BROKER_SI_MV_ADD,ASY FP Equity_DX_SUPPLY_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_DEC,ASY FP Equity_DX_SUPPLY_SI_MV,ASY FP Equity_DX_BROKER_SI_MV_DEC,ASY FP Equity_DX_SUPPLY_SI_MV_RMV,ASY FP Equity_DX_BROKER_SI_MV_RMV,ASY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASY FP Equity_DX_UTILIZATION_QUANTITY,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASY FP Equity_DX_ACTIVE_UTILIZATION_MV,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASY FP Equity_DX_BROKER_SI_CON_RATIO,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASY FP Equity_DX_DEMAND_SUPPLY_RATIO
2017-01-27,34191.0,979198.44,0.42,4.25,0.15,1.01,0.0,794877.39,6436.0,27755.0,184321.05,,,,,,,,,,,,,,,,,,0.19,,,,100.0,0.9,0.0,0.0,,0.0,100.0,18.84,0.6593,78.95,0.0477
2017-01-30,34191.0,977539.91,0.42,4.25,0.15,1.01,0.0,793531.05,6436.0,27755.0,184008.86,,,,,,,,,,,,,,,,,,0.19,,,,100.0,0.9,0.0,0.0,,0.0,100.0,18.85,0.6592,78.94,0.0478
2017-01-31,34191.0,974554.55,0.42,4.26,0.15,1.01,0.0,791107.65,6436.0,27755.0,183446.9,,,,,,,,,,,,,,,,,,0.19,,,,100.0,0.9,0.0,0.0,,0.0,100.0,18.87,0.6589,78.92,0.0476
2017-02-01,34191.0,950008.25,0.42,4.3,0.15,0.98,0.0,771181.86,6436.0,27755.0,178826.39,,,,,,,,,,,,,,,,,,0.19,,,,100.0,0.9,0.0,0.0,,0.0,100.0,19.21,0.6543,78.54,0.0476
2017-02-02,34191.0,974886.26,0.42,4.27,0.15,1.0,0.0,791376.91,6436.0,27755.0,183509.34,,,,,,,,,,,,,,,,,,0.18,,,,100.0,0.89,0.0,0.0,,0.0,100.0,18.44,0.6648,79.39,0.0475
2017-02-03,37120.0,1056960.19,0.46,4.63,0.17,1.09,0.0,790299.84,9365.0,27755.0,266660.35,,,2929.0,,,,,,,,,,,2929.0,,,,0.28,,,,100.0,1.3,0.0,0.0,,0.0,100.0,25.25,0.5929,72.71,0.0515
2017-02-06,37120.0,1027070.01,0.46,4.78,0.17,1.07,0.0,767950.65,9365.0,27755.0,259119.36,,,,,,,,,,,,,,,,,,0.27,,,,100.0,1.3,0.0,0.0,,0.0,100.0,25.76,0.5876,72.16,0.0514
2017-02-07,39120.0,1093034.56,0.49,5.0,0.18,1.12,0.0,831371.25,9365.0,29755.0,261663.31,,,,0.06,,,,,2000.0,,,,0.06,,,,,0.27,,,,100.0,1.3,0.0,0.0,,0.0,100.0,23.78,0.5407,69.23,0.0542
2017-02-08,39341.0,1099209.42,0.49,5.0,0.18,1.13,0.0,823967.0,9851.0,29490.0,275242.42,,,,,,,,0.13,,4514.0,,,,,,5000.0,265.0,0.28,0.01,,,100.0,1.36,0.0,0.0,,0.0,100.0,25.03,0.5378,68.64,0.0544
2017-02-09,39490.0,1092645.33,0.49,5.01,0.18,1.13,0.0,815956.21,10000.0,29490.0,276689.12,,,,,,,,0.14,,4851.0,,,,,,5000.0,,0.29,,,,1.38,1.38,713678.0,19746693.68,,20.57,1.39,25.58,0.5329,68.08,0.0546
2017-02-10,39490.0,1094944.02,0.49,5.04,0.18,1.13,0.0,817672.81,10000.0,29490.0,277271.21,,,,,,,,,,,,,,,,,,0.29,,,,1.38,1.38,714137.0,19800963.26,,20.39,1.38,25.33,0.5357,68.38,0.0545
2017-02-13,39490.0,1088047.94,0.49,5.04,0.18,1.12,0.0,812523.02,10000.0,29490.0,275524.93,,,,,,,,,,,,,,,,,,0.29,,,,1.38,1.38,715366.0,19710116.62,,20.45,1.38,25.48,0.534,68.19,0.0544
2017-02-14,42490.0,1177713.17,0.53,5.45,0.19,1.22,0.0,900538.97,13000.0,32490.0,360326.46,,,,,,3000.0,,,,,,,,,0.09,3000.0,,0.37,,,,1.8,1.8,710916.0,19704757.2,,20.23,1.8,23.41,0.4742,63.41,0.0587
2017-02-15,41709.0,1145140.49,0.52,5.33,0.19,1.19,0.0,870585.72,13000.0,31709.0,356921.2,,,,,,,,,,,,,,,,,781.0,0.37,0.02,,,1.79,1.79,711702.0,19540117.93,,20.28,1.79,23.98,0.4853,64.36,0.0576
2017-02-16,40665.0,1123972.76,0.5,5.1,0.18,1.16,0.0,847574.69,13000.0,30665.0,359317.49,,,,,,,,,,,,,,,,,1044.0,0.37,0.03,,,1.79,1.79,712107.0,19682500.13,,20.09,1.79,24.24,0.5096,66.5,0.0561
2017-02-17,44452.0,1216569.57,0.55,5.77,0.2,1.27,0.0,942887.95,13000.0,34452.0,355786.12,,,,0.11,,,,,3787.0,,,,0.11,,,,,0.37,,,,1.79,1.79,712474.0,19499104.44,,20.32,1.8,22.64,0.4428,60.17,0.0613
2017-02-20,44452.0,1211825.77,0.55,5.97,0.2,1.26,0.0,939211.32,13000.0,34452.0,354398.79,,,,,,,,,,,,,,,,,,0.37,,,,1.79,1.79,712984.0,19436974.4,,20.12,1.79,22.47,0.4441,60.34,0.0612
2017-02-21,46452.0,1311414.45,0.58,6.37,0.21,1.34,0.0,1029098.42,15000.0,36452.0,423474.05,,,2000.0,0.06,,,,,2000.0,,,,0.06,2000.0,,,,0.42,,,,2.06,2.06,711421.0,20084555.68,,20.14,2.06,21.07,0.4283,58.5,0.0639
2017-02-22,46452.0,1284374.98,0.58,7.88,0.21,1.34,0.0,1007879.89,15000.0,36452.0,414742.63,,,,,,,,,,,,,,,,,,0.44,,,,2.07,2.07,709333.0,19612708.95,,20.56,2.07,21.63,0.42,57.37,0.0641
2017-02-23,46452.0,1266348.66,0.58,8.31,0.21,1.32,0.0,993734.21,15000.0,36452.0,408921.68,,,,,,,,,,,,,,,,,,0.43,,,,2.07,2.07,709688.0,19347120.68,,20.16,2.07,21.55,0.4214,57.56,0.0641
2017-02-24,49775.0,1362250.3,0.62,9.22,0.22,1.41,0.0,1088568.68,15437.0,39775.0,422482.33,,,,0.09,,,,,3323.0,,,,0.09,,,437.0,,0.43,,,,2.13,2.13,709359.0,19413852.61,,19.96,2.13,26.07,0.3991,53.97,0.0687
2017-02-27,49775.0,1414886.0,0.62,9.25,0.22,1.44,0.0,1130629.64,15437.0,39775.0,438806.53,,,,,,,,,,,,,,,,,,0.43,,,,2.13,2.13,709733.0,20174611.39,,20.11,2.12,25.49,0.4052,54.95,0.0686
2017-02-28,48935.0,1387210.49,0.61,11.71,0.22,1.44,0.0,1103730.26,15262.0,38935.0,432647.52,,,,,,,,0.0,,175.0,,,,,,,840.0,0.45,0.01,,,2.11,2.11,707089.0,20044574.96,,20.74,2.11,24.65,0.404,54.9,0.0677
2017-03-01,48803.0,1414717.32,0.61,11.31,0.22,1.45,0.0,1124834.05,15130.0,38803.0,438593.39,,,,,,,,0.0,,132.0,,,,,,,132.0,0.44,0.0,,,2.09,2.09,707593.0,20511937.28,,20.8,2.09,24.17,0.4082,55.56,0.0675
2017-03-02,48671.0,1397669.66,0.6,11.24,0.22,1.45,0.0,1110502.84,14998.0,38671.0,430692.81,,,,,,,,0.0,,132.0,,,,,,,132.0,0.45,0.0,,,2.08,2.08,705402.0,20256805.42,,21.09,2.09,24.29,0.4047,55.04,0.0676
2017-03-03,48671.0,1367449.78,0.6,12.45,0.22,1.42,0.0,1086491.97,14998.0,38671.0,421380.53,,,,,,,,,,,,,,,,,,0.44,,,,2.09,2.09,701845.0,19718883.75,,20.64,2.09,24.51,0.4037,54.88,0.0679
2017-03-06,46602.0,1268177.31,0.58,11.86,0.21,1.33,0.0,996047.94,12929.0,36602.0,351836.07,,,,,,,,0.06,,2069.0,,,,,,,2069.0,0.37,0.06,,,1.8,1.8,705624.0,19202101.82,,20.34,1.81,21.77,0.4175,57.02,0.0649
2017-03-07,48618.0,1322095.25,0.6,10.68,0.22,1.37,0.0,1050159.91,14945.0,38618.0,406407.37,,,,0.05,,,,,2016.0,,,,0.05,,,2016.0,,0.42,,,,1.98,1.98,740385.0,20133684.93,,20.79,1.98,24.15,0.4063,55.3,0.0644
2017-03-08,48618.0,1381997.54,0.6,10.21,0.22,1.4,0.0,1097741.18,14945.0,38618.0,424821.12,,,,,,,,,,,,,,,,,,0.42,,,,1.97,1.97,742177.0,21096852.7,,20.95,1.97,23.54,0.4138,56.4,0.0642
2017-03-09,48618.0,1471615.12,0.6,9.61,0.22,1.48,0.0,1168925.76,14945.0,38618.0,452369.25,,,,,,,,,,,,,,,,,,0.44,,,,1.97,1.97,743127.0,22493663.48,,21.93,1.95,23.23,0.4179,56.99,0.0641
2017-03-10,50728.0,1574853.93,0.63,5.54,0.23,1.6,0.0,1264403.3,17055.0,40728.0,529473.54,,,188.0,0.02,,1826.0,,,284.0,,,,0.02,188.0,0.05,1922.0,,0.53,,,,2.25,2.25,741578.0,23022335.28,,23.12,2.24,23.27,0.3848,54.06,0.0669
2017-03-13,52197.0,1595139.45,0.65,5.21,0.23,1.66,0.0,1289539.62,17900.0,42197.0,547023.7,,,845.0,0.03,,624.0,,,845.0,,,,0.03,845.0,0.02,,,0.57,,,,2.35,2.35,742763.0,22698824.88,,23.73,2.35,24.83,0.3622,51.19,0.0686
2017-03-14,59698.0,1893869.69,0.74,5.77,0.27,1.93,0.0,1576627.96,22055.0,49698.0,699676.64,,,,,,8346.0,,0.03,,845.0,,,,,0.27,5000.0,845.0,0.7,0.03,,,2.9,2.9,739223.0,23451238.44,,23.45,2.9,21.21,0.3009,45.7,0.0784
2017-03-15,63685.0,2027768.11,0.79,5.37,0.29,2.1,0.0,1709362.19,26042.0,53685.0,829192.7,,,,0.18,,,,0.03,5000.0,1013.0,,,0.18,,,5000.0,1013.0,0.84,0.03,,,3.52,3.52,713251.0,22710334.17,,23.25,3.5,21.43,0.2882,42.26,0.0861
2017-03-16,63139.0,2015283.53,0.78,5.25,0.28,2.08,0.0,1696101.48,26718.0,53139.0,852790.6,,,70.0,,,,,,,,,,,70.0,,606.0,546.0,0.87,0.02,,,3.61,3.61,713797.0,22783118.82,,23.32,3.59,21.66,0.2931,42.65,0.0853
2017-03-17,63689.0,1995765.5,0.79,5.2,0.29,2.1,0.0,1682404.4,26592.0,53689.0,833289.83,,,,0.02,,,,0.0,676.0,126.0,,,0.02,,,,126.0,0.87,0.0,,,3.59,3.59,713863.0,22369689.39,,23.43,3.6,21.7,0.2837,41.52,0.086
2017-03-20,60583.0,1951333.13,0.75,3.31,0.27,2.0,0.0,1550327.94,32486.0,48133.0,1046349.77,,,1873.0,0.0,,,,,44.0,,,,0.0,1873.0,,4021.0,5600.0,1.05,0.2,,,5.44,5.44,564998.0,18198163.1,,18.34,5.42,20.69,0.2888,44.88,0.1014
2017-03-21,50652.0,1621634.95,0.63,2.65,0.23,1.68,0.0,1223045.46,16739.0,38202.0,535902.78,,,,,,,,0.51,,15747.0,,,,,,,9931.0,0.55,0.32,,,2.8,2.8,580948.0,18599178.38,,19.24,2.79,19.66,0.3514,53.04,0.0847
2017-03-22,47252.0,1526535.78,0.59,2.44,0.21,1.57,0.0,1124322.74,13339.0,34802.0,430933.31,,,,,,,,0.11,,3400.0,,,,,,,3400.0,0.44,0.12,,,2.22,2.22,587915.0,18993339.59,,19.44,2.22,21.04,0.3887,57.26,0.0786
2017-03-23,41479.0,1341238.93,0.51,2.13,0.19,1.38,0.0,938663.54,13339.0,29029.0,431321.54,,,,,,,,,,,,,,,,,5773.0,0.44,0.19,,,2.23,2.23,585734.0,18939927.26,,19.52,2.23,24.09,0.4855,65.01,0.0692
2017-03-24,41478.0,1339596.98,0.51,2.09,0.19,1.38,0.0,937504.73,13339.0,29028.0,430803.9,,,,,,,,,,,,,,,,,1.0,0.44,0.0,,,2.23,2.23,586082.0,18928436.27,,19.53,2.22,24.09,0.4855,65.02,0.0692
2017-03-27,41478.0,1343621.01,0.51,2.06,0.19,1.38,0.0,940320.91,13339.0,29028.0,432097.99,,,,,,,,,,,,,,,,,,0.44,,,,2.24,2.24,582493.0,18869034.93,,19.38,2.23,23.94,0.4868,65.17,0.0696
2017-03-28,41434.0,1334558.16,0.51,2.04,0.19,1.38,0.0,933552.97,13295.0,28984.0,428222.01,,,,,,,,0.0,,44.0,,,,,,,44.0,0.45,0.0,,,2.13,2.13,610884.0,19676116.85,,20.41,2.14,24.32,0.4847,64.87,0.0664
2017-03-29,41433.0,1336937.74,0.51,2.03,0.19,1.38,0.0,935207.84,13295.0,28983.0,428995.9,,,,,,,,,,,,,,,,,1.0,0.44,0.0,,,2.13,2.13,609936.0,19681086.54,,20.29,2.15,24.25,0.4856,64.97,0.0665
2017-03-30,41433.0,1338143.64,0.51,2.04,0.19,1.38,0.0,936051.39,13295.0,28983.0,429382.85,,,,,,,,,,,,,,,,,,0.44,,,,2.14,2.14,609269.0,19677296.76,,20.31,2.14,24.22,0.4857,64.99,0.0666
2017-03-31,40632.0,1292564.36,0.5,1.98,0.18,1.34,0.0,896511.34,12494.0,28182.0,397452.72,,,,,,,,0.03,,801.0,,,,,,,801.0,0.42,0.03,,,2.01,2.01,610414.0,19418177.26,,20.29,2.01,25.03,0.503,66.04,0.0652
2017-04-03,40590.0,1289653.12,0.5,1.99,0.18,1.33,0.0,894083.24,12452.0,28140.0,395633.42,,,,,,,,0.0,,42.0,,,,,,,42.0,0.41,0.0,,,2.0,2.0,610161.0,19386450.84,,20.01,2.0,24.7,0.5069,66.45,0.0652
2017-04-04,40551.0,1278578.77,0.5,1.98,0.18,1.32,0.0,886028.51,12450.0,28101.0,392550.26,,,,,,,,0.0,,2.0,,,,,,,39.0,0.41,0.0,,,2.0,2.0,611259.0,19273082.76,,19.97,1.99,24.76,0.5075,66.48,0.065
2017-04-05,40551.0,1272677.64,0.5,1.97,0.18,1.31,0.0,881939.14,12450.0,28101.0,390738.49,,,,,,,,,,,,,,,,,,0.4,,,,2.0,2.0,609094.0,19116182.38,,19.78,2.0,24.74,0.5077,66.5,0.0652
2017-04-06,40551.0,1268743.55,0.5,1.96,0.18,1.31,0.0,879212.9,12450.0,28101.0,389530.64,,,,,,,,,,,,,,,,,,0.4,,,,2.0,2.0,608967.0,19053117.1,,19.7,2.01,24.75,0.5077,66.5,0.0653
2017-04-07,40551.0,1250646.74,0.5,1.95,0.18,1.3,0.0,866672.19,12450.0,28101.0,383974.55,,,,,,,,,,,,,,,,,,0.4,,,,2.01,2.01,607220.0,18727471.9,,19.55,2.02,25.04,0.5054,66.22,0.0654
2017-04-10,40551.0,1251040.15,0.5,1.94,0.18,1.29,0.0,866944.82,12450.0,28101.0,384095.33,,,,,,,,,,,,,,,,,,0.4,,,,2.01,2.01,607406.0,18739101.19,,19.32,2.01,24.67,0.5079,66.54,0.0654
2017-04-11,40551.0,1257728.1,0.5,1.91,0.18,1.29,0.0,871579.43,12450.0,28101.0,386148.67,,,,,,,,,,,,,,,,,,0.4,,,,2.02,2.02,603726.0,18725140.05,,19.22,2.02,24.55,0.5093,66.69,0.0658
2017-04-12,40551.0,1249073.1,0.5,1.89,0.18,1.29,0.0,865581.69,12450.0,28101.0,383491.41,,,,,,,,,,,,,,,,,,0.4,,,,2.03,2.03,601404.0,18524760.45,,19.18,2.02,24.72,0.5078,66.52,0.0661
2017-04-13,40551.0,1234516.98,0.5,1.85,0.18,1.28,0.0,855494.6,12450.0,28101.0,379022.38,,,,,,,,,,,,,,,,,,0.39,,,,2.03,2.03,601506.0,18311986.6,,19.06,2.03,24.86,0.5064,66.35,0.066
2017-04-14,40551.0,1234516.98,0.5,1.82,0.18,1.27,0.0,855494.6,12450.0,28101.0,379022.38,,,,,,,,,,,,,,,,,,0.39,,,,2.03,2.03,601506.0,18311986.6,,18.88,2.03,24.65,0.5079,66.54,0.066
2017-04-17,40551.0,1234516.98,0.5,1.82,0.18,1.27,0.0,855494.6,12450.0,28101.0,379022.38,,,,,,,,,,,,,,,,,,0.39,,,,2.03,2.03,602046.0,18328426.12,,18.89,2.02,24.63,0.5086,66.61,0.066
2017-04-18,40551.0,1254974.24,0.5,1.82,0.18,1.29,0.0,869671.06,12450.0,28101.0,385303.18,,,,,,,,,,,,,,,,,,0.39,,,,2.07,2.07,588212.0,18204012.37,,18.5,2.06,24.26,0.5118,66.98,0.0675
2017-04-19,40551.0,1260481.96,0.5,1.78,0.18,1.3,0.0,873487.8,12450.0,28101.0,386994.17,,,,,,,,,,,,,,,,,,0.4,,,,2.02,2.02,603314.0,18753333.18,,19.26,2.02,24.56,0.5093,66.69,0.0659
2017-04-20,40551.0,1265989.68,0.5,1.82,0.18,1.3,0.0,877304.53,12450.0,28101.0,388685.15,,,,,,,,,,,,,,,,,,0.4,,,,2.03,2.03,602320.0,18804244.21,,19.32,2.02,24.58,0.5091,66.66,0.066
2017-04-21,40551.0,1264416.05,0.5,1.81,0.18,1.3,0.0,876214.04,12450.0,28101.0,388202.01,,,,,,,,,,,,,,,,,,0.4,,,,2.03,2.03,599953.0,18707065.23,,19.31,2.04,24.74,0.5078,66.51,0.0662
2017-04-24,40551.0,1299036.03,0.5,1.82,0.18,1.32,0.0,900204.96,12450.0,28101.0,398831.07,,,,,,,,,,,,,,,,,,0.4,,,,2.04,2.04,599006.0,19188931.84,,19.31,2.01,23.87,0.5149,67.35,0.0663
2017-04-25,40551.0,1306117.39,0.5,2.17,0.18,1.34,0.0,905112.2,12450.0,28101.0,401005.19,,,,,,,,,,,,,,,,,,0.41,,,,2.06,2.06,591888.0,19064269.89,,19.55,2.05,24.45,0.51,66.78,0.0671
2017-04-26,40551.0,1310051.48,0.5,2.24,0.18,1.35,0.0,907838.44,12450.0,28101.0,402213.04,,,,,,,,,,,,,,,,,,0.41,,,,2.08,2.08,586771.0,18956381.22,,19.49,2.08,24.64,0.5087,66.61,0.0677
2017-04-27,40551.0,1305330.57,0.5,2.26,0.18,1.35,0.0,904566.95,12450.0,28101.0,400763.62,,,,,,,,,,,,,,,,,,0.41,,,,2.09,2.09,583117.0,18770448.22,,19.4,2.09,24.73,0.5078,66.51,0.0681
2017-04-28,40551.0,1319886.7,0.5,2.31,0.18,1.36,0.0,914654.04,12450.0,28101.0,405232.65,,,,,,,,,,,,,,,,,,0.41,,,,2.1,2.1,581648.0,18931948.85,,19.34,2.09,24.41,0.5105,66.84,0.0683
2017-05-01,40551.0,1319886.7,0.5,2.19,0.18,1.36,0.0,914654.04,12450.0,28101.0,405232.65,,,,,,,,,,,,,,,,,,0.42,,,,2.1,2.1,580483.0,18894029.49,,19.47,2.1,24.64,0.5085,66.6,0.0684
2017-05-02,40551.0,1323427.38,0.5,2.19,0.18,1.36,0.0,917107.66,12450.0,28101.0,406319.72,,,,,,,,,,,,,,,,,,0.42,,,,2.1,2.1,581077.0,18964099.78,,19.5,2.1,24.59,0.509,66.65,0.0683
2017-05-03,40551.0,1321853.74,0.5,2.18,0.18,1.36,0.0,916017.16,12450.0,28101.0,405836.58,,,,,,,,,,,,,,,,,,0.42,,,,2.07,2.07,588852.0,19194994.44,,19.81,2.07,24.71,0.508,66.54,0.0674
2017-05-04,40551.0,1349392.36,0.5,3.13,0.18,1.38,0.0,935100.85,12450.0,28101.0,414291.51,,,,,,,,,,,,,,,,,,0.42,,,,2.14,2.14,569749.0,18959210.59,,19.21,2.13,24.17,0.5126,67.07,0.0697
2017-05-05,40551.0,1395027.79,0.5,3.27,0.18,1.42,0.0,966725.26,12450.0,28101.0,428302.53,,,,,,,,,,,,,,,,,,0.43,,,,2.09,2.09,584660.0,20113362.1,,20.19,2.08,23.98,0.5143,67.26,0.0679
2017-05-08,40551.0,1411944.37,0.5,3.21,0.18,1.45,0.0,978448.1,12450.0,28101.0,433496.27,,,,,,,,,,,,,,,,,,0.44,,,,2.1,2.1,579062.0,20162346.92,,20.61,2.11,24.55,0.5095,66.71,0.0686
2017-05-09,40551.0,1400535.51,0.5,3.16,0.18,1.45,0.0,970541.99,12450.0,28101.0,429993.52,,,,,,,,,,,,,,,,,,0.45,,,,2.11,2.11,576633.0,19915538.31,,20.68,2.12,24.9,0.5065,66.35,0.0688
2017-05-10,40551.0,1470562.29,0.5,2.99,0.18,1.5,0.0,1019069.09,12450.0,28101.0,451493.19,,,,,,,,,,,,,,,,,,0.45,,,,2.07,2.07,589503.0,21378039.51,,21.22,2.07,23.83,0.5158,67.43,0.0674
2017-05-11,40551.0,1374963.94,0.5,2.82,0.18,1.44,0.0,952821.42,12450.0,28101.0,422142.51,,,,,,,,,,,,,,,,,,0.46,,,,2.07,2.07,589828.0,19999315.15,,21.74,2.07,25.9,0.498,65.32,0.0673
2017-05-12,40551.0,1292348.08,0.5,2.16,0.18,1.35,0.0,895570.35,12450.0,28101.0,396777.73,,,,,,,,,,,,,,,,,,0.43,,,,2.05,2.05,595820.0,18988602.79,,20.51,2.04,25.67,0.4997,65.54,0.0667
2017-05-15,42595.0,1385176.74,0.53,2.06,0.19,1.42,0.0,980306.44,14782.0,30145.0,480706.25,,,,0.07,,,,,2044.0,,,,0.07,,,2332.0,,0.49,,,,2.43,2.43,592632.0,19272216.55,,19.55,2.42,23.07,0.4675,63.87,0.0701
2017-05-16,42595.0,1364101.56,0.53,1.83,0.19,1.41,0.0,965391.28,14494.0,30145.0,464169.22,,,,,,,,0.01,,288.0,,,,,,,,0.48,,,,2.38,2.38,595489.0,19070488.89,,19.87,2.36,23.56,0.4622,63.26,0.0698
2017-05-17,40586.0,1282044.81,0.5,1.75,0.18,1.32,0.0,888769.84,12485.0,28136.0,394380.56,,,,,,,,0.07,,2009.0,,,,,,,2009.0,0.41,0.07,,,2.04,2.04,599584.0,18939869.84,,19.71,2.03,24.75,0.5063,66.39,0.0663
2017-05-18,43036.0,1379477.1,0.53,1.85,0.19,1.42,0.0,980404.47,14935.0,30586.0,478726.89,,,1439.0,0.08,,,,,2450.0,,,,0.08,1439.0,,1011.0,,0.49,,,,2.4,2.4,606983.0,19456249.43,,19.84,2.41,23.06,0.4567,62.94,0.0692
2017-05-19,43655.0,1495034.64,0.54,1.86,0.2,1.51,0.0,1068664.67,15554.0,31205.0,532671.37,,,619.0,0.02,,,,,619.0,,,,0.02,619.0,,,,0.52,,,,2.5,2.5,607751.0,20813395.95,,20.38,2.47,21.79,0.4567,63.29,0.07
2017-05-22,43590.0,1564700.25,0.54,1.79,0.2,1.59,0.0,1117796.87,15489.0,31140.0,555990.87,,,,,,,,0.0,,65.0,,,,,,,65.0,0.55,0.0,,,2.46,2.46,613395.0,22018337.0,,21.87,2.45,22.17,0.4538,62.94,0.0693
2017-05-23,43727.0,1486894.87,0.54,1.76,0.2,1.56,0.0,1063544.51,15626.0,31277.0,531347.21,,,,0.01,,,,,137.0,,,,0.01,,,137.0,,0.58,,,,2.41,2.41,631969.0,21489502.26,,23.15,2.43,23.81,0.4328,60.53,0.0675
2017-05-24,42793.0,1457210.89,0.53,1.6,0.19,1.5,0.0,1033256.61,14692.0,30343.0,500300.11,,,,,,,,0.04,,934.0,,,,,,,934.0,0.52,0.04,,,2.26,2.26,636555.0,21676322.76,,22.32,2.26,23.36,0.4596,63.11,0.0657
2017-05-25,42583.0,1457082.94,0.53,1.6,0.19,1.5,0.0,1031075.32,14482.0,30133.0,495537.54,,,,,,,,0.01,,210.0,,,,,,,210.0,0.51,0.01,,,2.2,2.2,642487.0,21984285.89,,22.57,2.2,23.37,0.4647,63.54,0.0648
2017-05-26,47061.0,1607112.85,0.58,1.78,0.21,1.66,0.0,1181950.72,18960.0,34611.0,647475.82,,,,,,4478.0,,,,,,,,,0.16,4478.0,,0.67,,,,100.0,2.87,0.0,0.0,,0.0,100.0,21.31,0.3881,57.3,0.0711
2017-05-29,47214.0,1574777.59,0.59,1.8,0.21,1.64,0.0,1159519.81,19113.0,34764.0,637495.75,,,153.0,0.01,,,,,153.0,,,,0.01,153.0,,,,0.67,,,,2.88,2.88,643574.0,21465792.24,,22.54,2.89,21.52,0.3821,56.66,0.0712
2017-05-30,47074.0,1564627.72,0.58,1.83,0.21,1.61,0.0,1150819.35,18973.0,34624.0,630617.36,,,,,,,,0.01,,140.0,,,,,,,140.0,0.65,0.01,,,2.86,2.86,643626.0,21392596.37,,22.1,2.86,21.28,0.3879,57.3,0.071
2017-05-31,47074.0,1552753.72,0.58,1.84,0.21,1.6,0.0,1142085.76,18973.0,34624.0,625831.59,,,,,,,,,,,,,,,,,,0.65,,,,2.86,2.86,643319.0,21220120.9,,21.98,2.86,21.26,0.3879,57.31,0.0711
2017-06-01,47074.0,1606643.41,0.58,1.8,0.21,1.64,0.0,1181722.85,18973.0,34624.0,647551.63,,,,,,,,,,,,,,,,,,0.65,,,,2.89,2.89,636448.0,21722075.56,,21.83,2.89,20.83,0.3939,58.01,0.0718
2017-06-02,42596.0,1498852.62,0.53,1.62,0.19,1.53,0.0,1060766.53,14495.0,30146.0,510044.81,,,,,,,,0.15,,4478.0,,,,,,,4478.0,0.51,0.15,,,2.2,2.2,643551.0,22645039.57,,22.78,2.19,22.9,0.4693,64.07,0.0647
2017-06-05,41596.0,1469314.64,0.52,1.59,0.19,1.51,0.0,1029537.57,14495.0,29146.0,512013.55,,,,,,,,,,,,,,,,,1000.0,0.53,0.04,,,2.17,2.17,654746.0,23127894.18,,23.78,2.17,24.01,0.4856,64.95,0.0622
2017-06-06,45932.0,1574796.57,0.57,1.76,0.21,1.64,0.0,1147943.45,14507.0,33482.0,497378.16,,,12.0,0.0,,4324.0,,,12.0,,,,0.0,12.0,0.16,,,0.52,,,,2.17,2.17,653357.0,22400600.07,,23.61,2.17,22.15,0.4019,58.19,0.0688
2017-06-07,45932.0,1525333.52,0.57,1.79,0.21,1.59,0.0,1111887.51,14507.0,33482.0,481755.93,,,,,,,,,,,,,,,,,,0.51,,,,2.19,2.19,647771.0,21511513.09,,22.73,2.2,22.23,0.4012,58.1,0.0694
