,MMB FP Equity_DX_SI_QTY,MMB FP Equity_DX_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MMB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MMB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MMB FP Equity_DX_SI_MV,MMB FP Equity_DX_DSS,MMB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY,MMB FP Equity_DX_BROKER_SI_QTY,MMB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MMB FP Equity_DX_BROKER_SI_MV_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_x,MMB FP Equity_DX_BROKER_SI_MV_INC_x,MMB FP Equity_DX_SUPPLY_SI_MV_NEW,MMB FP Equity_DX_BROKER_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_NEW,MMB FP Equity_DX_SUPPLY_SI_MV_DEC,MMB FP Equity_DX_BROKER_SI_QTY_INC,MMB FP Equity_DX_SUPPLY_SI_QTY_DEC,MMB FP Equity_DX_BROKER_SI_MV_NEW_y,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MMB FP Equity_DX_BROKER_SI_MV_INC_y,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_y,MMB FP Equity_DX_BROKER_SI_MV_ADD,MMB FP Equity_DX_SUPPLY_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_DEC,MMB FP Equity_DX_SUPPLY_SI_MV,MMB FP Equity_DX_BROKER_SI_MV_DEC,MMB FP Equity_DX_SUPPLY_SI_MV_RMV,MMB FP Equity_DX_BROKER_SI_MV_RMV,MMB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MMB FP Equity_DX_UTILIZATION_QUANTITY,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MMB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MMB FP Equity_DX_ACTIVE_UTILIZATION_MV,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MMB FP Equity_DX_BROKER_SI_CON_RATIO,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MMB FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-01-01,102660.0,1905235.66,0.1,0.35,0.08,2.24,0.0,261677.6,88560.0,14100.0,1643558.06,,,,,,,,,,,,,,,,,,1.93,,,,0.35,0.35,24982164.0,463636370.92,,543.55,0.35,14.03,0.2493,44.07,0.0041
2015-01-02,91265.0,1716891.69,0.09,0.31,0.07,1.99,0.0,265251.44,77165.0,14100.0,1451640.25,,,2772.0,,,,,0.38,,17695.0,,,,2772.0,,3528.0,,1.68,,,,0.3,0.3,25282008.0,475609154.73,,550.58,0.3,16.93,0.1855,32.42,0.0036
2015-01-05,81847.0,1490844.4,0.08,0.29,0.06,1.79,0.0,371586.32,61447.0,20400.0,1119258.08,,,,,,6300.0,,0.34,,15718.0,,,,,0.14,,,1.34,,,,0.24,0.24,25385940.0,462405298.42,,552.24,0.24,16.36,0.1354,19.01,0.0032
2015-01-06,86576.0,1593348.13,0.09,0.3,0.07,1.87,0.0,375442.41,66176.0,20400.0,1217905.72,,,14500.0,,,,,0.22,,9771.0,,,,14500.0,,,,1.42,,,,0.26,0.26,25332628.0,466222687.81,,539.01,0.26,17.81,0.1455,22.21,0.0034
2015-01-07,101583.0,1883502.35,0.1,0.35,0.08,2.19,0.0,663786.11,65783.0,35800.0,1219716.24,,,,0.31,,1000.0,,0.0,14400.0,393.0,,,0.31,,0.02,,,1.41,,,,0.26,0.26,25329440.0,469646099.89,,543.08,0.26,18.0,0.155,25.38,0.004
2015-01-08,110186.0,2115438.81,0.11,0.38,0.08,2.4,0.0,1071292.96,54386.0,55800.0,1044145.86,,,68.0,,,20000.0,,0.25,,11465.0,,,,68.0,0.44,,,1.18,,,,0.21,0.21,25372622.0,487123857.25,,552.51,0.21,22.34,0.1655,22.86,0.0043
2015-01-09,135878.0,2589431.22,0.14,0.46,0.1,3.02,0.0,849086.0,91323.0,44555.0,1740345.21,,,,,,,,,,,,,,,,36937.0,11245.0,2.03,0.24,,,0.36,0.36,25384332.0,483749993.98,,564.76,0.36,18.08,0.18,32.31,0.0053
2015-01-12,135810.0,2602137.87,0.14,0.46,0.1,3.02,0.0,853679.8,91255.0,44555.0,1748458.08,,,,,,,,0.0,,68.0,,,,,,,,2.02,,,,0.36,0.36,25385836.0,486396033.52,,563.77,0.36,17.96,0.1784,32.03,0.0053
2015-01-13,127055.0,2483515.38,0.13,0.42,0.1,2.84,0.0,699774.51,91255.0,35800.0,1783740.87,,,,,,,,,,,,,,,,,8755.0,2.04,0.2,,,0.36,0.36,25341520.0,495344965.27,,568.43,0.36,19.42,0.2029,34.83,0.005
2015-01-14,112840.0,2196447.54,0.11,0.37,0.09,2.56,0.0,696852.38,77040.0,35800.0,1499595.17,,,,,,,,0.36,,16500.0,,,,,,2285.0,,1.75,,,,0.3,0.3,25382152.0,494067399.77,,574.59,0.3,19.09,0.1953,34.16,0.0044
2015-01-15,91556.0,1803784.11,0.09,0.3,0.07,2.08,0.0,380237.6,72256.0,19300.0,1423546.51,,,,,,,,0.11,,4784.0,,,,,,,16500.0,1.65,0.38,,,0.28,0.28,25406006.0,500534644.59,,578.74,0.28,15.82,0.2362,41.71,0.0036
2015-01-16,89271.0,1786762.41,0.09,0.29,0.07,2.04,0.0,386290.22,69971.0,19300.0,1400472.18,,,,,,,,0.05,,2285.0,,,,,,,,1.61,,,,0.27,0.27,25461076.0,509604388.85,,586.29,0.27,16.16,0.2468,42.62,0.0035
2015-01-19,109934.0,2221113.26,0.11,0.35,0.08,2.54,0.0,591978.99,80634.0,29300.0,1629134.27,,,1022.0,,,10000.0,,,,,,,,1022.0,0.23,9641.0,,1.87,,,,0.31,0.31,25524546.0,515699488.65,,594.9,0.31,12.88,0.1784,34.14,0.0043
2015-01-20,258251.0,5246564.57,0.26,0.81,0.2,6.06,0.0,3051426.7,108051.0,150200.0,2195137.86,,,27417.0,2.85,,,,,120900.0,,,,2.85,27417.0,,,,2.55,,,,0.42,0.42,25498428.0,518019867.61,,601.22,0.42,20.17,0.2423,41.01,0.0101
2015-01-21,340883.0,6913580.75,0.35,1.07,0.26,8.02,0.0,3237700.67,181244.0,159639.0,3675880.08,,,15448.0,0.12,,8639.0,,,5000.0,,,,0.12,15448.0,0.21,57745.0,4200.0,4.26,0.09,,,0.71,0.71,25438088.0,515919759.78,,600.76,0.7,25.4,0.1949,29.66,0.0133
2015-01-22,323321.0,6786581.55,0.33,1.01,0.25,7.69,0.0,3070975.33,177016.0,146305.0,3715606.22,,,1077.0,,,,,0.37,,15905.0,,,,1077.0,,10600.0,13334.0,4.25,0.31,,,0.69,0.69,25610436.0,537568893.97,,612.15,0.69,30.09,0.2171,30.2,0.0125
2015-01-23,340460.0,7193136.72,0.34,1.04,0.26,8.29,0.0,2908565.94,202794.0,137666.0,4284570.78,,,8639.0,,,,,0.07,,3220.0,,,,8639.0,,20359.0,8639.0,4.99,0.21,,,0.78,0.78,25631514.0,541534936.81,,629.56,0.79,28.89,0.2386,35.02,0.0132
2015-01-26,354743.0,7633585.29,0.36,1.07,0.27,8.66,0.0,3801611.25,178077.0,176666.0,3831974.04,,,,0.96,,,,0.62,39000.0,24717.0,,,0.96,,,,,4.39,,,,0.69,0.69,25655112.0,552063001.82,,633.91,0.69,27.81,0.2345,33.59,0.0137
2015-01-27,317122.0,6747740.86,0.32,0.96,0.24,7.81,0.0,3126342.76,170194.0,146928.0,3621398.1,,,16117.0,,,13162.0,,0.58,,24000.0,,,,16117.0,0.35,,42900.0,4.22,1.04,,,0.66,0.66,25771690.0,548371559.44,,642.38,0.65,19.54,0.2476,42.5,0.0122
2015-01-28,324681.0,6855578.26,0.33,0.98,0.25,7.99,0.0,3207931.15,172753.0,151928.0,3647647.11,,,25610.0,,,5000.0,,0.72,,29210.0,,,,25610.0,0.12,6159.0,,4.3,,,,0.67,0.67,25766936.0,544064008.36,,638.36,0.67,19.1,0.245,42.58,0.0125
2015-01-29,319044.0,6832496.85,0.32,0.98,0.24,7.79,0.0,3253618.88,167116.0,151928.0,3578877.97,,,,,,,,0.16,,6421.0,,,,,,784.0,,4.1,,,,0.64,0.64,25965960.0,556074835.82,,640.59,0.64,19.6,0.2538,43.29,0.0122
2015-01-30,299878.0,6255859.4,0.3,0.91,0.23,7.39,0.0,2769594.32,167116.0,132762.0,3486265.08,,,,,,,,,,,,,,,,,19166.0,4.16,0.47,,,0.64,0.64,25916672.0,540656721.22,,642.49,0.64,20.65,0.2776,46.37,0.0115
2015-02-02,314416.0,6513216.89,0.32,0.94,0.24,7.56,0.0,3099006.56,164816.0,149600.0,3414210.33,,,,0.72,,,,0.07,30000.0,2300.0,,,0.72,,,,13162.0,3.98,0.34,,,0.63,0.63,25964218.0,537856162.38,,628.79,0.63,20.18,0.2697,43.92,0.012
2015-02-03,344416.0,7213094.71,0.35,1.03,0.26,8.32,0.0,3028353.78,224816.0,144600.0,4708315.23,,,,,,25000.0,,,,,,,,,0.63,60000.0,30000.0,5.39,0.67,,,0.85,0.85,26086970.0,546338687.12,,629.02,0.85,13.8,0.2156,39.56,0.0131
2015-02-04,309414.0,6412257.52,0.31,0.92,0.24,7.61,0.0,2996631.09,202016.0,144598.0,4186554.63,,,,0.07,,35000.0,,0.39,3000.0,16363.0,,,0.07,,0.9,,38002.0,4.95,0.93,0.15,,0.76,0.76,26295728.0,544949418.94,6437.0,640.56,0.77,11.77,0.2481,44.46,0.0117
2015-02-05,318075.0,6595846.36,0.32,0.96,0.24,7.7,0.0,2998494.67,210677.0,144598.0,4368759.33,,,,,,,,,,,,,,,,8661.0,,5.05,,,,0.8,0.8,26282496.0,545013928.96,,633.34,0.79,11.83,0.2446,43.95,0.012
2015-02-06,311055.0,6442256.53,0.31,0.94,0.24,7.59,0.0,2848837.89,210703.0,137552.0,4363867.41,,,8687.0,0.07,,8661.0,,0.21,3000.0,8661.0,,,0.07,8687.0,0.22,,18707.0,5.12,0.46,,,0.8,0.8,26216892.0,542977748.56,,633.57,0.8,12.02,0.2511,45.39,0.0118
2015-02-09,310097.0,6358471.0,0.31,0.94,0.24,7.51,0.0,2800830.02,209745.0,136594.0,4300775.24,,,,,,,,0.02,,958.0,,,,,,,958.0,5.05,0.03,,,0.8,0.8,26035544.0,533853121.89,,626.23,0.8,12.14,0.251,45.33,0.0118
2015-02-10,318172.0,6689437.78,0.32,0.94,0.24,7.67,0.0,2640563.12,228820.0,125594.0,4810848.07,,,,,,,,,,,,,,,,19075.0,11000.0,5.47,0.27,,,0.87,0.87,26033752.0,547349120.18,,624.36,0.87,11.75,0.2435,44.04,0.0121
2015-02-11,353158.0,7197429.59,0.36,1.03,0.27,8.64,0.0,3282842.12,227578.0,161080.0,4638084.46,,,,0.62,,11228.0,,0.03,25500.0,1242.0,,,0.62,,0.27,,1242.0,5.54,0.03,,,0.87,0.87,26078386.0,531482642.38,,633.23,0.87,10.95,0.2092,39.67,0.0134
2015-02-12,363022.0,7431210.2,0.37,1.04,0.28,8.69,0.0,3338376.33,235439.0,163083.0,4819533.52,,,7861.0,0.03,,,,,2003.0,,,,0.03,7861.0,,,,5.57,,,,0.9,0.9,25961132.0,531435089.14,,615.31,0.9,13.26,0.2024,38.28,0.0139
2015-02-13,481730.0,10045398.3,0.49,1.33,0.37,11.61,0.0,3122700.26,367480.0,149750.0,7662970.89,,,,0.03,,,,0.16,400.0,7334.0,,,0.03,,,139375.0,13733.0,8.8,0.34,,,1.4,1.4,25847416.0,538989866.98,,618.23,1.4,20.39,0.1779,31.81,0.0184
2015-02-16,514490.0,10677698.93,0.52,1.4,0.39,12.55,0.0,2833910.15,413442.0,136548.0,8580553.95,,,15000.0,,,,,,,,,,,15000.0,,30962.0,13202.0,10.05,0.32,,,1.58,1.58,25771476.0,534859884.05,,625.45,1.58,23.55,0.1911,31.94,0.0196
2015-02-17,502183.0,10446011.22,0.51,1.38,0.38,12.15,0.0,2620681.34,411696.0,125987.0,8563772.64,,,8661.0,,,,,0.26,,10407.0,,,,8661.0,,,10561.0,9.92,0.26,,,1.57,1.57,25877060.0,538274013.66,,625.33,1.56,24.83,0.2013,33.41,0.0191
2015-02-18,663423.0,14130604.53,0.67,1.85,0.51,16.18,0.0,2665530.9,573778.0,125145.0,12221207.3,,,,,,,,0.4,,17329.0,,,,,,179411.0,842.0,13.96,0.03,,,2.18,2.18,25711438.0,547641794.74,,625.97,2.18,23.7,0.3043,48.52,0.0252
2015-02-19,631013.0,13586671.18,0.64,1.78,0.48,15.7,0.0,2974472.3,528368.0,138145.0,11376567.96,,,,0.32,,,,1.03,13000.0,45410.0,,,0.32,,,,,13.14,,,,2.01,2.01,25762532.0,554706560.71,,640.36,2.01,24.21,0.2894,46.66,0.024
2015-02-20,569638.0,12265173.93,0.58,1.64,0.43,14.28,0.0,2787987.78,475654.0,129484.0,10241555.23,,,,,,,,1.31,,52714.0,,,,,,,8661.0,11.91,0.22,,,1.82,1.82,25700598.0,553373027.34,,644.17,1.82,24.6,0.2979,47.34,0.0218
2015-02-23,604659.0,13094560.15,0.61,1.78,0.46,15.23,0.0,3562537.92,485641.0,164505.0,10517093.58,,,,0.5,,15021.0,,,20000.0,,,,0.5,,0.38,9987.0,,12.16,,,,1.85,1.85,25697984.0,556518297.32,,646.17,1.85,23.18,0.2675,44.56,0.0231
2015-02-24,606071.0,13226682.0,0.61,1.83,0.46,15.29,0.0,3649874.69,484314.0,167244.0,10569499.72,,,,0.07,,,,0.03,2739.0,1327.0,,,0.07,,,,,12.16,,,,1.85,1.85,25718102.0,561262882.85,,649.64,1.84,23.05,0.266,44.42,0.0231
2015-02-25,609807.0,13261060.06,0.62,1.85,0.47,15.47,0.0,3564222.36,482013.0,163900.0,10482010.45,,,,0.16,,,,0.19,6037.0,9381.0,,,0.16,,,7080.0,9381.0,12.2,0.23,,,1.84,1.84,25690816.0,558680785.92,,651.82,1.84,22.93,0.2729,45.22,0.0233
2015-02-26,552072.0,12055341.76,0.56,1.7,0.42,14.07,0.0,3885026.0,410264.0,177914.0,8958745.84,,,34.0,0.35,,,,1.82,14014.0,71783.0,,,0.35,34.0,,,,10.43,,,,1.56,1.56,25825272.0,563934559.19,,656.24,1.57,24.86,0.2258,37.42,0.021
2015-02-27,544835.0,12026044.17,0.55,1.71,0.42,13.9,0.0,3659386.39,415154.0,165787.0,9163618.97,,,4890.0,,,1000.0,,,,,,,,4890.0,0.03,,13127.0,10.57,0.33,,,1.58,1.58,25910426.0,571916135.16,,660.57,1.57,25.07,0.2346,38.95,0.0207
2015-03-02,482275.0,10786054.48,0.49,1.53,0.37,12.42,0.0,3787548.39,348529.0,169352.0,7794832.37,,,,0.1,,,,2.01,3565.0,79361.0,,,0.1,,,12736.0,,8.97,,,,1.33,1.33,25887012.0,578961633.18,,667.54,1.33,12.02,0.2533,45.98,0.0184
2015-03-03,476943.0,10519280.58,0.48,1.49,0.36,12.34,0.0,3895797.04,335914.0,176635.0,7408796.48,,,,0.19,,,,0.31,7283.0,12615.0,,,0.19,,,,,8.68,,,,1.27,1.27,26217990.0,578254410.22,,680.63,1.26,11.9,0.2557,46.3,0.018
2015-03-04,519288.0,11361761.25,0.53,1.59,0.4,13.33,0.0,4706914.73,336759.0,215129.0,7368118.18,,,4351.0,1.07,,,,0.37,42000.0,15183.0,,,1.07,4351.0,,11677.0,3506.0,8.64,0.09,,,1.27,1.27,26281616.0,575028589.47,,674.77,1.26,17.02,0.2353,42.46,0.0195
2015-03-05,493905.0,10963408.09,0.5,1.5,0.38,12.65,0.0,4742364.06,312360.0,213645.0,6933580.65,,,,0.02,,,,0.64,1000.0,24399.0,,,0.02,,,,2484.0,8.0,0.07,,,1.17,1.17,26461366.0,587373592.33,,676.5,1.17,17.4,0.219,40.0,0.0184
2015-03-06,412713.0,9224985.04,0.42,1.26,0.31,10.7,0.0,3886330.03,270944.0,173869.0,6056156.09,,,,,,,,1.05,,41416.0,,,,,,,39776.0,7.05,1.03,,,1.01,1.01,26577734.0,594067060.23,,690.24,1.01,13.76,0.1982,38.07,0.0154
2015-03-09,296004.0,6561618.52,0.3,0.92,0.23,7.67,0.0,3854211.6,154235.0,173869.0,3418978.23,,,,,,,,2.87,,109709.0,,,,,,,,4.01,,0.18,,0.57,0.57,26716224.0,592227368.72,7000.0,693.88,0.57,15.69,0.1283,19.21,0.011
2015-03-10,312656.0,6844786.13,0.32,0.97,0.24,8.09,0.0,3845200.73,182115.0,175641.0,3986932.04,,,14880.0,0.34,,,,,13000.0,,,,0.34,14880.0,,13000.0,11228.0,4.66,0.29,,,0.68,0.68,26664188.0,583742720.73,,688.11,0.67,18.13,0.1364,19.28,0.0116
2015-03-11,247570.0,5559224.5,0.25,0.75,0.19,6.36,0.0,2986918.31,204653.0,133017.0,4595516.31,,,,0.08,,,,0.59,3000.0,22462.0,,,0.08,,,45000.0,45624.0,5.18,1.18,,,0.76,0.76,26611284.0,597560697.97,,684.4,0.75,15.11,0.1411,22.98,0.0092
2015-03-12,260063.0,5679993.07,0.26,0.77,0.2,6.75,0.0,3947774.61,212146.0,180752.0,4633445.78,,,1987.0,1.26,,,,0.89,47735.0,35242.0,,,1.26,1987.0,,40748.0,,5.44,,,,0.79,0.79,26589214.0,580730635.58,,689.85,0.78,21.57,0.1606,24.34,0.0097
2015-03-13,240375.0,5393529.01,0.24,0.62,0.18,6.13,0.0,3667240.72,203458.0,163439.0,4565186.17,,,,,,,,0.19,,8688.0,,,,,,,17313.0,5.2,0.51,,,0.76,0.76,26526316.0,595196900.14,,685.65,0.75,23.6,0.165,23.7,0.009
2015-03-16,232567.0,5375193.0,0.24,0.59,0.18,6.04,0.0,3576212.39,189684.0,154731.0,4384061.83,,,900.0,,,,,0.33,,14674.0,,,,900.0,,,8708.0,4.97,0.19,,,0.71,0.71,26664810.0,616289069.34,,700.59,0.7,20.73,0.1603,24.7,0.0087
2015-03-17,272567.0,6160348.36,0.28,0.67,0.21,7.25,0.0,3384104.17,184684.0,149731.0,4174084.82,,,,,,,,0.13,,5000.0,,,,,,,5000.0,4.95,0.13,,,0.69,0.69,26743216.0,604429468.34,,715.59,0.69,17.81,0.143,20.78,0.0101
2015-03-18,296658.0,6815710.87,0.3,0.73,0.23,7.73,0.0,5048108.0,208775.0,219722.0,4796600.92,,,45264.0,1.8,,,,1.24,69991.0,45900.0,,,1.8,45264.0,,24727.0,,5.4,,,,0.76,0.76,27145568.0,623668813.68,,712.69,0.75,19.12,0.2306,40.02,0.0108
2015-03-19,311233.0,7174638.16,0.32,0.76,0.24,8.32,0.0,5401085.99,220090.0,234297.0,5073581.89,,,,0.83,,,,0.29,26575.0,11674.0,,,0.83,,,22989.0,12000.0,5.81,0.32,,,0.81,0.81,27119280.0,625161924.37,,725.54,0.8,18.25,0.2839,47.13,0.0114
2015-03-20,332552.0,7700377.66,0.34,0.79,0.25,8.86,0.0,5918893.09,241409.0,255616.0,5589924.19,,,9926.0,0.54,,,,,21319.0,,,,0.54,9926.0,,11393.0,,6.4,,,,0.91,0.91,26351904.0,610189121.57,,705.05,0.9,17.11,0.3077,50.32,0.0125
2015-03-23,331754.0,7629166.75,0.34,0.77,0.25,8.86,0.0,5857611.65,236811.0,254718.0,5445814.09,,,100.0,0.11,,,,0.13,3800.0,4698.0,,,0.11,100.0,,,4698.0,6.27,0.1,,,0.88,0.88,26621356.0,612196880.74,,714.28,0.87,17.04,0.2988,49.22,0.0124
2015-03-24,368195.0,8721844.6,0.37,0.84,0.28,9.85,0.0,6787639.14,241428.0,286542.0,5718973.63,,,,1.0,,,,,36724.0,,,,1.0,,,4617.0,4900.0,6.48,0.14,,,0.9,0.9,26678488.0,631963026.14,,718.86,0.89,15.46,0.34,54.43,0.0137
2015-03-25,328610.0,7637333.17,0.33,0.75,0.25,9.09,0.0,5662563.91,251743.0,243642.0,5850841.92,,,3415.0,,,,,0.0,,100.0,,,,3415.0,,7000.0,42900.0,6.8,1.03,,,0.93,0.93,26793756.0,622722501.92,,734.7,0.92,17.01,0.4101,60.53,0.0122
2015-03-26,320282.0,7373606.97,0.32,0.72,0.24,8.78,0.0,5415151.61,258415.0,235214.0,5949290.45,,,22972.0,0.58,,,,0.45,22872.0,16300.0,,,0.58,22972.0,,,31300.0,6.9,0.87,,,0.95,0.95,26902832.0,619363278.08,,727.74,0.94,17.47,0.5134,69.26,0.0118
2015-03-27,338845.0,7988750.91,0.34,0.76,0.26,9.17,0.0,6016442.2,278474.0,255189.0,6565419.06,,,21471.0,0.44,,,,0.13,19975.0,4617.0,,,0.44,21471.0,,3205.0,,7.48,,,,1.02,1.02,26936946.0,635076663.21,,726.15,1.02,16.7,0.5355,71.07,0.0124
2015-03-30,348546.0,8329767.1,0.35,0.78,0.27,9.68,0.0,6175139.56,283479.0,258389.0,6774755.84,,,,0.37,,,,0.04,7000.0,1496.0,,,0.37,,,6501.0,3800.0,7.76,0.1,,,1.03,1.03,27114916.0,648008972.42,,743.29,1.03,16.13,0.5364,71.24,0.0127
2015-03-31,403762.0,9692717.08,0.41,0.87,0.31,11.66,0.0,7033210.58,343783.0,292977.0,8252860.24,,,55360.0,1.26,,4000.0,,0.01,30588.0,550.0,,,1.26,55360.0,0.11,5494.0,,9.52,,,,1.25,1.25,27078292.0,650041914.19,,755.39,1.24,17.34,0.5172,69.58,0.0147
2015-04-01,468022.0,11144865.78,0.47,0.99,0.36,13.11,0.0,6976572.35,397655.0,292977.0,9469237.78,,,20687.0,,,,,0.29,,10388.0,,,,20687.0,,43573.0,,10.99,,,,1.46,1.46,26914996.0,640918627.67,,750.25,1.44,19.69,0.4083,59.38,0.0171
2015-04-02,475031.0,11448497.91,0.48,0.97,0.36,13.15,0.0,6998094.41,380168.0,290371.0,9162249.53,,,611.0,0.56,,10000.0,,0.74,20000.0,30307.0,,,0.56,611.0,0.28,12209.0,32606.0,10.54,1.02,,,1.39,1.39,26911538.0,648582274.88,,746.18,1.39,19.68,0.3286,51.47,0.0174
2015-04-03,465031.0,11207492.63,0.47,0.94,0.35,12.92,0.0,6757089.13,380168.0,280371.0,9162249.53,,,,,,,,,,,,,,,,,10000.0,10.57,0.28,,,1.39,1.39,26921828.0,648830269.32,,753.24,1.38,19.95,0.3431,52.66,0.017
2015-04-06,464571.0,11196406.39,0.47,0.94,0.35,13.05,0.0,6746002.89,374664.0,279911.0,9029600.22,,,,,,10000.0,,0.15,,5504.0,,,,,0.28,,10460.0,10.51,0.2,,,1.37,1.37,26927332.0,648962918.62,,755.05,1.37,20.03,0.3221,50.58,0.017
2015-04-07,435158.0,10582878.81,0.44,0.88,0.33,12.37,0.0,6288860.13,334791.0,258592.0,8141991.14,,,,,,,,1.14,,40863.0,,,,,,990.0,21319.0,9.47,0.55,,,1.27,1.27,25957576.0,631278480.52,,732.6,1.28,21.64,0.3108,48.95,0.0166
2015-04-08,332209.0,7990713.46,0.34,0.67,0.25,9.42,0.0,4140025.13,251814.0,172119.0,6056950.65,,,15336.0,,,,,3.07,,108472.0,,,,15336.0,,10159.0,86473.0,7.14,2.47,,,0.93,0.93,26848392.0,645791677.02,,759.08,0.93,32.79,0.2765,39.57,0.0123
2015-04-09,363332.0,8992184.74,0.37,0.72,0.28,10.26,0.0,4327426.41,299508.0,174851.0,7412590.32,,,,0.93,,,,0.47,33000.0,15697.0,,,0.93,,,63391.0,30268.0,8.46,0.88,,,1.12,1.12,26510754.0,656120566.11,,749.1,1.12,27.26,0.2014,29.9,0.0136
2015-04-10,306538.0,7740652.96,0.3,0.59,0.23,8.89,0.0,1935857.67,277438.0,76662.0,7005824.0,,,38847.0,,,,,1.77,,63465.0,,,,38847.0,,2548.0,98189.0,8.04,2.75,,,1.03,1.03,26569994.0,670941621.58,,770.17,1.03,18.8,0.2623,45.13,0.0114
2015-04-13,413174.0,10429859.73,0.41,0.78,0.32,12.15,0.0,1935198.99,384074.0,76662.0,9695280.79,,,35547.0,,,,,0.94,,32055.0,,,,35547.0,,103144.0,,11.3,,,,1.43,1.43,26458330.0,667894568.83,,777.9,1.43,32.48,0.2568,37.04,0.0154
2015-04-14,395941.0,9989739.71,0.39,0.71,0.3,11.61,0.0,2681181.44,337235.0,106268.0,8508565.34,,,,0.87,,,,1.39,29606.0,46839.0,,,0.87,,,,,9.89,,,,1.27,1.27,26278308.0,663011551.85,,770.88,1.27,30.66,0.2375,35.23,0.0149
2015-04-15,608890.0,15289280.66,0.61,1.09,0.46,17.85,0.0,9155991.34,308717.0,364634.0,7751910.62,,,,0.2,,251366.0,,4.34,7000.0,147658.0,,,0.2,,7.39,119140.0,,9.06,,,,1.16,1.16,26332904.0,661221501.23,,772.35,1.16,24.43,0.3171,49.51,0.0229
2015-04-16,617644.0,15368464.42,0.61,1.1,0.47,18.04,0.0,9290490.59,293729.0,373376.0,7308682.16,,,12.0,0.71,,,,0.44,24742.0,15000.0,,,0.71,12.0,,,16000.0,8.56,0.45,,,1.1,1.1,26314124.0,654758531.49,,765.02,1.11,23.85,0.3137,48.82,0.0232
2015-04-17,467922.0,11490247.42,0.47,0.83,0.36,13.47,0.0,4400786.23,337668.0,179215.0,8291742.79,,,44000.0,1.64,,,,0.01,57205.0,61.0,,,1.64,44000.0,,,251366.0,9.72,7.38,,,1.27,1.27,26281454.0,645364845.31,,757.13,1.27,35.21,0.2877,38.29,0.0176
2015-04-20,476922.0,11703055.14,0.47,0.84,0.36,13.66,0.0,4250474.28,352668.0,173215.0,8654021.1,,,,,,,,,,,,,,,,15000.0,6000.0,10.1,0.17,,,1.32,1.32,26281336.0,644910329.83,,751.8,1.33,34.14,0.2742,37.37,0.0179
2015-04-21,831407.0,20615966.27,0.83,1.47,0.63,23.79,0.0,7471154.35,707153.0,301299.0,17534904.56,,,128904.0,3.66,,,,,128084.0,,,,3.66,128904.0,,225581.0,,20.24,,,,2.65,2.65,25969304.0,643947303.05,,743.78,2.65,20.37,0.2092,33.73,0.0312
2015-04-22,1335962.0,33173068.05,1.33,2.34,1.02,38.59,1.0,20178688.51,770361.0,812646.0,19128716.14,,,,2.96,,415278.0,,0.11,96069.0,3828.0,,,2.96,,11.86,70000.0,,22.28,,0.08,,2.89,2.89,25904648.0,643234351.66,2964.0,747.85,2.89,21.64,0.2817,46.2,0.0501
2015-04-23,1714290.0,42221137.48,1.7,3.02,1.31,49.5,1.0,21598935.9,1128117.0,876974.0,27784320.59,,,43756.0,1.79,,,,,64328.0,,,,1.79,43756.0,,314000.0,,32.5,,,,4.22,4.22,25581972.0,630056732.99,,736.37,4.23,20.39,0.3604,55.39,0.0642
2015-04-24,4277361.0,105842986.28,4.25,7.58,3.26,122.6,1.0,34766102.98,3202026.0,1404979.0,79233900.06,,,35400.0,15.23,,,,0.02,528005.0,784.0,,,15.23,35400.0,,2039293.0,,91.48,,,,12.06,12.06,23340072.0,577548381.0,,669.07,12.03,9.04,0.6057,76.99,0.1612
2015-04-27,4690932.0,117285903.57,4.66,8.48,3.58,134.88,1.0,78563017.4,3511466.0,3142183.0,87796084.59,,,240054.0,47.16,,87000.0,,1.98,1650204.0,69965.0,,,47.16,240054.0,2.5,139351.0,,101.1,,,,13.17,13.17,23147990.0,578761943.88,,668.11,13.14,7.15,0.6731,81.56,0.176
