,ALTOO FP Equity_DX_SI_QTY,ALTOO FP Equity_DX_SHORT_INTEREST_VALUE,ALTOO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTOO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTOO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTOO FP Equity_DX_SI_MV,ALTOO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTOO FP Equity_DX_SUPPLY_SI_QTY,ALTOO FP Equity_DX_BROKER_SI_QTY,ALTOO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTOO FP Equity_DX_SUPPLY_SI_MV,ALTOO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTOO FP Equity_DX_UTILIZATION_QUANTITY,ALTOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTOO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTOO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTOO FP Equity_DX_BROKER_SI_CON_RATIO,ALTOO FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,39.04,0.0,0.0,0.0,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,37.82,0.0,0.0,0.0,0.0
2024-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,38.43,0.0,0.0,0.0,0.0
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,38.43,0.0,0.0,0.0,0.0
2024-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,38.43,0.0,0.0,0.0,0.0
2024-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,37.93,0.0,0.0,0.0,0.0
2024-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,38.43,0.0,0.0,0.0,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,38.43,0.0,0.0,0.0,0.0
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,38.43,0.0,0.0,0.0,0.0
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,39.69,0.0,0.0,0.0,0.0
