,EPAB FP Equity_DX_SI_QTY,EPAB FP Equity_DX_SHORT_INTEREST_VALUE,EPAB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EPAB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EPAB FP Equity_DX_SI_MV,EPAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EPAB FP Equity_DX_SUPPLY_SI_QTY,EPAB FP Equity_DX_BROKER_SI_QTY,EPAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EPAB FP Equity_DX_SUPPLY_SI_QTY_INC_x,EPAB FP Equity_DX_BROKER_SI_MV_INC_x,EPAB FP Equity_DX_BROKER_SI_QTY_ADD,EPAB FP Equity_DX_SUPPLY_SI_MV_DEC,EPAB FP Equity_DX_BROKER_SI_QTY_INC,EPAB FP Equity_DX_SUPPLY_SI_QTY_DEC,EPAB FP Equity_DX_BROKER_SI_MV_INC_y,EPAB FP Equity_DX_SUPPLY_SI_QTY_INC_y,EPAB FP Equity_DX_BROKER_SI_MV_ADD,EPAB FP Equity_DX_SUPPLY_SI_QTY_ADD,EPAB FP Equity_DX_BROKER_SI_QTY_DEC,EPAB FP Equity_DX_SUPPLY_SI_MV,EPAB FP Equity_DX_BROKER_SI_MV_DEC,EPAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EPAB FP Equity_DX_UTILIZATION_QUANTITY,EPAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EPAB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EPAB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EPAB FP Equity_DX_ACTIVE_UTILIZATION_MV,EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EPAB FP Equity_DX_BROKER_SI_CON_RATIO,EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EPAB FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6159.0,187880.3,0.19,0.0,,0.0,,0.0
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6233.0,188111.94,0.19,0.0,,0.0,,0.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6233.0,188984.56,0.19,0.0,,0.0,,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6233.0,188704.08,0.19,0.0,,0.0,,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6144.0,184719.36,0.18,0.0,,0.0,,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6144.0,185640.96,0.18,0.0,,0.0,,0.0
2024-04-09,10.0,299.8,0.0,0.0,0.0,299.8,10.0,10.0,299.8,,,10.0,,,,,,0.0,10.0,,0.0,,100.0,0.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0016
2024-04-10,10.0,299.55,0.0,0.0,0.0,299.55,10.0,10.0,299.55,,,,,,,,,,,,0.0,,100.0,0.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0016
2024-04-11,10.0,298.8,0.0,0.0,0.0,298.8,10.0,10.0,298.8,,,,,,,,,,,,0.0,,100.0,0.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0016
2024-04-12,15000.0,447000.0,2.54,0.03,0.45,223500.0,7500.0,7500.0,223500.0,7490.0,,7500.0,,,,,7490.0,0.22,,10.0,0.22,0.0,100.0,54.97,0.0,0.0,0.0,100.0,,1.0,100.0,1.0994
2024-04-15,18400.0,548596.0,3.08,0.03,0.55,324983.5,7500.0,10900.0,223612.5,,0.1,,,3400.0,,0.1,,,3400.0,,0.22,,100.0,54.97,0.0,0.0,0.0,100.0,15.6,1.0,100.0,1.3486
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.22,,7500.0,,,,,10900.0,0.0,0.32,0.0,0.0,6144.0,181340.16,0.18,0.0,,0.0,,0.0
2024-04-17,9.0,265.27,0.0,0.0,0.0,265.27,9.0,9.0,265.27,,,9.0,,,,,,0.0,9.0,,0.0,,100.0,0.15,0.0,0.0,0.0,100.0,,1.0,100.0,0.0015
2024-04-18,41.0,1213.6,0.01,0.0,0.0,1213.6,41.0,41.0,1213.6,32.0,0.0,,,32.0,,0.0,32.0,,,,0.0,,100.0,0.66,0.0,0.0,0.0,100.0,,1.0,100.0,0.0066
2024-04-19,41.0,1213.6,0.01,0.0,0.0,1213.6,41.0,41.0,1213.6,,,,,,,,,,,,0.0,,100.0,0.66,0.0,0.0,0.0,100.0,,1.0,100.0,0.0066
2024-04-22,41.0,1216.88,0.01,0.0,0.0,1216.88,41.0,41.0,1216.88,,,,,,,,,,,,0.0,,100.0,0.66,0.0,0.0,0.0,100.0,,1.0,100.0,0.0066
2024-04-23,32.0,968.32,0.01,0.0,0.0,968.32,32.0,32.0,968.32,,,,0.0,,9.0,,,,,9.0,0.0,0.0,100.0,0.52,0.0,0.0,0.0,100.0,,1.0,100.0,0.0052
2024-04-24,32.0,966.88,0.01,0.0,0.0,966.88,32.0,32.0,966.88,,,,,,,,,,,,0.0,,100.0,0.52,0.0,0.0,0.0,100.0,,1.0,100.0,0.0052
2024-04-25,32.0,959.84,0.01,0.0,0.0,959.84,32.0,32.0,959.84,,,,,,,,,,,,0.0,,100.0,0.52,0.0,0.0,0.0,100.0,,1.0,100.0,0.0052
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,32.0,,,,,32.0,0.0,0.0,0.0,0.0,6176.0,187904.8,0.19,0.0,,0.0,,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6144.0,186040.32,0.19,0.0,,0.0,,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6044.0,181803.52,0.18,0.0,,0.0,,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,5970.0,179577.6,0.18,0.0,,0.0,,0.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,6044.0,181471.1,0.18,0.0,,0.0,,0.0
