DATE,ALTXC FP Equity_DX_SI_QTY,ALTXC FP Equity_DX_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTXC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTXC FP Equity_DX_SI_MV,ALTXC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SUPPLY_SI_QTY,ALTXC FP Equity_DX_BROKER_SI_QTY,ALTXC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTXC FP Equity_DX_SUPPLY_SI_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTXC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTXC FP Equity_DX_BROKER_SI_CON_RATIO,ALTXC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTXC FP Equity_PX_LAST
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,430.0,0.0,0.0,0.0,0.0,8.6
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,437.5,0.0,0.0,0.0,0.0,8.75
2024-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,442.5,0.0,0.0,0.0,0.0,8.85
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,442.5,0.0,0.0,0.0,0.0,8.85
2024-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,442.5,0.0,0.0,0.0,0.0,8.85
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,435.0,0.0,0.0,0.0,0.0,8.7
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,435.0,0.0,0.0,0.0,0.0,8.7
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,440.0,0.0,0.0,0.0,0.0,8.8
2024-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,425.0,0.0,0.0,0.0,0.0,8.5
