DATE,KOF FP Equity_DX_SI_QTY,KOF FP Equity_DX_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,KOF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KOF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KOF FP Equity_DX_SI_MV,KOF FP Equity_DX_DSS,KOF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY,KOF FP Equity_DX_BROKER_SI_QTY,KOF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KOF FP Equity_DX_BROKER_SI_MV_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_x,KOF FP Equity_DX_BROKER_SI_MV_INC_x,KOF FP Equity_DX_SUPPLY_SI_MV_NEW,KOF FP Equity_DX_BROKER_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_NEW,KOF FP Equity_DX_SUPPLY_SI_MV_DEC,KOF FP Equity_DX_BROKER_SI_QTY_INC,KOF FP Equity_DX_SUPPLY_SI_QTY_DEC,KOF FP Equity_DX_BROKER_SI_MV_NEW_y,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KOF FP Equity_DX_BROKER_SI_MV_INC_y,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_y,KOF FP Equity_DX_BROKER_SI_MV_ADD,KOF FP Equity_DX_SUPPLY_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_DEC,KOF FP Equity_DX_SUPPLY_SI_MV,KOF FP Equity_DX_BROKER_SI_MV_DEC,KOF FP Equity_DX_SUPPLY_SI_MV_RMV,KOF FP Equity_DX_BROKER_SI_MV_RMV,KOF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KOF FP Equity_DX_UTILIZATION_QUANTITY,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KOF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KOF FP Equity_DX_ACTIVE_UTILIZATION_MV,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KOF FP Equity_DX_BROKER_SI_CON_RATIO,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KOF FP Equity_DX_DEMAND_SUPPLY_RATIO,KOF FP Equity_PX_LAST
2023-06-06,387689.0,10234989.6,2.47,27.66,1.84,10.37,1.0,9150028.8,330274.0,346592.0,8719233.6,0.0,0.0,8068.0,0.1,0.0,0.0,0.0,0.31,3443.0,11382.0,0.0,0.0,0.1,8068.0,0.0,1765.0,11522.0,8.71,0.32,0.0,0.0,19.8,19.8,1337654.0,35314065.6,0.0,35.22,19.83,17.12,0.166,31.32,0.2324,26.4
2023-06-07,379419.0,10149458.25,2.41,28.17,1.8,10.21,1.0,9149944.5,322015.0,342054.0,8613901.25,0.0,0.0,1775.0,0.05,0.0,0.0,0.0,0.26,1775.0,10034.0,0.0,0.0,0.05,1775.0,0.0,0.0,6313.0,8.52,0.13,0.0,0.0,19.23,19.23,1352228.0,36172099.0,0.0,35.79,19.23,17.43,0.167,31.08,0.2266,26.75
2023-06-08,367243.0,9897198.85,2.34,27.28,1.74,9.97,1.0,8901827.55,313922.0,330309.0,8460197.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,8093.0,0.0,0.0,0.0,0.0,0.0,0.0,11745.0,8.38,0.28,0.0,0.0,18.91,18.91,1346388.0,36285156.6,0.0,35.99,18.88,16.86,0.1717,32.08,0.2212,26.95
2023-06-09,364583.0,9789053.55,2.32,27.6,1.73,10.17,1.0,8579649.0,319584.0,319540.0,8580830.4,0.0,0.0,7464.0,0.06,0.0,0.0,0.0,0.13,1573.0,5450.0,0.0,0.0,0.06,7464.0,0.0,3648.0,12342.0,8.64,0.1,0.0,0.0,19.2,19.2,1344847.0,36109141.95,0.0,36.22,19.26,15.58,0.1638,31.43,0.219,26.85
2023-06-12,365752.0,9857016.4,2.33,27.86,1.73,9.97,1.0,8643107.55,312500.0,320709.0,8421875.0,0.0,0.0,492.0,0.01,0.0,746.0,0.0,0.23,492.0,8322.0,0.0,0.0,0.01,492.0,0.02,746.0,69.0,8.4,0.0,0.0,0.0,18.81,18.81,1348471.0,36341293.45,0.0,36.22,18.83,15.84,0.1699,32.1,0.2202,26.95
2023-06-13,369406.0,10251016.5,2.35,28.49,1.75,10.18,1.0,9196405.5,311693.0,331402.0,8649480.75,0.0,0.0,4859.0,0.17,0.0,4461.0,0.0,0.19,6232.0,7039.0,0.0,0.0,0.17,4859.0,0.12,1373.0,0.0,8.41,0.0,0.0,0.0,18.77,18.77,1349112.0,37437858.0,0.0,36.56,18.7,15.57,0.1718,32.24,0.2224,27.75
2023-06-14,298789.0,8351152.55,1.9,23.35,1.42,8.44,1.0,7188236.9,238170.0,257182.0,6656851.5,0.0,0.0,274.0,0.01,0.0,0.0,0.0,2.05,274.0,77400.0,0.0,0.0,0.01,274.0,0.0,3603.0,74494.0,6.61,1.97,0.0,0.0,14.33,14.33,1423602.0,39789675.9,0.0,39.52,14.33,14.61,0.2163,39.14,0.1798,27.95
2023-06-15,305141.0,8437148.65,1.94,23.44,1.45,8.58,1.0,6821061.45,233978.0,246693.0,6469491.7,0.0,0.0,23138.0,0.0,0.0,0.0,0.0,0.76,0.0,27330.0,0.0,0.0,0.0,23138.0,0.0,0.0,10489.0,6.54,0.32,0.0,0.0,13.95,13.95,1443415.0,39910424.75,0.0,40.09,14.03,17.7,0.2161,38.13,0.1819,27.65
2023-06-16,286711.0,7913223.6,1.82,21.94,1.36,8.02,1.0,6794402.4,211656.0,246174.0,5841705.6,0.0,0.0,2456.0,0.07,0.0,0.0,0.0,0.72,2456.0,24778.0,0.0,0.0,0.07,2456.0,0.0,0.0,2975.0,5.86,0.1,0.0,0.0,12.59,12.59,1469161.0,40548843.6,0.0,40.56,12.63,15.36,0.2251,40.43,0.1706,27.6
2023-06-19,296630.0,8009010.0,1.89,22.26,1.4,8.21,1.0,6789150.0,229464.0,251450.0,6195528.0,0.0,0.0,23383.0,0.14,0.0,0.0,0.0,0.48,5572.0,17406.0,0.0,0.0,0.14,23383.0,0.0,11831.0,296.0,6.37,0.06,0.0,0.0,13.63,13.63,1454341.0,39267207.0,0.0,39.9,13.77,16.4,0.221,38.72,0.1762,27.0
