DATE,IQEE FP Equity_DX_SI_QTY,IQEE FP Equity_DX_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IQEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IQEE FP Equity_DX_SI_MV,IQEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SUPPLY_SI_QTY,IQEE FP Equity_DX_BROKER_SI_QTY,IQEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IQEE FP Equity_DX_BROKER_SI_MV_INC_x,IQEE FP Equity_DX_BROKER_SI_QTY_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_INC,IQEE FP Equity_DX_BROKER_SI_MV_INC_y,IQEE FP Equity_DX_BROKER_SI_MV_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_DEC,IQEE FP Equity_DX_SUPPLY_SI_MV,IQEE FP Equity_DX_BROKER_SI_MV_DEC,IQEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IQEE FP Equity_DX_UTILIZATION_QUANTITY,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IQEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IQEE FP Equity_DX_ACTIVE_UTILIZATION_MV,IQEE FP Equity_DX_BROKER_SI_CON_RATIO,IQEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IQEE FP Equity_DX_DEMAND_SUPPLY_RATIO,IQEE FP Equity_PX_LAST
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.205
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.31
2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.185
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.415
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.045
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.925
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.425
