DATE,CB3 FP Equity_DX_SI_QTY,CB3 FP Equity_DX_SHORT_INTEREST_VALUE,CB3 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CB3 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CB3 FP Equity_DX_SI_MV,CB3 FP Equity_DX_DSS,CB3 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CB3 FP Equity_DX_SUPPLY_SI_QTY,CB3 FP Equity_DX_BROKER_SI_QTY,CB3 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CB3 FP Equity_DX_BROKER_SI_MV_NEW_x,CB3 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CB3 FP Equity_DX_BROKER_SI_MV_INC_x,CB3 FP Equity_DX_BROKER_SI_QTY_ADD,CB3 FP Equity_DX_BROKER_SI_QTY_NEW,CB3 FP Equity_DX_SUPPLY_SI_MV_DEC,CB3 FP Equity_DX_BROKER_SI_QTY_INC,CB3 FP Equity_DX_SUPPLY_SI_QTY_DEC,CB3 FP Equity_DX_BROKER_SI_MV_NEW_y,CB3 FP Equity_DX_BROKER_SI_MV_INC_y,CB3 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CB3 FP Equity_DX_BROKER_SI_MV_ADD,CB3 FP Equity_DX_SUPPLY_SI_QTY_ADD,CB3 FP Equity_DX_BROKER_SI_QTY_DEC,CB3 FP Equity_DX_SUPPLY_SI_MV,CB3 FP Equity_DX_BROKER_SI_MV_DEC,CB3 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CB3 FP Equity_DX_UTILIZATION_QUANTITY,CB3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CB3 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CB3 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CB3 FP Equity_DX_ACTIVE_UTILIZATION_MV,CB3 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CB3 FP Equity_DX_BROKER_SI_CON_RATIO,CB3 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CB3 FP Equity_DX_DEMAND_SUPPLY_RATIO,CB3 FP Equity_PX_LAST
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2210.29,0.0,0.0,0.0,0.0,0.0,0.0,221.0292
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2208.82,0.0,0.0,0.0,0.0,0.0,0.0,220.8825
2025-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2215.7,0.0,0.0,0.0,0.0,0.0,0.0,221.5697
2025-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2213.99,0.0,0.0,0.0,0.0,0.0,0.0,221.3988
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2214.0,0.0,0.0,0.0,0.0,0.0,0.0,221.3998
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2214.2,0.0,0.0,0.0,0.0,0.0,0.0,221.4202
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2201.99,0.0,0.0,0.0,0.0,0.0,0.0,220.1989
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2196.27,0.0,0.0,0.0,0.0,0.0,0.0,219.6267
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2208.89,0.0,0.0,0.0,0.0,0.0,0.0,220.8887
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2207.57,0.0,0.0,0.0,0.0,0.0,0.0,220.7565
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2200.16,0.0,0.0,0.0,0.0,0.0,0.0,220.0155
