DATE,NRG FP Equity_DX_SI_QTY,NRG FP Equity_DX_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NRG FP Equity_DX_SI_MV,NRG FP Equity_DX_DSS,NRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY,NRG FP Equity_DX_BROKER_SI_QTY,NRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NRG FP Equity_DX_BROKER_SI_MV_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,NRG FP Equity_DX_BROKER_SI_MV_INC_x,NRG FP Equity_DX_SUPPLY_SI_MV_NEW,NRG FP Equity_DX_BROKER_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_NEW,NRG FP Equity_DX_SUPPLY_SI_MV_DEC,NRG FP Equity_DX_BROKER_SI_QTY_INC,NRG FP Equity_DX_SUPPLY_SI_QTY_DEC,NRG FP Equity_DX_BROKER_SI_MV_NEW_y,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NRG FP Equity_DX_BROKER_SI_MV_INC_y,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,NRG FP Equity_DX_BROKER_SI_MV_ADD,NRG FP Equity_DX_SUPPLY_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_DEC,NRG FP Equity_DX_SUPPLY_SI_MV,NRG FP Equity_DX_BROKER_SI_MV_DEC,NRG FP Equity_DX_SUPPLY_SI_MV_RMV,NRG FP Equity_DX_BROKER_SI_MV_RMV,NRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NRG FP Equity_DX_UTILIZATION_QUANTITY,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NRG FP Equity_DX_ACTIVE_UTILIZATION_MV,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NRG FP Equity_DX_BROKER_SI_CON_RATIO,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NRG FP Equity_DX_DEMAND_SUPPLY_RATIO,NRG FP Equity_PX_LAST
2018-04-12,92747.0,797624.2,0.53,6.32,0.12,0.8,0.0,378400.0,48747.0,44000.0,419224.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,26.54,6.35,134947.0,1160544.2,0.0,1.17,26.54,42.91,0.4439,50.84,0.1209,8.6
2018-04-13,55955.0,480093.9,0.32,3.78,0.07,0.48,0.0,34320.0,51955.0,4000.0,445773.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,1792.0,0.0,0.0,0.0,0.0,0.0,5000.0,40000.0,0.45,0.34,0.0,0.0,27.8,6.77,134947.0,1157845.26,0.0,1.16,27.8,8.93,0.7149,83.93,0.0729,8.58
2018-04-16,15955.0,137532.1,0.09,0.7,0.02,0.14,0.0,34480.0,11955.0,4000.0,103052.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.24,0.3194,43.62,0.0208,8.62
2018-04-17,15955.0,135936.6,0.09,0.69,0.02,0.14,0.0,34080.0,11955.0,4000.0,101856.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.36,0.3197,43.58,0.0208,8.52
2018-04-18,15955.0,137213.0,0.09,0.68,0.02,0.14,0.0,34400.0,11955.0,4000.0,102813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.3,0.3192,43.54,0.0208,8.6
2018-04-19,15955.0,137213.0,0.09,0.69,0.02,0.14,0.0,34400.0,11955.0,4000.0,102813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.39,0.3196,43.56,0.0208,8.6
2018-04-20,15955.0,137532.1,0.09,0.7,0.02,0.14,0.0,34480.0,11955.0,4000.0,103052.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.41,0.3195,43.53,0.0208,8.62
2018-04-23,15955.0,137213.0,0.09,0.7,0.02,0.14,0.0,34400.0,11955.0,4000.0,102813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.47,0.3197,43.53,0.0208,8.6
2018-04-24,15955.0,137213.0,0.09,0.7,0.02,0.14,0.0,34400.0,11955.0,4000.0,102813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.56,0.0,0.0,0.0,0.0,100.0,31.31,0.3197,43.61,0.0208,8.6
2018-04-25,15955.0,137532.1,0.09,0.7,0.02,0.14,0.0,34480.0,11955.0,4000.0,103052.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,100.0,1.55,0.0,0.0,0.0,0.0,100.0,31.46,0.3195,43.5,0.0207,8.62
