DATE,ALMOU FP Equity_DX_SI_QTY,ALMOU FP Equity_DX_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMOU FP Equity_DX_SI_MV,ALMOU FP Equity_DX_DSS,ALMOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY,ALMOU FP Equity_DX_BROKER_SI_QTY,ALMOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMOU FP Equity_DX_BROKER_SI_MV_INC_x,ALMOU FP Equity_DX_BROKER_SI_QTY_ADD,ALMOU FP Equity_DX_SUPPLY_SI_MV_DEC,ALMOU FP Equity_DX_BROKER_SI_QTY_INC,ALMOU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMOU FP Equity_DX_BROKER_SI_MV_INC_y,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMOU FP Equity_DX_BROKER_SI_MV_ADD,ALMOU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMOU FP Equity_DX_BROKER_SI_QTY_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV,ALMOU FP Equity_DX_BROKER_SI_MV_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV_RMV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMOU FP Equity_DX_BROKER_SI_CON_RATIO,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMOU FP Equity_PX_LAST
2023-04-13,5042.0,141680.2,0.44,3.01,0.16,0.15,0.0,102846.0,2554.0,3660.0,71767.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,89.77,0.0,0.0,0.0,0.0,100.0,17.73,0.3886,56.75,1.7722,28.1
2023-04-14,5042.0,141176.0,0.44,3.2,0.16,0.14,0.0,102480.0,2554.0,3660.0,71512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,89.77,0.0,0.0,0.0,0.0,100.0,17.59,0.39,56.92,1.7722,28.0
2023-04-17,5042.0,139663.4,0.44,3.66,0.16,0.14,0.0,101382.0,2554.0,3660.0,70745.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,89.77,0.0,0.0,0.0,0.0,100.0,17.62,0.3891,56.8,1.7722,27.7
2023-04-18,4722.0,131507.7,0.42,3.66,0.15,0.13,0.0,93019.0,2654.0,3340.0,73913.9,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,420.0,0.07,0.01,0.0,100.0,90.46,0.0,0.0,0.0,0.0,100.0,18.74,0.3511,52.17,1.6094,27.85
2023-04-19,4302.0,116154.0,0.38,3.35,0.14,0.12,0.0,90180.0,2234.0,3340.0,60318.0,0.0,0.0,0.0,0.01,0.0,420.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,88.9,0.0,0.0,95.0,0.0,100.0,20.74,0.3176,46.96,1.7119,27.0
2023-04-20,5074.0,130401.8,0.45,4.34,0.16,0.14,0.0,106038.2,3020.0,4126.0,77614.0,800.0,0.02,0.0,0.0,800.0,14.0,0.02,800.0,0.0,0.0,14.0,0.08,0.0,0.0,100.0,90.94,0.0,0.0,0.0,0.0,100.0,33.49,0.3068,39.59,1.5279,25.7
2023-04-21,5130.0,134149.5,0.45,4.02,0.17,0.13,0.0,108627.1,3048.0,4154.0,79705.2,28.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.08,0.0,0.0,100.0,97.13,0.0,0.0,0.0,0.0,100.0,32.62,0.3051,40.05,1.6348,26.15
2023-04-24,4431.0,115206.0,0.39,3.32,0.14,0.12,0.0,90870.0,2708.0,3495.0,70408.0,0.0,0.0,0.0,0.01,0.0,340.0,0.0,0.0,0.0,0.0,659.0,0.07,0.02,0.0,100.0,96.37,0.0,0.0,0.0,0.0,100.0,34.56,0.3344,42.28,1.5769,26.0
2023-04-25,4539.0,125730.3,0.4,3.3,0.15,0.12,0.0,98307.3,2762.0,3549.0,76507.4,54.0,0.0,0.0,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,98.29,0.0,0.0,0.0,0.0,100.0,33.15,0.3237,42.1,1.6153,27.7
2023-04-26,4539.0,126638.1,0.4,3.21,0.15,0.13,0.0,99017.1,2762.0,3549.0,77059.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,100.0,98.29,0.0,0.0,0.0,0.0,100.0,33.64,0.322,41.44,1.6153,27.9
